,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
sig_n,0.004,0.001,0.002,0.006,0.0,0.0,1249.0,1804.0,1.0
var_p,0.044,0.01,0.028,0.063,0.0,0.0,900.0,1287.0,1.01
var_s[0],0.17,0.028,0.118,0.221,0.0,0.0,9640.0,6746.0,1.0
var_s[1],0.067,0.009,0.05,0.082,0.0,0.0,9672.0,6179.0,1.0
var_s[2],0.13,0.023,0.089,0.17,0.0,0.0,8286.0,5828.0,1.0
var_s[3],0.11,0.019,0.075,0.147,0.0,0.0,6142.0,5814.0,1.0
var_s[4],0.319,0.082,0.184,0.471,0.001,0.001,7017.0,5368.0,1.0
var_s[5],0.102,0.017,0.072,0.136,0.0,0.0,6681.0,5197.0,1.0
var_s[6],0.193,0.04,0.125,0.27,0.0,0.0,6942.0,6363.0,1.0
var_s[7],0.089,0.015,0.063,0.118,0.0,0.0,6597.0,5211.0,1.0
var_s[8],0.638,0.314,0.258,1.233,0.004,0.003,7742.0,5983.0,1.0
var_s[9],0.197,0.043,0.122,0.274,0.001,0.0,7143.0,5668.0,1.0
var_s[10],0.013,0.002,0.009,0.018,0.0,0.0,5441.0,5849.0,1.0
var_s[11],0.461,0.196,0.206,0.799,0.003,0.002,6206.0,4558.0,1.0
var_s[12],0.131,0.024,0.09,0.177,0.0,0.0,8162.0,5837.0,1.0
var_s[13],0.047,0.008,0.032,0.061,0.0,0.0,7300.0,5213.0,1.0
var_s[14],0.029,0.004,0.022,0.038,0.0,0.0,7653.0,6737.0,1.0
var_s[15],0.084,0.014,0.058,0.11,0.0,0.0,5983.0,5932.0,1.0
