,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
epsilon[0],2.507,0.573,1.447,3.588,0.019,0.013,889.0,1100.0,1.0
epsilon[1],0.787,0.176,0.477,1.134,0.006,0.004,848.0,1058.0,1.0
epsilon[2],1.34,0.301,0.783,1.898,0.01,0.007,850.0,1020.0,1.0
epsilon[3],1.363,0.307,0.819,1.967,0.01,0.007,874.0,1097.0,1.0
epsilon[4],1.556,0.351,0.901,2.209,0.012,0.008,864.0,1141.0,1.0
epsilon[5],1.609,0.372,0.957,2.331,0.012,0.009,891.0,1172.0,1.0
epsilon[6],4.148,0.947,2.336,5.882,0.03,0.021,957.0,1242.0,1.0
epsilon[7],2.061,0.473,1.193,2.961,0.015,0.011,888.0,1050.0,1.0
epsilon[8],3.236,0.75,1.855,4.634,0.024,0.017,900.0,1154.0,1.0
epsilon[9],4.818,1.113,2.678,6.836,0.033,0.023,1057.0,1340.0,1.0
epsilon[10],1.42,0.321,0.821,2.017,0.011,0.008,866.0,1159.0,1.0
epsilon[11],2.215,0.506,1.271,3.165,0.017,0.012,882.0,1170.0,1.0
epsilon[12],1.328,0.3,0.761,1.883,0.01,0.007,850.0,1090.0,1.0
epsilon[13],2.159,0.496,1.229,3.097,0.016,0.012,874.0,1046.0,1.0
epsilon[14],4.835,1.139,2.833,7.06,0.033,0.023,1103.0,1467.0,1.0
epsilon[15],3.225,0.753,1.864,4.656,0.024,0.017,950.0,1196.0,1.0
epsilon_k[0],1.951,1.307,0.002,4.251,0.015,0.011,5686.0,3410.0,1.0
epsilon_k[1],1.777,1.202,0.004,3.844,0.016,0.011,4613.0,3322.0,1.0
epsilon_k[2],1.28,1.096,0.0,3.275,0.012,0.009,6032.0,4342.0,1.0
epsilon_k[3],1.997,1.552,0.0,4.763,0.017,0.012,6087.0,3946.0,1.0
epsilon_k[4],2.294,1.586,0.0,5.037,0.021,0.015,4637.0,3820.0,1.0
epsilon_k[5],0.767,0.664,0.0,1.986,0.009,0.006,4873.0,3344.0,1.0
epsilon_k[6],3.023,1.471,0.088,5.521,0.022,0.016,3769.0,2619.0,1.0
epsilon_k[7],1.724,1.294,0.003,4.044,0.016,0.012,4698.0,3098.0,1.0
epsilon_k[8],1.569,1.287,0.001,3.903,0.014,0.01,5939.0,3358.0,1.0
epsilon_k[9],1.748,1.092,0.0,3.629,0.014,0.01,4201.0,2623.0,1.0
epsilon_k[10],2.048,1.546,0.001,4.805,0.02,0.014,5098.0,4016.0,1.0
epsilon_k[11],2.362,1.591,0.0,5.159,0.019,0.013,5230.0,3350.0,1.0
epsilon_k[12],5.407,1.716,2.369,8.688,0.021,0.015,6064.0,4386.0,1.0
epsilon_k[13],1.29,1.017,0.0,3.156,0.012,0.009,5558.0,4178.0,1.0
epsilon_k[14],1.411,1.059,0.001,3.326,0.014,0.01,5112.0,3858.0,1.0
epsilon_k[15],4.469,1.47,1.703,7.2,0.018,0.013,5947.0,4699.0,1.0
k_s,0.015,0.004,0.007,0.023,0.0,0.0,4432.0,5031.0,1.0
l_s,0.022,0.016,0.0,0.05,0.0,0.0,2886.0,4421.0,1.0
mu_p[0],-0.216,0.05,-0.309,-0.123,0.001,0.0,9192.0,5078.0,1.0
mu_p[1],0.003,0.02,-0.033,0.04,0.0,0.0,6820.0,6517.0,1.0
mu_p[2],-0.153,0.022,-0.196,-0.114,0.0,0.0,11364.0,5914.0,1.0
mu_p[3],-0.098,0.02,-0.136,-0.063,0.0,0.0,10176.0,6180.0,1.0
mu_p[4],0.143,0.027,0.095,0.197,0.0,0.0,6465.0,5744.0,1.0
mu_p[5],-0.043,0.045,-0.123,0.044,0.0,0.0,9774.0,6306.0,1.0
mu_p[6],0.048,0.101,-0.145,0.234,0.001,0.001,5091.0,5171.0,1.0
mu_p[7],0.094,0.033,0.032,0.158,0.0,0.0,6967.0,6335.0,1.0
mu_p[8],0.163,0.038,0.087,0.233,0.0,0.0,8165.0,6072.0,1.0
mu_p[9],-0.122,0.137,-0.391,0.134,0.002,0.001,6200.0,5571.0,1.0
mu_p[10],0.012,0.022,-0.028,0.054,0.0,0.0,8948.0,6256.0,1.0
mu_p[11],0.086,0.033,0.027,0.151,0.0,0.0,8414.0,6815.0,1.0
mu_p[12],-0.286,0.038,-0.36,-0.216,0.0,0.0,6648.0,5302.0,1.0
mu_p[13],-0.058,0.04,-0.133,0.016,0.0,0.0,10281.0,6492.0,1.0
mu_p[14],0.13,0.1,-0.048,0.324,0.001,0.001,6791.0,5316.0,1.0
mu_p[15],-0.522,0.121,-0.754,-0.311,0.002,0.001,6846.0,5206.0,1.0
sig_n,0.003,0.001,0.002,0.004,0.0,0.0,1058.0,1448.0,1.0
var_p,0.05,0.012,0.032,0.073,0.0,0.0,777.0,969.0,1.0
var_s[0],0.074,0.008,0.058,0.089,0.0,0.0,9112.0,5688.0,1.0
var_s[1],0.044,0.004,0.036,0.052,0.0,0.0,8762.0,6097.0,1.0
var_s[2],0.109,0.012,0.087,0.133,0.0,0.0,11059.0,5637.0,1.0
var_s[3],0.184,0.027,0.138,0.239,0.0,0.0,10802.0,6030.0,1.0
var_s[4],0.093,0.011,0.074,0.115,0.0,0.0,5756.0,5497.0,1.0
var_s[5],0.024,0.002,0.019,0.028,0.0,0.0,8897.0,6027.0,1.0
var_s[6],0.048,0.005,0.039,0.059,0.0,0.0,9634.0,6139.0,1.0
var_s[7],0.084,0.01,0.066,0.102,0.0,0.0,5737.0,5982.0,1.0
var_s[8],0.162,0.021,0.123,0.202,0.0,0.0,6271.0,5407.0,1.0
var_s[9],0.032,0.004,0.025,0.04,0.0,0.0,8624.0,6135.0,1.0
var_s[10],0.118,0.015,0.091,0.146,0.0,0.0,6757.0,5039.0,1.0
var_s[11],0.112,0.013,0.089,0.137,0.0,0.0,7301.0,5438.0,1.0
var_s[12],0.055,0.006,0.044,0.067,0.0,0.0,6603.0,6291.0,1.0
var_s[13],0.061,0.006,0.05,0.072,0.0,0.0,10485.0,5954.0,1.0
var_s[14],0.047,0.006,0.036,0.058,0.0,0.0,8051.0,5332.0,1.0
var_s[15],0.038,0.005,0.029,0.046,0.0,0.0,6422.0,5913.0,1.0
