"","NSub","Low_1","Medium_1","High_1"
"1",1,-112.155906033333,-158.765311411232,-135.889974025
"2",2,-64.031945975,-72.961604275,-84.025434825
"3",3,-170.748973056159,-171.056214619697,-150.288064084058
"4",4,-140.340113152899,-157.431035834848,-138.655052110507
"5",5,25.2882235416667,31.1208828166667,3.78055110833333
"6",6,-51.1059133666667,-51.8710920583333,-45.7843889956522
"7",7,11.2831907039855,-63.3774920833333,-60.1833810416667
"8",8,-0.955981308333345,11.2998039,-25.88199545
"9",9,49.3337318166667,56.8513662387681,72.5472952166667
"10",10,-17.752823525,-70.56346455,-48.8276557916667
"11",11,-65.554335675,-56.805437575,-67.6549933
"12",12,16.4772199916667,-48.444588309058,-6.57894249202898
"13",13,-164.308353641667,-241.761137816667,-259.377098491667
"14",14,-65.81027065,-85.4065348278986,-65.2039830416667
"15",15,21.9754324333333,-28.8533125916667,1.54349064166666
"16",16,-112.631214358333,-189.6866473,-211.98317975
