"","NSub","Low_1","Medium_1","High_1"
"1",1,32.0799266666667,22.6679,24.0863891666667
"2",2,-80.6603624637681,-75.3376458333333,-108.874268333333
"3",3,-125.32169,-172.713126666667,-175.8506875
"4",4,-31.5887531884058,17.20933,-28.9205166666667
"5",5,3.48109083333335,54.3169741666667,84.615635
"6",6,-84.9191675,-120.12126,-121.386676666667
"7",7,59.8779391666667,9.80654166666666,-11.8644533333333
"8",8,-154.758883333333,-205.631673333333,-194.127578333333
"9",9,-37.1834891666667,-71.1924241666667,-56.7180416666667
"10",10,35.0436566666667,-18.0097268115942,-19.0143758333333
"11",11,-50.1925483333333,-49.9018925,-114.611130833333
"12",12,-66.72479,-102.128355,-91.9107091666667
"13",13,-57.1986941666667,-64.8290166666667,-19.6168866666667
"14",14,35.2853466666667,50.8066016666667,17.0690508333333
"15",15,-150.044786666667,-150.052315833333,-146.060866666667
"16",16,-49.6888641666667,-55.8899783333333,-57.6488166666667
"17",17,-41.378555,-57.9113541666667,-59.2803766666667
"18",18,-52.1784725,-74.3345466666667,-62.4495516666667
