"","NSub","Low_1","Medium_1","High_1"
"1",1,-158.422188313044,-137.351101533333,-170.677942028986
"2",2,6.34455490833333,6.49415250833334,-22.1452784416667
"3",3,-55.6361637416667,-85.4965312083333,-57.1013089333333
"4",4,-84.693779075,-126.426827441667,-85.7563008083333
"5",5,-34.3068845083333,-39.890467975,-41.6200000416667
"6",6,-178.812904858333,-139.361704440909,-191.464403891667
"7",7,-268.090519041667,-233.718026291667,-257.795365091667
"8",8,-42.9407747261858,-70.2231818032279,-0.0107012456521741
"9",9,67.5441905166667,48.093736575,22.2177947666667
"10",10,-96.1890733583333,-93.2388087583333,-40.8361366083333
"11",11,-62.1813492416667,-22.2410056333333,-57.1141175083333
"12",12,-46.0424593583333,-88.1797220416667,-72.4967006833333
"13",13,13.5069854224638,13.37992945,14.304928275
"14",14,14.8204466166667,6.48250763333333,-0.33146651666667
"15",15,-43.6659552916667,-50.1733085369565,-62.397240175
"16",16,-83.381080025,-38.350299675,-103.498423083333
