"","NSub","Low_1","Medium_1","High_1"
"1",1,1.40524416666667,-13.0749825,-0.404539999999987
"2",2,-137.058871666667,-179.464676666667,-159.241100833333
"3",3,-172.181210833333,-208.5831525,-217.842970833333
"4",4,-18.8483016666667,12.1509225,5.74176916666666
"5",5,-208.950461666667,-189.32739,-197.6567425
"6",6,-0.701992499999995,-23.3979091666667,-19.91479
"7",7,52.9098791666667,-98.1748375,-116.555343333333
"8",8,-93.1703441666667,-67.2575683333333,-18.3930525
"9",9,-99.8021075,-66.7824683333333,-104.195950833333
"10",10,51.6812908333333,-64.8618366666667,-19.398945
"11",11,-24.4698391666667,-78.564075,-58.7604583333333
"12",12,-57.1292783333333,-52.4334433333333,-28.9109225
"13",13,8.60733833333333,-83.5965566666667,-98.4621058333333
"14",14,10.3450508333333,3.33631333333334,9.61039916666668
"15",15,-161.784195,-126.5172425,-106.3839925
"16",16,52.1370533333333,37.9208441666667,41.61147
"17",17,-44.3293383333333,-131.575938333333,-130.448344166667
"18",18,-28.0000866666667,-125.794030833333,-211.244399166667
