"","NSub","Low_3","Medium_3","High_3"
"1",1,-84.693779075,-126.426827441667,-85.7563008083333
"2",2,-147.969065741667,-94.5156113083333,-86.2670968416667
"3",3,-120.588914991667,-128.600970183333,-97.1461860851449
"4",4,-60.2030301833333,-40.3851954634058,-54.0208426
"5",5,-6.59782564021739,15.6664145304348,30.5863265916667
"6",6,-54.3647089101449,7.67489885000001,2.02789517499999
"7",7,-87.5048702,-23.8923333916667,-18.1659297416667
"8",8,22.710893975,34.5105728148551,0.113900808333331
"9",9,-77.5148166166667,-73.4668810123188,-41.7002454275362
"10",10,-156.184766716667,-21.5393363916667,-45.8575409916667
"11",11,-22.1633828916667,-17.0144805246377,-14.577121675
"12",12,-23.7562204583333,-14.904814640942,30.3024841782609
"13",13,-247.910871183333,-236.312263941667,-186.3991143
"14",14,7.06083987862319,65.6934714394928,36.59870485
"15",15,-205.9246465,-140.149000775,-157.518808458333
"16",16,-222.455616008333,-173.255071916667,-143.533785633333
