,rank,elpd_loo,p_loo,elpd_diff,weight,se,dse,warning,scale,reliable,experiment,ic_type,model
EncodingOnly,0,1015.229237566873,70.24726714187545,0.0,0.8129123777031565,127.13027005707671,0.0,True,deviance,False,Encoding,loo,EncodingOnly
Experimentwise,1,1015.3408781310579,70.24736093197794,0.1116405641849667,0.0,127.06080654360615,0.31609871880981655,False,deviance,True,Encoding,loo,Experimentwise
FreeParameters,2,1015.6572145208498,67.82369797608982,0.4279769539767919,1.1794097652498302e-14,126.66929211380986,4.929500743603744,False,deviance,True,Encoding,loo,FreeParameters
ReproductionOnly,3,1061.130252024203,63.24832857759765,45.90101445732982,0.18708762229686154,126.29228156655168,17.85935368046602,False,deviance,True,Encoding,loo,ReproductionOnly
NULL,4,1081.8707342182652,56.678151015912874,66.64149665139239,0.0,126.42100060024801,18.389913713981723,False,deviance,True,Encoding,loo,NULL
