,rank,elpd_loo,p_loo,elpd_diff,weight,se,dse,warning,scale,reliable,experiment,ic_type,model
FreeParameters,0,-1112.6418378405795,85.24101568803064,0.0,0.6206682750080209,169.01483197188963,0.0,True,deviance,False,Both,loo,FreeParameters
Experimentwise,1,-1112.397604113815,85.28384953300451,0.24423372676424115,2.5076099071172902e-15,169.0522206424856,0.46598376000016756,True,deviance,False,Both,loo,Experimentwise
ReproductionOnly,2,-1110.3150773135817,83.46079463406181,2.3267605269976013,0.29630722597158604,169.36731898581968,5.847621784080234,True,deviance,False,Both,loo,ReproductionOnly
EncodingOnly,3,-1109.5258309411656,83.6450493647709,3.1160068994138417,0.0,169.20469503529225,3.4710616767637443,True,deviance,False,Both,loo,EncodingOnly
NULL,4,-1077.7413409255703,75.96390930074506,34.90049691500926,0.08302449902039055,170.05399675033186,13.745233362987136,True,deviance,False,Both,loo,NULL
