,rank,elpd_loo,p_loo,elpd_diff,weight,se,dse,warning,scale,reliable,experiment,ic_type,model
Experimentwise,0,-1986.9902147585908,66.3579638408221,0.0,0.5420722515384511,156.9322171952543,0.0,False,deviance,True,Baseline,loo,Experimentwise
NULL,1,-1986.754627082984,66.53756213066413,0.23558767560711402,0.0,156.96831188061807,0.4328722807389958,True,deviance,False,Baseline,loo,NULL
EncodingOnly,2,-1986.5039077702124,71.67225147930264,0.4863069883781428,0.3960940977349805,157.1748363850621,4.592030872368079,True,deviance,False,Baseline,loo,EncodingOnly
ReproductionOnly,3,-1985.0892461587696,68.17719575325395,1.900968599821308,1.3305346800697648e-16,156.75306428021796,1.6926218843422707,True,deviance,False,Baseline,loo,ReproductionOnly
FreeParameters,4,-1984.8585957480223,73.396677015352,2.1316190105682953,0.06183365072656832,157.1433924870988,5.386074470239405,True,deviance,False,Baseline,loo,FreeParameters
