,NSub,curDur,WMSize,repDur_mean,repDur_std,mPred,sdPred,repErr,predErr,repCV,predCV
0,1,0.5,1,0.7232003954347827,0.16644049183591825,0.7918643860269219,0.17400462421145926,0.22320039543478265,0.2918643860269219,0.2301443595531436,0.21974043445053157
1,1,0.5,3,0.825336792125,0.20370056984990567,0.791167249885633,0.1733064619907073,0.325336792125,0.29116724988563303,0.24680902607702304,0.21905161268462459
2,1,0.5,5,0.7792974794583333,0.20687239273001967,0.7912036381487075,0.17356556442147414,0.2792974794583333,0.29120363814870753,0.265460107575108,0.21936901709348852
3,1,0.8,1,0.9086305615,0.13234663175077768,0.8868397585153284,0.18639927826652322,0.10863056149999994,0.08683975851532832,0.14565505207341375,0.21018371862192672
4,1,0.8,3,0.8999393347916667,0.24316250237301704,0.8873467550089816,0.1866638361400381,0.09993933479166661,0.08734675500898159,0.2701987711530672,0.21036177242587503
5,1,0.8,5,0.9173108639166667,0.16651677284451052,0.886673223184524,0.18669102795882386,0.11731086391666667,0.08667322318452397,0.18152709119079807,0.21055223398797948
6,1,1.1,1,0.9392838166666667,0.17408697636672438,0.9584775781660706,0.19862076496647835,-0.16071618333333337,-0.1415224218339295,0.1853401211409399,0.20722525961067847
7,1,1.1,3,0.9666206347499999,0.2017906496901147,0.9578441141180283,0.1985053198332055,-0.13337936525000016,-0.1421558858819718,0.208758888891612,0.20724178068994753
8,1,1.1,5,0.9402067705217391,0.13737914342047086,0.958140937834717,0.19814543714104182,-0.15979322947826102,-0.1418590621652831,0.14611588400308637,0.2068019738190361
9,1,1.4,1,0.988155366625,0.20081870888829775,1.0162422234230022,0.2087211478281647,-0.4118446333749999,-0.3837577765769977,0.20322584450882958,0.20538523495425193
10,1,1.4,3,1.0059624600416666,0.2971833513414322,1.0163599744119998,0.209087717404695,-0.39403753995833335,-0.38364002558800014,0.29542191000757917,0.20572210896602816
11,1,1.4,5,0.9711575875833334,0.1871412867669465,1.0155901221910677,0.20865515476453966,-0.42884241241666654,-0.3844098778089322,0.19269919646371317,0.2054521309387887
12,1,1.7,1,1.1486189182083333,0.22001885965494505,1.0660297424428669,0.21838204332455374,-0.5513810817916667,-0.6339702575571331,0.19155078866203964,0.20485548820065663
13,1,1.7,3,1.115385270625,0.16804318028268542,1.0657519296534002,0.2180610186906796,-0.5846147293749999,-0.6342480703465998,0.15065931450620945,0.20460766959305116
14,1,1.7,5,1.038637588375,0.11150378889224864,1.0649054890324199,0.21810163401152916,-0.6613624116249999,-0.6350945109675801,0.1073558189499976,0.20480844193008876
15,2,0.5,1,0.7372948802083333,0.19461151945141375,0.7625941005683194,0.165900216434333,0.23729488020833334,0.26259410056831944,0.2639534393571585,0.21754720671284591
16,2,0.5,3,0.7479513254583333,0.19012479232568,0.7627230333422141,0.16591588255359316,0.24795132545833332,0.26272303334221414,0.2541940709967649,0.21753097166419383
17,2,0.5,5,0.7346212765833333,0.20250039622476693,0.7626130897948773,0.1656562414409175,0.23462127658333332,0.2626130897948773,0.27565277875775746,0.21722186998583337
18,2,0.8,1,1.0226134972916665,0.18785860714453495,0.9578458818558561,0.1936731619348693,0.22261349729166646,0.15784588185585602,0.1837044080114997,0.20219658047662276
19,2,0.8,3,1.03429930725,0.18470398834517152,0.9574972186077384,0.19354036736433727,0.23429930724999992,0.15749721860773835,0.17857885725193356,0.20213151913460095
20,2,0.8,5,0.9346427287083333,0.11993882754502679,0.9577098209066033,0.1934425199730745,0.13464272870833327,0.15770982090660324,0.12832585528245752,0.20198447979781048
21,2,1.1,1,1.095959647875,0.15309598273830669,1.1185911987356114,0.22072575287641788,-0.004040352125000091,0.018591198735611325,0.1396912587385408,0.19732477166449466
22,2,1.1,3,1.1959402122083334,0.15243739909500273,1.1182269958082658,0.22083661692157128,0.09594021220833326,0.0182269958082657,0.1274623911286696,0.1974881824078557
23,2,1.1,5,1.0879426725416665,0.23286547970590313,1.1190054235483249,0.22086785956826047,-0.012057327458333544,0.019005423548324796,0.21404204980937058,0.19737872124685207
24,2,1.4,1,1.255896845375,0.23738305332706675,1.2581502765096042,0.245811425966305,-0.144103154625,-0.1418497234903957,0.1890147699639983,0.19537525091854843
25,2,1.4,3,1.160607547625,0.30273582116600045,1.2577582925407575,0.24554118602031855,-0.23939245237499995,-0.14224170745924236,0.26084254043108845,0.19522128176496345
26,2,1.4,5,1.2592845496666667,0.18228889739151818,1.2576171776473641,0.24578910797776732,-0.14071545033333321,-0.14238282235263577,0.14475592306740376,0.19544032345166215
27,2,1.7,1,1.4199579037916665,0.25065730707369993,1.3831905123504744,0.26914247065078006,-0.2800420962083334,-0.31680948764952555,0.17652446343964004,0.1945809114851595
28,2,1.7,3,1.39367237,0.3177696788345861,1.3825173786775682,0.26911507481354496,-0.30632762999999996,-0.31748262132243177,0.22800888191145394,0.1946558350470531
29,2,1.7,5,1.3727823802916665,0.24182103599684843,1.382305022021034,0.2691782129553414,-0.3272176197083334,-0.31769497797896595,0.17615394797350925,0.1947314150402077
30,3,0.5,1,0.7013120331249999,0.15603934443216597,0.735754704530509,0.13669677704567024,0.2013120331249999,0.23575470453050895,0.22249631699154654,0.18579123749252485
31,3,0.5,3,0.7419888927916666,0.1737407721282609,0.7356826552947908,0.1364216307472805,0.24198889279166658,0.23568265529479082,0.23415548914024417,0.18543543165716722
32,3,0.5,5,0.7739746162916666,0.13643459401072439,0.735361959519558,0.136488023057151,0.27397461629166664,0.23536195951955796,0.17627786640396745,0.185606586375945
33,3,0.8,1,0.90197590375,0.15098056468531673,0.9114797952493274,0.15696525417301863,0.10197590374999999,0.11147979524932738,0.16738868971732962,0.17220925246080976
34,3,0.8,3,0.8946296509583332,0.18418396834400408,0.9108536483024766,0.15727129630046288,0.0946296509583332,0.11085364830247657,0.20587733499186506,0.17266362888655432
35,3,0.8,5,0.9059627217083334,0.1536213104667686,0.9109121168545484,0.15685695047389175,0.10596272170833332,0.11091211685454838,0.16956692233107756,0.1721976770004237
