,NSub,curDur,WMSize,gap,repDur_mean,repDur_std,mPred,sdPred,repErr,predErr,repCV,predCV
0,1,0.5,1,1,0.7719862582916667,0.28148354183869906,0.7694134843072578,0.20661742287821272,0.27198625829166667,0.26941348430725776,0.36462247716895346,0.2685388638129223
1,1,0.5,3,1,0.717311480875,0.29876382801512824,0.7794750336314654,0.20880643151340308,0.21731148087499996,0.2794750336314654,0.4165050134854755,0.2678808460876586
2,1,0.5,5,1,0.7773086770416667,0.2629389909353795,0.7835290681595939,0.20958907305172297,0.27730867704166673,0.2835290681595939,0.3382684365959869,0.2674936790080041
3,1,0.8,1,1,0.9333155902916667,0.21870492638215275,0.9023799879664716,0.22290316918407777,0.13331559029166662,0.10237998796647152,0.23433116156755313,0.24701696863468103
4,1,0.8,3,1,0.9146436533333334,0.22597435772280614,0.9143518174485982,0.22503394490893533,0.11464365333333337,0.11435181744859813,0.2470627297300579,0.24611308318593242
5,1,0.8,5,1,0.9426437055833333,0.17879823637776388,0.9209769498579286,0.2258869635702474,0.14264370558333328,0.1209769498579285,0.18967743095162207,0.24526885673424628
6,1,1.1,1,1,1.0179656587916666,0.22157013079446464,1.006986995917551,0.2398406213195585,-0.08203434120833353,-0.09301300408244906,0.2176597303463755,0.23817648320375717
7,1,1.1,3,1,1.021303974625,0.19311373256810074,1.0197175062773667,0.2420087233679838,-0.07869602537499998,-0.08028249372263341,0.18908546071115387,0.23732918369860426
8,1,1.1,5,1,1.00797129025,0.18692545694934337,1.0257076854553269,0.24418827192182194,-0.0920287097500001,-0.07429231454467322,0.1854472034644772,0.23806809228832398
9,1,1.4,1,1,1.1466268635833334,0.1822222488490705,1.0928057692150264,0.2570030421024257,-0.2533731364166665,-0.30719423078497354,0.15892026834222792,0.23517723765956472
10,1,1.4,3,1,1.0266370846250001,0.17545822594869573,1.1063059787645688,0.259143063962626,-0.37336291537499977,-0.2936940212354311,0.17090579385488044,0.23424176397565488
11,1,1.4,5,1,1.056638993875,0.24486499976651202,1.1135246959070286,0.260539561248336,-0.34336100612499987,-0.2864753040929713,0.23173950723559938,0.2339773533591115
12,1,1.7,1,1,1.2066367336666668,0.21276804663330043,1.1678319410857771,0.27272659226807744,-0.49336326633333316,-0.5321680589142228,0.17633148461074247,0.23353239680575383
13,1,1.7,3,1,1.1879696693333333,0.26701804499534193,1.1826478244716339,0.2759880010308905,-0.5120303306666667,-0.5173521755283661,0.22476840266905765,0.2333644854538099
14,1,1.7,5,1,1.2866558292083334,0.30897427890929063,1.189417799418838,0.27668052548806105,-0.4133441707916665,-0.510582200581162,0.24013747258223625,0.2326184504917028
15,2,0.5,1,1,0.735968615625,0.1638495555783342,0.7336104542663034,0.17933297716239383,0.23596861562500004,0.23361045426630345,0.22263117217191347,0.24445259213453802
16,2,0.5,3,1,0.7539854459166667,0.22529806905736366,0.763582206767687,0.18404966854274687,0.2539854459166667,0.26358220676768696,0.29880957288698706,0.2410345171895059
17,2,0.5,5,1,0.7573005378333333,0.23087100383253326,0.7784126792789982,0.18673262956263473,0.2573005378333333,0.27841267927899815,0.3048604778402301,0.23988898759408073
18,2,0.8,1,1,0.8853109260833333,0.17318273777250176,0.8710189565699792,0.19236574766125575,0.08531092608333324,0.07101895656997914,0.19561798309512818,0.22085139044364846
19,2,0.8,3,1,0.9386293404999999,0.17332239597060467,0.9047974301357896,0.19853474659925027,0.13862934049999986,0.10479743013578957,0.18465478170358204,0.2194245252989442
20,2,0.8,5,1,0.939307650375,0.19809291246513622,0.9216224007335558,0.20276181618836886,0.13930765037499993,0.12162240073355579,0.2108924721160863,0.22000530371981267
21,2,1.1,1,1,0.926637407375,0.1593097079736983,0.9774938676190297,0.20826149174522668,-0.1733625926250001,-0.12250613238097041,0.17192237946123345,0.21305657113993773
22,2,1.1,3,1,1.022628400625,0.1916424821400869,1.0156155275652514,0.2159224519877621,-0.07737159937500016,-0.08438447243474867,0.18740187738083622,0.2126025509922991
23,2,1.1,5,1,1.0319569988333332,0.1845088338641785,1.0347425687132465,0.21986475632194144,-0.06804300116666684,-0.06525743128675354,0.17879507971046543,0.2124825661665337
24,2,1.4,1,1,1.0979634747083333,0.20202582184544673,1.0647982186086893,0.22352921025129222,-0.3020365252916666,-0.3352017813913106,0.18400049409577449,0.2099263563225763
25,2,1.4,3,1,1.100635543875,0.19663171756670703,1.1079277774545286,0.23178111404075274,-0.29936445612499996,-0.29207222254547127,0.17865288710777694,0.20920236748037077
26,2,1.4,5,1,1.1359729205833333,0.22875126636873255,1.1288275885330352,0.2351028404497903,-0.2640270794166666,-0.2711724114669647,0.20137035154963598,0.20827169962714814
27,2,1.7,1,1,1.1142742475,0.2857156939251739,1.1427057607961573,0.23790548140684314,-0.5857257524999999,-0.5572942392038427,0.2564141588717582,0.20819487357890565
28,2,1.7,3,1,1.2115432125416667,0.24248684674580276,1.1895420748869578,0.24586466816123678,-0.4884567874583332,-0.5104579251130421,0.20014708863507688,0.20668850085407975
29,2,1.7,5,1,1.2041264081666667,0.324743016830247,1.2107147030254661,0.2506256230243771,-0.49587359183333324,-0.4892852969745338,0.2696917986581508,0.2070063429461015
30,3,0.5,1,1,0.6671049132083334,0.20117958687542123,0.6631904154825751,0.17965001020815696,0.16710491320833343,0.16319041548257507,0.3015711365516414,0.27088752493118196
31,3,0.5,3,1,0.6813028210416667,0.24110704533770883,0.6716222811141819,0.180104947521921,0.18130282104166673,0.17162228111418187,0.3538911595420553,0.26816404486036033
32,3,0.5,5,1,0.66396568725,0.17978882033785035,0.676219282307233,0.1817640781329268,0.16396568725000005,0.17621928230723305,0.270780288485232,0.2687945802325469
33,3,0.8,1,1,0.845307448875,0.19625180226514055,0.8425358093668324,0.19577559503034875,0.045307448874999934,0.04253580936683232,0.23216618110526235,0.2323647171477193
34,3,0.8,3,1,0.8379580439166667,0.18031972935881518,0.8546176890787042,0.197490738013952,0.037958043916666684,0.054617689078704124,0.2151894485265513,0.23108664908030535
35,3,0.8,5,1,0.8706530371739131,0.15929850006173082,0.8606674163674471,0.19925901433443663,0.07065303717391302,0.0606674163674471,0.1829643879481591,0.23151685604113356
36,3,1.1,1,1,0.9974628475,0.17784798083690076,0.9934737058157851,0.21797324894135828,-0.10253715250000006,-0.106526294184215,0.1783003560309556,0.21940515150561618
37,3,1.1,3,1,0.9970868698333333,0.21688655552704242,1.0068298628601007,0.22033354718813858,-0.10291313016666681,-0.09317013713989941,0.21752022024249082,0.21883890746172077
38,3,1.1,5,1,1.0699674295416666,0.1470084421475756,1.013243859035697,0.22183004702761422,-0.03003257045833352,-0.08675614096430317,0.13739524969516917,0.2189305615320774
39,3,1.4,1,1,1.1719559506666666,0.2759317766217666,1.1232867818058994,0.2407224470671544,-0.22804404933333333,-0.27671321819410055,0.23544551863472593,0.214301860367436
40,3,1.4,3,1,1.0817040454583333,0.24426453928980524,1.139466926671227,0.24313896017228184,-0.3182959545416666,-0.26053307332877296,0.22581457498969312,0.21337956765675858
41,3,1.4,5,1,1.0970484849565216,0.15584981389057861,1.1466068923897952,0.24556960704775332,-0.3029515150434783,-0.2533931076102047,0.14206283134036257,0.21417070547686068
42,3,1.7,1,1,1.2152242647916667,0.3523610603014359,1.2412999655865056,0.26329865649939027,-0.4847757352083333,-0.4587000344134944,0.2899555831053483,0.2121152532014963
43,3,1.7,3,1,1.2589433688333334,0.24562379726511363,1.257570714096,0.266283046670681,-0.4410566311666666,-0.442429285904,0.19510313437905785,0.2117439947399678
44,3,1.7,5,1,1.3126344306521738,0.2699156946487941,1.2666529076329571,0.26799973959075196,-0.3873655693478262,-0.43334709236704283,0.20562899185471487,0.2115810400590114
45,4,0.5,1,1,0.7713289597916666,0.22603574579014693,0.790234868027864,0.17530258182289185,0.2713289597916666,0.290234868027864,0.29304714016079264,0.22183605016111566
46,4,0.5,3,1,0.7294520953913043,0.1535380366300607,0.8003015986931407,0.17710022680952356,0.2294520953913043,0.30030159869314066,0.2104840572809615,0.22129185684337116
47,4,0.5,5,1,0.7706383694583333,0.217602996777901,0.8054002644813889,0.17831356183418126,0.2706383694583333,0.3054002644813889,0.28236719764011997,0.22139744633558128
48,4,0.8,1,1,0.9943995623749999,0.18400523134392666,0.9390704855084694,0.1908533041994614,0.1943995623749999,0.13907048550846934,0.1850415449745905,0.20323639933814117
49,4,0.8,3,1,0.9579823158749999,0.1382854108634419,0.9522233083132858,0.19310543161270208,0.1579823158749999,0.1522233083132858,0.14435069267133083,0.2027942709728016
50,4,0.8,5,1,1.0386612887083333,0.21775249840049604,0.9589993664583315,0.19407591659588752,0.23866128870833325,0.15899936645833146,0.20964726496285466,0.20237335225009256
51,4,1.1,1,1,1.107303759375,0.21182643858655212,1.0567184059449353,0.2077866590869968,0.00730375937499983,-0.04328159405506482,0.19129930409169224,0.19663389784640925
52,4,1.1,3,1,1.060654357875,0.17835257633187335,1.070486359986835,0.2102529246504504,-0.039345642125000024,-0.029513640013165032,0.16815334327122286,0.1964087843707192
53,4,1.1,5,1,1.0493006574166668,0.19413596213415524,1.0782248513505512,0.21214601713837333,-0.05069934258333331,-0.02177514864944885,0.18501461974884267,0.1967548947444921
54,4,1.4,1,1,1.195974518125,0.22592451787868328,1.1557024054990197,0.22398999631329328,-0.2040254818749998,-0.2442975945009802,0.18890412333607115,0.1938128667445118
55,4,1.4,3,1,1.251327846875,0.16503802480237,1.1708652360355454,0.22656941702257563,-0.14867215312499993,-0.22913476396445454,0.13189031572703128,0.19350597323200172
56,4,1.4,5,1,1.1553103414166668,0.24059825016886363,1.1779995058385382,0.22737718211398464,-0.24468965858333314,-0.22200049416146173,0.20825421667552702,0.19301976018413539
57,4,1.7,1,1,1.1299780494166667,0.18915861954501384,1.241919632508061,0.23857958536335536,-0.5700219505833333,-0.4580803674919389,0.1674002602463508,0.1921054946861119
58,4,1.7,3,1,1.2986574066666667,0.19556015697941628,1.2582858714582705,0.241061020344403,-0.4013425933333332,-0.4417141285417294,0.15058641022297864,0.19157889777863366
59,4,1.7,5,1,1.21598513,0.24383984633879524,1.265753578369863,0.24373392482146178,-0.48401487,-0.43424642163013694,0.20052864161159212,0.192560328476702
60,5,0.5,1,1,0.5033817381739131,0.06249677774731341,0.5610507207404273,0.15918024368628664,0.0033817381739130736,0.06105072074042728,0.12415384390786428,0.28371809856373414
61,5,0.5,3,1,0.5242279306521739,0.15822762420737035,0.5726592770493371,0.15906597288080906,0.02422793065217388,0.07265927704933706,0.3018298243104385,0.2777672156127575
62,5,0.5,5,1,0.5373052587916667,0.12176424159758138,0.5789341265901062,0.15938633889580464,0.037305258791666684,0.07893412659010623,0.22662023050251576,0.27530997323405754
63,5,0.8,1,1,0.8299700064583333,0.14154252692307115,0.8428215194134108,0.15627734316433997,0.029970006458333254,0.042821519413410725,0.17053932771265387,0.18542163383904378
64,5,0.8,3,1,0.898852001625,0.134177531039984,0.8601041965145755,0.1581282669439572,0.09885200162499996,0.060104196514575436,0.14927655587061006,0.18384780307402854
65,5,0.8,5,1,0.8179736850416667,0.15619390500072705,0.8679517370332219,0.1578228534743011,0.01797368504166663,0.06795173703322188,0.19095223704265096,0.1818336743166864
66,5,1.1,1,1,1.1019581931666667,0.17219961479795096,1.110482582275151,0.17307267714015612,0.0019581931666665664,0.010482582275150865,0.15626692179955184,0.15585357204393582
67,5,1.1,3,1,1.2246400372500001,0.2045174221475308,1.132344624346245,0.1744977176238778,0.12464003725000006,0.032344624346244855,0.16700207075279563,0.15410301234451784
68,5,1.1,5,1,1.212643378875,0.17269347655054618,1.1448773142856503,0.17559603028671614,0.11264337887499987,0.04487731428565023,0.14241076936465716,0.15337541245306255
69,5,1.4,1,1,1.3650503459583332,0.23090412659962467,1.3681889532404132,0.19674883236666424,-0.03494965404166672,-0.03181104675958668,0.16915429330741533,0.143802383362828
70,5,1.4,3,1,1.3553169491666666,0.2275859116552032,1.3963190896766609,0.19902768513845548,-0.04468305083333335,-0.0036809103233390594,0.1679208039087368,0.14253739464705262
71,5,1.4,5,1,1.4436934704166668,0.15452011846262032,1.4098141826113708,0.201531105379373,0.043693470416666935,0.009814182611370903,0.10703111264888107,0.14294870052029193
72,5,1.7,1,1,1.6666505880416667,0.23642724805416246,1.6180860861834598,0.22368551587779426,-0.0333494119583333,-0.08191391381654012,0.14185771735872194,0.13824080052835497
73,5,1.7,3,1,1.5752951539583335,0.28098812816454993,1.6515096371710964,0.2275897581847387,-0.12470484604166643,-0.04849036282890351,0.17837173399441694,0.13780710270306487
74,5,1.7,5,1,1.6413158398333334,0.1865928560367212,1.6689271558356997,0.22942862756758098,-0.058684160166666555,-0.03107284416430023,0.11368491761809152,0.13747072588839068
75,6,0.5,1,1,0.7373048944999999,0.2537601881497097,0.8146726132141544,0.22067431683458724,0.23730489449999992,0.3146726132141544,0.34417266186981715,0.27087484377798543
76,6,0.5,3,1,0.8921397508750001,0.18819373190573546,0.8406942263927596,0.2256223079764331,0.3921397508750001,0.3406942263927596,0.21094647079805298,0.2683761835079212
77,6,0.5,5,1,0.7949616496666666,0.33561908905434584,0.8528511114086901,0.22811223891219348,0.2949616496666666,0.3528511114086901,0.42218274201664124,0.26747017839422277
78,6,0.8,1,1,0.9852992069166667,0.28981866620330715,0.9619853991800634,0.23953609341897777,0.18529920691666668,0.16198539918006338,0.29414279862281373,0.2490017973486328
79,6,0.8,3,1,1.0383270783333334,0.2862110766467944,0.9922108420965409,0.24649123729927716,0.23832707833333333,0.19221084209654082,0.27564635712496777,0.248426268733812
80,6,0.8,5,1,1.057305145375,0.17682072356013714,1.0068279626373027,0.24890673799562993,0.25730514537499993,0.20682796263730263,0.16723717304659783,0.2472187376914317
81,6,1.1,1,1,1.0543130187826086,0.2663060858607831,1.0751558171649538,0.2603592954433074,-0.045686981217391454,-0.024844182835046302,0.2525873067263086,0.2421595933227995
82,6,1.1,3,1,1.0979731281666667,0.18701157050297373,1.10965793093653,0.26735904081260176,-0.002026871833333388,0.00965793093652989,0.1703243601373333,0.24093825075170314
