WMSize,DurLevel,TPresent,NT,gap,NSub,curDur,repDur,presentColorDeg,respColorDeg,WMRP,WMTestTime,repWaitTime
3,2,2,1,2,1,0.8,1.245755,1.326450232,6.021385919,1,1.0202392,0.6602605
3,4,1,2,2,1,1.4,1.0693423,1.623156204,1.623156204,2,0.9097351,1.1697419
1,5,1,3,2,1,1.7,1.2291746,6.091199089,6.091199089,1,1.1292964,0.7853253
1,3,2,4,2,1,1.1,1.0620768,3.560471674,3.525565089,1,1.0125111,0.7605768
5,3,2,5,2,1,1.1,0.925818,5.934119457,1.588249619,2,1.2727549,0.7736823
5,5,1,6,2,1,1.7,1.0299191,5.602506899,5.602506899,2,1.6710417,0.5693271
1,5,2,7,2,1,1.7,1.2938723,0.750491578,2.129301687,2,1.5435021,0.6656585
5,4,2,8,2,1,1.4,1.0219699,4.468042885,6.23082543,2,0.8966863,0.9464435
3,4,2,9,2,1,1.4,1.085999,1.483529864,5.445427266,2,2.3383057,0.7170647
5,1,2,10,2,1,0.5,0.5339427,3.001966313,2.059488517,2,0.9147272,0.7624342
3,1,1,11,2,1,0.5,0.4139288,1.082104136,1.082104136,1,1.7060854,0.9233407
5,2,2,12,2,1,0.8,0.7179864,1.79768913,3.246312409,2,3.4992735,0.695522
5,5,2,13,2,1,1.7,0.8379102,2.21656815,2.094395102,2,2.1219882,0.5408177
1,2,1,14,2,1,0.8,0.7020626,6.23082543,6.23082543,1,0.87341452,0.5346663
1,1,2,15,2,1,0.5,0.398093,0.628318531,2.042035225,2,1.0311069,0.8183427
5,2,1,16,2,1,0.8,0.8459768,3.717551307,3.717551307,2,1.6829141,0.775506
3,5,2,17,2,1,1.7,1.157877,2.059488517,2.321287905,2,1.6449625,0.7487929
1,4,1,18,2,1,1.4,1.573891,2.635447171,2.635447171,1,4.9440979,0.6527766
3,3,2,19,2,1,1.1,1.0458729,2.932153143,4.380776423,2,1.754081664,0.8241475
3,3,1,20,2,1,1.1,0.8700544,6.021385919,6.021385919,2,1.1317143,0.9771178
5,1,1,21,2,1,0.5,0.4780299,4.974188368,4.974188368,2,1.0580417,0.6675008
1,1,1,22,2,1,0.5,0.3980709,4.36332313,4.36332313,1,0.9143846,0.5729607
