WMSize,DurLevel,TPresent,NT,NSub,curDur,repDur,repWaitTime,WMRP,WMRTTest,Crr,repBias
5,3,2,1,1,1.1,1.0776671,0.5168427,2,0.8255902,1,0.298499253
1,3,2,2,1,1.1,1.3494428,0.9208583,2,0.8884138,1,0.170647363
5,1,1,3,1,0.5,0.7172143,0.5109703,1,0.9836437,1,0.213062294
1,4,1,4,1,1.4,1.0620338,1.485924,1,0.811226,1,0.197426363
1,5,2,5,1,1.7,1.5101164,0.5927079,2,0.5806193,1,0.402553711
3,3,2,6,1,1.1,1.1819395,0.5336809,2,0.828314,1,0.187122211
1,2,2,7,1,0.8,1.0457984,0.4658316,2,0.6733491,1,0.236798685
5,2,2,8,1,0.8,0.8218082,0.4781911,2,0.9023697,1,0.223241954
3,2,1,9,1,0.8,0.6218675,0.3954896,1,0.9405307,1,0.219278848
1,1,1,10,1,0.5,0.7098857,1.4354592,1,0.705825,1,0.206024252
1,4,2,11,1,1.4,1.0540288,1.1906248,2,0.7929717,1,0.197426363
1,5,1,12,1,1.7,1.4140238,0.7741304,1,1.1540122,1,0.402553711
3,2,2,13,1,0.8,1.021983,0.6075027,2,1.1063362,1,0.219278848
3,1,2,14,1,0.5,0.7180413,0.5590309,1,0.9038775,1,0.209179226
5,3,1,15,1,1.1,1.1339792,0.6289449,1,1.282464,1,0.298499253
5,5,2,16,1,1.7,1.2779775,0.8071535,1,0.8239566,1,0.271285525
3,4,1,17,1,1.4,1.2379216,0.6527941,1,0.9415206,1,0.198394794
3,4,2,18,1,1.4,1.2459066,1.6662516,2,0.8257906,1,0.198394794
3,3,1,19,1,1.1,1.1419832,0.4545822,1,1.1946619,1,0.187122211
1,2,1,20,1,0.8,0.8140173,0.5495847,1,1.0750658,1,0.236798685
5,1,2,21,1,0.5,0.5259378,0.5519367,1,1.2489651,1,0.213062294
3,5,1,22,1,1.7,1.4219663,0.6297455,1,1.1036855,1,0.301394682
5,5,1,23,1,1.7,1.2220863,1.1086116,1,0.875813,1,0.271285525
5,4,2,24,1,1.4,1.2218396,1.096504,1,1.1520343,1,0.30338393
3,1,1,25,1,0.5,0.7258453,0.9730427,1,0.8213086,1,0.209179226
1,1,2,26,1,0.5,0.8781135,0.5059923,2,1.0304079,1,0.206024252
5,2,1,27,1,0.8,1.1338811,0.2915175,1,1.0067242,1,0.223241954
5,4,1,28,1,1.4,1.4780137,1.6994773,1,1.2967944,1,0.30338393
3,5,2,29,1,1.7,1.6539249,1.1895836,2,0.6882272,1,0.301394682
1,3,1,30,1,1.1,1.5419156,0.6048612,1,0.6831543,1,0.170647363
1,4,2,31,1,1.4,1.4378956,0.719902,2,0.9817789,1,0.197426363
5,5,2,32,1,1.7,1.4139335,0.7224921,-1,2.0000272,1,0.271285525
