WMSize,DurLevel,TPresent,NT,NSub,curDur,repDur,repWaitTime,WMRP,WMRTTest,Crr,repBias
1,3,1,1,1,1.1,1.0856892,1.1477262,1,0.8518911,1,0.192206404
5,1,2,2,1,0.5,0.3974525,0.8470395,2,0.7370722,1,0.202767275
3,3,2,3,1,1.1,1.0773255,0.6374077,2,0.8157955,1,0.209535239
3,5,1,4,1,1.7,1.4060078,0.5773356,1,1.1542516,1,0.218199244
1,3,2,5,1,1.1,0.7260634,0.4269709,2,0.7065182,1,0.192206404
5,2,1,6,1,0.8,1.0299121,0.8856665,1,0.9838448,1,0.206838906
3,1,2,7,1,0.5,0.8779103,0.6503282,2,1.0696541,1,0.200830632
1,2,2,8,1,0.8,1.1420034,0.6859818,1,1.00583,1,0.20778034
1,2,1,9,1,0.8,0.8618085,0.4777599,1,0.8302984,1,0.20778034
1,1,1,10,1,0.5,0.6459399,0.6171031,1,0.8965831,1,0.172699735
3,4,2,11,1,1.4,1.2618506,0.4954233,2,1.3058832,1,0.223362889
5,4,1,12,1,1.4,1.5339278,0.8418986,1,1.8198308,1,0.164955722
5,5,2,13,1,1.7,1.7018743,2.0359457,1,0.9114286,1,0.203337635
3,3,1,14,1,1.1,1.2059546,0.5917329,1,1.0248243,1,0.209535239
5,3,2,15,1,1.1,1.213923,0.6087876,2,0.8648127,1,0.173453926
1,5,1,16,1,1.7,1.25379,0.4887314,1,0.771019,1,0.272227755
3,5,2,17,1,1.7,1.7419155,0.6520716,2,1.0931801,1,0.218199244
1,4,1,18,1,1.4,1.3740354,0.5495659,1,0.905424,1,0.184410738
5,4,2,19,1,1.4,1.4060373,0.7775767,1,0.9472494,1,0.164955722
5,3,1,20,1,1.1,1.1979791,0.6536179,1,0.9482601,1,0.173453926
1,5,2,21,1,1.7,1.5259375,0.5644622,2,0.8736415,1,0.272227755
3,2,2,22,1,0.8,0.7660312,0.4497385,2,0.8178899,1,0.201926871
1,1,2,23,1,0.5,0.3499933,0.6182715,2,1.4843245,1,0.172699735
5,5,1,24,1,1.7,1.4859832,0.7007474,1,1.2544171,1,0.203337635
3,1,1,25,1,0.5,0.8698019,0.6465148,1,1.7226456,1,0.200830632
3,2,1,26,1,0.8,0.6538784,0.9706815,1,1.0184694,1,0.201926871
1,4,2,27,1,1.4,1.1658774,0.6190267,2,0.5965007,1,0.184410738
5,2,2,28,1,0.8,0.7579844,0.8764771,1,1.459952,1,0.206838906
3,4,1,29,1,1.4,1.4779388,0.9805118,1,0.9872439,1,0.223362889
5,1,1,30,1,0.5,0.7020225,1.435258,1,0.9824698,1,0.202767275
3,2,1,31,1,0.8,1.030139,0.6463921,1,1.3242768,1,0.201926871
3,4,1,32,1,1.4,1.6700387,0.4122557,1,1.306054,1,0.223362889
3,1,2,33,1,0.5,1.1018573,0.5940416,1,1.2229795,1,0.200830632
3,5,2,34,1,1.7,1.8618934,0.7589232,2,0.9268647,1,0.218199244
1,1,2,35,1,0.5,0.4141001,0.599201,2,1.6635318,1,0.172699735
1,4,1,36,1,1.4,1.5819249,0.6794683,1,1.102137,1,0.184410738
5,1,1,37,1,0.5,0.51808,0.5744009,1,1.011552,1,0.202767275
1,3,1,38,1,1.1,1.173992,0.9320975,1,0.7445762,1,0.192206404
1,5,1,39,1,1.7,1.9500776,0.5608452,1,0.8295806,1,0.272227755
3,3,2,40,1,1.1,1.0698089,0.8938942,2,0.9362414,1,0.209535239
5,1,2,41,1,0.5,0.9019789,0.7124275,1,0.9686688,1,0.202767275
1,4,2,42,1,1.4,1.3579385,0.521069,2,0.9187627,1,0.184410738
3,1,1,43,1,0.5,0.7740401,0.6870379,1,1.3256458,1,0.200830632
3,2,2,44,1,0.8,0.5658738,1.2219232,2,1.1431597,1,0.201926871
5,5,2,45,1,1.7,1.47004,0.7514836,2,1.2875726,1,0.203337635
1,3,2,46,1,1.1,1.5659259,0.5435281,1,0.9481042,1,0.192206404
5,4,2,47,1,1.4,1.3499058,0.5642487,2,1.2164423,1,0.164955722
5,2,2,48,1,0.8,1.1818967,0.6244893,2,1.3289769,1,0.206838906
5,5,1,49,1,1.7,1.8219233,0.5050784,1,1.0289978,1,0.203337635
