,sig_s_log__,mu_p,sig_p_log__,k_r_log__,sig_n_log__,sig_s,sig_p,k_r,sig_n
0,-1.3246055427990433,-0.051804459891638344,-1.579197609574089,-5.697604558589663,-1.8664778977881116,0.26590782766189697,0.20614043697591175,0.0033539901291638726,0.1546674581963748
1,-1.2535110370295832,-0.11853649751372311,-1.511185105069253,-3.325746262400462,-2.3232518865802105,0.2855006317712266,0.22064833149454882,0.035945683829426846,0.09795453009746755
2,-1.5346890678860297,-0.10121031052091124,-1.4850222534409963,-7.015265213866262,-2.2156198641170466,0.21552269367934057,0.22649730027607834,0.0008980676002089376,0.10908587486751023
3,-1.3393967437026932,0.025953519775111518,-1.6030562156518005,-5.5115849526169844,-2.2352548116651976,0.2620036762835988,0.20128042063905907,0.0040396995741148745,0.10696487048349373
4,-1.8649216314216694,0.021060609577886434,-0.7061612175858014,-4.103036225249966,-2.7288244880840953,0.15490834935633485,0.49353513969600415,0.016522433337955354,0.06529600079886992
5,-1.2866762028778431,0.04888484551969259,-1.5511619997879802,-3.5940042742702496,-1.8999498531867605,0.27618724955697155,0.21200148496389534,0.027488040102548503,0.14957611980031316
6,-1.6302692340733482,-0.20536941484095192,-1.0790283220166692,-3.347764104475609,-2.6997293997780685,0.19587683031011272,0.33992566350831743,0.035162886813909174,0.06722370102717848
7,-1.3144435198012028,0.12882306162532406,-1.7715433490709713,-8.5612876491274,-1.64342257519796,0.2686237654609669,0.1700703083213464,0.00019137271401229925,0.1933172658573208
8,-1.3679635349809298,-0.02532577432504379,-1.4850654526276572,-3.96537865435547,-2.041411935783049,0.25462496675978735,0.2264875159882637,0.018960855642390525,0.12984524823792512
9,-1.268282984230203,-0.12943636987791465,-1.389432369467978,-2.791464515828357,-2.324303263532576,0.28131422830457287,0.2492167275135254,0.06133132741119427,0.09785159708232492
10,-1.3394746416848093,0.06693332726880588,-1.479125390867028,-5.273999087122067,-2.701639318061924,0.2619832675208203,0.22783686947518583,0.005123081901558769,0.06709543178235779
11,-1.0026858798226737,0.04611482407634438,-1.337505504281357,-3.6264776231266636,-6.29948449281807,0.3668926869480524,0.26249965682586346,0.026609749091923877,0.0018372516493684534
12,-1.1259547261800056,-0.5097571861002281,-1.0208181907380145,-3.338408674237204,-4.426130693814078,0.3243426610619827,0.36030002539757494,0.035493394358003236,0.011960679785599242
13,-1.3139092283954608,0.14070460887591757,-1.1313385600238397,-4.471625898664366,-3.5569940952472274,0.26876732717871155,0.32260114628603165,0.01142871879751245,0.028524437720364473
14,-1.4937209419774713,-0.32884805306066817,-1.3658669000727042,-3.63225888936305,-2.7530881900722726,0.2245356152198624,0.25515938239507113,0.02645635488156611,0.06373074434421357
15,-1.4916722395471542,-0.3734766702439415,-1.372101372329004,-3.198749152354822,-2.3151423880467967,0.2249960934107913,0.25357354686500516,0.0408132231872013,0.09875212187926476
