WMSize,ShortLong,DurLevel,TPresent,NT,NSub,curDur,repDur,WMRP,valid,stdRepDur
3,1,1,1,1,1,0.5,0.742038474,2,1,0.20370057
3,1,4,1,2,1,1.4,1.301903219,1,1,0.297183351
3,1,3,1,3,1,1.1,0.805957463,1,1,0.20179065
3,1,5,2,4,1,1.7,1.253941196,2,1,0.16804318
3,1,4,2,5,1,1.4,0.709890659,2,1,0.297183351
3,1,1,1,6,1,0.5,0.565898221,1,1,0.20370057
3,1,4,1,7,1,1.4,0.261811445,1,1,0.297183351
3,1,2,2,8,1,0.8,0.662051487,2,1,0.243162502
3,1,2,1,9,1,0.8,0.453999169,2,1,0.243162502
3,1,4,2,10,1,1.4,1.237855159,2,1,0.297183351
3,1,1,2,11,1,0.5,0.62995188,2,1,0.20370057
3,1,3,2,12,1,1.1,0.950063422,2,1,0.20179065
3,1,3,2,13,1,1.1,0.966049312,1,1,0.20179065
3,1,1,2,14,1,0.5,0.678114508,2,1,0.20370057
3,1,3,1,15,1,1.1,0.566002411,1,1,0.20179065
3,1,5,1,16,1,1.7,0.901831126,2,1,0.16804318
3,1,5,2,17,1,1.7,1.013932649,2,1,0.16804318
3,1,2,1,18,1,0.8,0.725972031,2,1,0.243162502
3,1,5,1,19,1,1.7,1.141789288,1,1,0.16804318
3,1,2,2,20,1,0.8,1.173975669,2,1,0.243162502
1,1,3,1,21,1,1.1,1.029948085,1,1,0.174086976
1,1,4,1,22,1,1.4,0.869900711,1,1,0.200818709
1,1,2,1,23,1,0.8,0.981883737,1,1,0.132346632
1,1,3,2,24,1,1.1,0.933927934,2,1,0.174086976
1,1,1,2,25,1,0.5,0.582131368,2,1,0.208368389
1,1,3,2,26,1,1.1,0.774013986,2,1,0.174086976
1,1,5,2,27,1,1.7,1.061961852,1,1,0.22001886
1,1,4,2,28,1,1.4,1.077982576,2,1,0.200818709
1,1,5,1,29,1,1.7,1.046055582,1,1,0.22001886
1,1,2,2,30,1,0.8,0.726058804,2,1,0.132346632
1,1,1,2,31,1,0.5,0.630056692,2,1,0.208368389
1,1,5,1,32,1,1.7,0.949908537,1,1,0.22001886
1,1,4,1,33,1,1.4,1.301934632,1,1,0.200818709
1,1,5,2,34,1,1.7,1.157879679,2,1,0.22001886
1,1,2,2,35,1,0.8,0.83795288,2,1,0.132346632
1,1,3,1,36,1,1.1,0.661983685,1,1,0.174086976
1,1,2,1,37,1,0.8,0.869959182,1,1,0.132346632
1,1,4,2,38,1,1.4,0.869798698,2,1,0.200818709
1,1,1,1,39,1,0.5,0.646086124,1,1,0.208368389
1,1,1,1,40,1,0.5,0.629961521,1,1,0.208368389
3,1,1,2,41,1,0.5,0.981987617,2,1,0.20370057
3,1,4,2,42,1,1.4,0.982020273,1,1,0.297183351
3,1,1,1,43,1,0.5,0.742195537,1,1,0.20370057
3,1,5,2,44,1,1.7,1.093972198,2,1,0.16804318
3,1,4,2,45,1,1.4,1.030035481,2,1,0.297183351
3,1,4,1,46,1,1.4,1.285906755,1,1,0.297183351
3,1,2,1,47,1,0.8,1.045900074,1,1,0.243162502
3,1,3,2,48,1,1.1,1.045926511,2,1,0.20179065
3,1,3,1,49,1,1.1,0.965960362,1,1,0.20179065
