WMSize,DurLevel,TPresent,NT,NSub,curDur,repDur,repWaitTime,WMRP,WMRTTest,Crr,repBias
5,3,2,1,1,1.1,1.045568,1.7658354,-1,2.0000529,1,0.240999682
5,4,1,2,1,1.4,1.1492646,0.4286895,1,0.9112825,1,0.176417641
5,3,1,3,1,1.1,1.1730681,0.4790468,1,0.8429359,1,0.240999682
1,1,2,4,1,0.5,1.0059073,0.4371885,1,0.7312703,1,0.251073956
1,2,1,5,1,0.8,0.7979458,0.5159218,1,0.8884794,1,0.182591042
1,1,1,6,1,0.5,0.6698994,0.5522984,1,0.8414175,1,0.251073956
3,4,2,7,1,1.4,0.677849,0.3756158,2,1.1580121,1,0.250268231
5,1,1,8,1,0.5,0.6778729,0.4465109,2,1.0156967,1,0.228112683
3,3,1,9,1,1.1,1.1578165,0.6184408,1,1.1392711,1,0.200196574
5,4,2,10,1,1.4,1.021982,1.1562802,2,1.5654263,1,0.176417641
3,5,1,11,1,1.7,1.0859972,0.638942,1,0.9596798,1,0.194654411
1,5,2,12,1,1.7,1.3179149,0.7311404,2,1.2602251,1,0.22008172
3,4,1,13,1,1.4,1.0539456,0.9704642,1,1.0188756,1,0.250268231
5,5,1,14,1,1.7,1.2699978,0.6347694,1,1.003878,1,0.268332432
3,2,2,15,1,0.8,0.8459741,0.5914118,1,1.3045279,1,0.247844287
5,2,2,16,1,0.8,0.9819245,0.4230019,2,0.9921661,1,0.159266172
3,3,2,17,1,1.1,0.9099019,0.6638513,2,1.3049339,1,0.200196574
1,2,2,18,1,0.8,0.7178894,0.6181659,2,0.7949671,1,0.182591042
3,1,2,19,1,0.5,0.6378067,0.5896434,2,1.0307587,1,0.228186494
5,5,2,20,1,1.7,0.9578337,0.5578343,1,1.7350226,1,0.268332432
3,2,1,21,1,0.8,0.8620728,0.5422198,1,1.5037878,1,0.247844287
1,3,1,22,1,1.1,0.8699424,0.4792154,1,1.0557283,1,0.249775444
1,5,1,23,1,1.7,1.4299442,0.4503527,1,0.8835589,1,0.22008172
5,1,2,24,1,0.5,0.221901,0.6884137,2,0.9854566,1,0.228112683
3,1,1,25,1,0.5,0.6698734,0.6131879,1,1.0221768,1,0.228186494
1,4,1,26,1,1.4,0.8940432,0.4829398,1,0.7162405,1,0.243876451
1,3,2,27,1,1.1,0.9499208,0.8848847,2,1.4456809,1,0.249775444
5,2,1,28,1,0.8,0.9898735,0.4288719,1,1.0141404,1,0.159266172
3,5,2,29,1,1.7,1.4299198,0.6614272,2,0.9261542,1,0.194654411
1,4,2,30,1,1.4,1.5499577,0.5790914,2,0.7242134,1,0.243876451
3,3,2,31,1,1.1,1.118006,0.711066,2,0.8482646,1,0.200196574
3,4,1,32,1,1.4,1.1098703,0.5753156,1,0.9925054,1,0.250268231
