,sig_s_log__,k_s_log__,l_s_log__,mu_p,sig_p_log__,sig_n_log__,sig_s,k_s,l_s,sig_p,sig_n
0,-1.1068844778836484,-3.742481038927153,-7.999593880194974,-0.0006523172816339926,-1.3321708224976159,-1.729733215345483,0.33058731039778555,0.023695241326165482,0.00033559889358777305,0.26390375083082174,0.17733171303952885
1,-1.3531437218921536,-8.537394670370928,-5.556014374645251,-0.2640402164208364,-1.2382466492066146,-2.388663603724503,0.25842656105592715,0.0001960002407592624,0.0038641467883683577,0.2898920550653804,0.09175221930547159
2,-1.1242145710161253,-2.2494774488742397,-3.5828610551142948,-0.041349441503169264,-1.5870441740766983,-2.4037455403757324,0.3249075589809626,0.10545431543795947,0.0277960583276257,0.20452927206171476,0.0903788010832033
3,-1.349067656048613,-3.0863377479592913,-3.0615667110456246,0.10699128780454706,-1.5668736619000245,-1.9996604988529387,0.2594820744441601,0.04566889954098908,0.04681429326482468,0.20869661971325776,0.13538123752083409
4,-0.6222317722093198,-9.039787517718889,-1.8712962229845598,0.09636026868612013,-0.8561913730360623,-6.147500026098444,0.5367452068513766,0.00011859603333299235,0.15392401260512367,0.42477682185294496,0.002138822091332821
5,-1.1879345349243189,-1.5394208500462743,-2.898023571805411,0.11713209647921441,-1.3610408678611685,-2.3574377363531256,0.3048502718360835,0.21450529619217393,0.055132077038452666,0.2563937659852769,0.09466246291020514
6,-1.5338948541229593,-10.150518764715038,-9.382674210824838,0.1721154059484518,-1.8291664297142887,-1.3915854696364016,0.21569393276013094,3.9055815640439295e-05,8.416981347241229e-05,0.1605473395050188,0.24868071618565407
7,-1.130297090935398,-2.8901525923824214,-2.715387819894462,-0.048867599312370225,-0.9695166212280208,-6.328113207470765,0.32293730042447216,0.05556773275179217,0.06617928238729545,0.37926632309130276,0.0017853992711074696
8,-0.654256930081278,-0.939971871197245,-1.9775163017377921,0.06789289874018903,-1.499794219237161,-1.9221499088323448,0.5198281877995239,0.3906388234063921,0.13841258584624375,0.22317608076762555,0.14629210910151036
9,-0.9094824365485329,-8.534098770364654,-2.419326318468072,-0.08471781276742626,-1.3109733538452373,-2.4129413789135903,0.40273260978209785,0.0001966473036956272,0.088981542493786,0.26955755376997237,0.08955150190595614
10,-2.093026520042099,-3.7485535679569284,-4.128317645059178,0.3027290233050658,-0.8951831450629782,-2.376258353263067,0.12331336012707245,0.0235517872905719,0.016109958705838895,0.408532771028825,0.09289751773580619
11,-0.9593178957470004,-6.765633161244215,-0.9898046095007931,0.11547770778583714,-1.366163037370345,-1.634439860443629,0.38315414793489616,0.0011527174071844955,0.3716493006705849,0.25508383137239093,0.19506160242343623
12,-1.2763753705649366,-4.09264722833077,-2.467456881071842,-0.1157307560261056,-1.1943658613268726,-1.9852853283167478,0.27904691126364295,0.016694979586297218,0.08480024211388035,0.30289597134231727,0.137341421129275
13,-1.2477137946335288,-2.4418825886719278,-4.310011218360585,-0.10617212277986313,-0.49007856003101885,-3.5491766572580548,0.2871605549775323,0.08699691778863856,0.013433398892687338,0.612578268126303,0.028748299616606306
14,-1.7590305858365238,-8.83210253565117,-2.8175105792156323,-0.34338260727370595,-1.0535047292415423,-2.73791820810824,0.17221172741769222,0.00014597100736735095,0.059754511830394014,0.3487134587054944,0.06470490893426414
15,-1.6978819493299389,-8.8047353428631,-3.0316972068950028,0.08306026868748555,-1.5971730159354018,-1.8019724156413603,0.1830708670745309,0.00015002098961914773,0.04823370603942213,0.2024680837567197,0.16497317143899515
