"","WMSize","DurLevel","TPresent","NT","NSub","curDur","repDur","repWaitTime","WMRP","WMRTTest","Crr","repBias","Exp","gap","Gap","valid","log_RP","log_dur"
"16028",1,4,1,188,9,1.4,1.1580466,0.4306521,1,0.5631633,1,0.136686951,"Exp6c",5,0.8,1,0.146734620137325,0.336472236621213
"16029",5,3,1,189,9,1.1,1.1899655,0.4798955,1,1.065401,1,0.098441264,"Exp6c",5,1.1,1,0.173924315106535,0.0953101798043249
"16030",5,3,2,190,9,1.1,0.981905,0.5902104,2,0.8190776,1,0.098441264,"Exp6c",5,1.1,1,-0.0182607166516123,0.0953101798043249
"16031",3,5,1,191,9,1.7,1.0538451,1.2565155,1,0.7201818,1,0.285448054,"Exp6c",5,0.5,1,0.0524454753720425,0.53062825106217
"16032",3,4,2,192,9,1.4,1.3260934,0.7651582,2,0.773878,1,0.161931213,"Exp6c",5,0.8,1,0.282237326688805,0.336472236621213
"16033",1,3,1,193,9,1.1,1.3020214,0.3703637,1,0.6915999,1,0.159282112,"Exp6c",5,1.1,1,0.263917979903224,0.0953101798043249
"16034",3,2,1,194,9,0.8,0.9659537,0.4402602,1,1.0762443,1,0.232063521,"Exp6c",5,1.4,1,-0.0346393755249046,-0.22314355131421
"16035",3,1,2,195,9,0.5,0.4939205,0.3612273,2,0.6749287,1,0.102886507,"Exp6c",5,1.7,1,-0.705380705919115,-0.693147180559945
"16036",3,2,2,196,9,0.8,0.7020154,0.5996648,2,0.7118146,1,0.232063521,"Exp6c",5,1.4,1,-0.353799937875008,-0.22314355131421
"16037",5,2,1,197,9,0.8,0.9100391,0.4126512,1,0.7155933,1,0.160757551,"Exp6c",5,1.4,1,-0.0942677133613308,-0.22314355131421
"16038",1,1,2,198,9,0.5,0.6541012,0.368438,2,0.7396134,1,0.147190753,"Exp6c",5,1.7,1,-0.424493199434785,-0.693147180559945
"16039",3,5,2,199,9,1.7,1.4299473,0.5123012,2,0.7746623,1,0.285448054,"Exp6c",5,0.5,1,0.357637590445869,0.53062825106217
"16040",3,3,1,200,9,1.1,1.110021,0.5632763,1,0.764343,1,0.21563867,"Exp6c",5,1.1,1,0.104378934064201,0.0953101798043249
"16041",5,5,2,201,9,1.7,1.238107,0.5451844,2,0.8300229,1,0.185437621,"Exp6c",5,0.5,1,0.213583600252934,0.53062825106217
"16042",5,2,2,202,9,0.8,0.9259956,0.3948332,2,0.8499371,1,0.160757551,"Exp6c",5,1.4,1,-0.076885795967117,-0.22314355131421
"16043",1,4,2,203,9,1.4,1.2938845,0.4868054,2,0.64356,1,0.136686951,"Exp6c",5,0.8,1,0.257648933980592,0.336472236621213
"16044",1,2,1,204,9,0.8,1.0379888,0.3927417,1,0.5793008,1,0.171511212,"Exp6c",5,1.4,1,0.0372849947047524,-0.22314355131421
"16045",5,4,1,205,9,1.4,1.2135078,0.6326897,2,1.082356,1,0.090589152,"Exp6c",5,0.8,1,0.193515173852366,0.336472236621213
"16046",5,4,2,206,9,1.4,1.2058925,0.4632299,2,0.800791,1,0.090589152,"Exp6c",5,0.8,1,0.18721995668689,0.336472236621213
"16047",5,1,2,207,9,0.5,0.6699805,0.421531,2,0.7578881,1,0.124862271,"Exp6c",5,1.7,1,-0.400506671498281,-0.693147180559945
"16048",1,5,1,208,9,1.7,1.3580202,0.6586468,1,0.5820974,1,0.170217951,"Exp6c",5,0.5,1,0.306027903841781,0.53062825106217
"16049",5,1,1,209,9,0.5,0.4940065,0.4749571,1,1.0244294,1,0.124862271,"Exp6c",5,1.7,1,-0.705206603986042,-0.693147180559945
"16050",1,2,2,210,9,0.8,0.6059764,0.4692141,2,0.95797,1,0.171511212,"Exp6c",5,1.4,1,-0.500914237565545,-0.22314355131421
"16051",3,3,1,211,9,1.1,1.1259363,0.4670503,1,0.9673748,1,0.21563867,"Exp6c",5,1.1,1,0.118614956181189,0.0953101798043249
"16052",3,4,1,212,9,1.4,1.029903,0.7402583,1,0.8892941,1,0.161931213,"Exp6c",5,0.8,1,0.029464623049542,0.336472236621213
"16053",1,3,1,213,9,1.1,1.1499523,0.4142216,1,0.5475677,1,0.159282112,"Exp6c",5,1.1,1,0.139720463254042,0.0953101798043249
"16054",1,5,1,214,9,1.7,1.5979446,0.59239,1,0.6528974,1,0.170217951,"Exp6c",5,0.5,1,0.468718178407703,0.53062825106217
"16055",3,2,2,215,9,0.8,1.005902,0.4420541,1,0.9158457,1,0.232063521,"Exp6c",5,1.4,1,0.00588465142539062,-0.22314355131421
"16056",1,2,2,216,9,0.8,0.8859814,1.0569521,1,0.8472171,1,0.171511212,"Exp6c",5,1.4,1,-0.121059321825408,-0.22314355131421
"16057",3,1,1,217,9,0.5,0.6059481,0.8282515,1,0.9032462,1,0.102886507,"Exp6c",5,1.7,1,-0.500960940144799,-0.693147180559945
"16058",1,4,2,218,9,1.4,1.0139273,1.2280593,2,1.1026484,1,0.136686951,"Exp6c",5,0.8,1,0.0138312063462268,0.336472236621213
"16059",5,4,1,219,9,1.4,1.1739404,0.7477617,1,1.1390394,1,0.090589152,"Exp6c",5,0.8,1,0.160365953507356,0.336472236621213
"16060",5,5,1,220,9,1.7,1.6220488,0.4967085,1,1.1362797,1,0.185437621,"Exp6c",5,0.5,1,0.483690041553831,0.53062825106217
"16061",3,5,2,221,9,1.7,1.5339385,0.4294052,2,0.7868218,1,0.285448054,"Exp6c",5,0.5,1,0.427838610876721,0.53062825106217
"16062",1,1,2,222,9,0.5,0.5739972,0.5276351,2,0.5357307,1,0.147190753,"Exp6c",5,1.7,1,-0.555130760723249,-0.693147180559945
