,sig_s_log__,mu_p,sig_p_log__,sig_n_log__,sig_s,sig_p,sig_n
0,-1.110599132628857,-0.09633093191054143,-1.6554276406271087,-2.49228384758664,0.3293615706858928,0.19101035444956052,0.08272082891111157
1,-1.4681458586455598,0.11118050430381432,-1.479370258652463,-2.359311929089432,0.23035219500516196,0.22778108639553532,0.09448521336161007
2,-1.593616866697175,-0.0019252943289028792,-1.6555936829591886,-2.4807591973488483,0.20318937222312203,0.19097864127779365,0.08367967208522194
3,-1.3243359982579355,-0.04646085563701373,-1.5788148170777092,-1.86665600820579,0.2659795113258172,0.2062193610932028,0.15463991276393127
4,-1.9985537999304304,-0.0713483844210135,-1.2680008531353995,-7.091897061451513,0.13553114672740443,0.2813936069928598,0.0008318178582755465
5,-1.2877015599832122,-0.16272582047072362,-1.538591733311126,-3.4469718475602633,0.2759042041343421,0.2146832198725827,0.031841912700438624
6,-1.0613011411968998,-0.3743360813762681,-1.1862638761320359,-2.2833497440466766,0.34600531554455005,0.3053599982939924,0.10194215401735934
7,-1.0008324824908768,-0.02229598300140335,-0.8947873411389078,-2.8617193244979764,0.367573315417758,0.4086945019074564,0.057170381279908825
8,-1.8293245504736946,0.26657168776361634,-1.416972066902837,-2.2481567424019437,0.1605219556446862,0.2424470199509134,0.10559368164555848
9,-1.1711683682474447,-0.04467418552104025,-1.2139042283193344,-3.1030716601894612,0.3100045301423051,0.2970353189223284,0.044911038856349145
10,-1.3203011031120078,0.0019383065606700346,-1.168412049874801,-3.2931915883106657,0.2670548788035412,0.3108601800043384,0.037135139982510945
11,-1.993912760706739,-0.6123943345669481,-0.8496716283700352,-2.5095278808792307,0.13616161397536305,0.4275553059327576,0.08130661658917568
12,-1.735101863016654,0.15873426958309075,-1.265186122467624,-2.8869302949354276,0.17638223254494018,0.2821867699545685,0.05574707731074988
13,-1.7253630923899492,0.07717257405962093,-0.5137408111386123,-2.701298159722053,0.178108370237103,0.5982534345960381,0.0671183258535072
14,-1.383579969461786,-0.03351871173103796,-1.0660027516370465,-2.31905132764682,0.25067951973866054,0.3443823516023995,0.09836685927415281
15,-1.3825283803178132,-0.11909716365307715,-1.0556148766695277,-2.715088850115701,0.2509432702545182,0.34797839771378547,0.06619907095065312
