,sig_s_log__,k_s_log__,l_s_log__,mu_p,sig_p_log__,k_r_log__,sig_n_log__,sig_s,k_s,l_s,sig_p,k_r,sig_n
0,-1.416294448106187,-3.032702168232372,-9.363736899524442,-0.18218630220734514,-1.2153691812842833,-4.23694919294435,-2.1932516009403025,0.24261136228326227,0.048185257378287674,8.577895171914252e-05,0.29660049472743955,0.014451613742979399,0.1115534310143292
1,-1.882361067152877,-3.071691413879214,-11.177694900186637,0.01618427458150916,-1.9542836095736387,-4.592863236021416,-2.3440915989377813,0.15223025525309916,0.04634270383709184,1.3982627382050543e-05,0.14166592846515041,0.010123829921041529,0.09593430938889771
2,-1.2602397894117978,-2.666316640678428,-3.479535304083729,-0.19464050189729407,-1.427568259889966,-2.9722738736315355,-3.014788788663722,0.2835860174218562,0.0695077764934721,0.03082173043767569,0.23989156748244622,0.05118678561878878,0.049056195617518804
3,-0.9727494878924581,-3.584399265279288,-5.320264019757616,-0.09741335585361079,-1.4599448327174034,-4.684958347518637,-2.5407351407399568,0.3780421854415028,0.02775333501529998,0.004891462112100062,0.23224908692735985,0.009233119186547163,0.07880844319291332
4,-1.7360286821507196,-3.0483252729234267,-3.7722326066314182,0.18636220823286798,-1.7024508990778617,-7.49786850385849,-1.823732668630213,0.17621883384912373,0.04743830411526972,0.02300065450700851,0.1822363334055184,0.0005542645246493027,0.16142208983040665
5,-2.065442231050653,-6.8213321877284585,-4.130816261802885,-0.09457740574604441,-1.3702454307957332,-4.518666672247111,-2.7946673718910775,0.1267622199811063,0.0010902675133856454,0.01606975633934464,0.2540446015321182,0.010903551989367941,0.06113520623895896
6,-1.4062359948641114,-2.7212706889869787,-11.48392849940001,0.07224586552793338,-0.6116271888341176,-4.428331421749864,-7.447974135505105,0.24506397137571262,0.06579110126126712,1.029421470763223e-05,0.5424674535441986,0.011934386526231251,0.0005826207280729809
7,-2.410712803227958,-3.919161080887955,-6.0191748804744,0.15195784202384352,-2.297240034725899,-6.543299345661375,-1.600180077267497,0.08975129675199268,0.019857746801843247,0.002431675190162275,0.10053593685772096,0.0014397304856399796,0.20186016429471348
8,-1.5687463258670962,-3.7203708201317363,-10.715288824874053,0.18957974420238644,-1.3908985935813651,-3.454525709727473,-1.4078286337936672,0.20830616678114514,0.024224983068513173,2.2202873847503576e-05,0.24885158769200635,0.03160228946064598,0.244673983591965
9,-1.5009368976929947,-3.1708719225082254,-10.48278121314883,-0.3099265905167569,-0.38732904979894595,-4.084734102345636,-7.034211996507081,0.22292120791486647,0.04196698998296127,2.8014699226921067e-05,0.6788676768982297,0.01682761314401039,0.0008812122897670586
10,-1.2435263777308765,-5.9926705831230676,-2.8079631470657187,-0.00514434177399631,-1.3646762883903407,-5.074601026598041,-3.1309199988705103,0.28836553705966395,0.002496986727385174,0.06032774608095199,0.2554633590597908,0.006253580954440764,0.04367759542431115
11,-1.2028819750449162,-0.1567608351390332,-3.8556315054573203,0.1160247338194394,-1.1794931579222694,-1.010826960155734,-2.3037746459508104,0.30032742733550105,0.8549084984414926,0.021160236285193878,0.30743451987036247,0.3639179094910934,0.09988111542808938
12,-1.3262614772080819,-2.1270459924992875,-10.181784951203534,-0.24380874642130906,-1.3207836874089263,-5.244886639441914,-6.663133970908816,0.2654678661147068,0.11918885911737769,3.785358179676958e-05,0.2669260334044988,0.00527441957187513,0.0012771375799269476
13,-1.352799579958479,-3.301393671628442,-11.056826951294266,-0.06980737050374101,-1.1091096875018283,-4.075410041414072,-2.9487518798022916,0.2585155117773205,0.03683180018009948,1.5779057824089334e-05,0.3298525021893904,0.01698524859352367,0.05240507297703733
14,-1.5817508666803506,-0.822954358708647,-4.2744158506089835,0.10000324847651224,-0.7220675753496607,-1.0532623580093006,-2.2061162108775716,0.20561477879612575,0.43913238161606416,0.013920177807794577,0.48574689867827114,0.34879798705938697,0.11012753112537282
15,-1.5155109437062406,-0.9753907882169767,-5.035760848404004,-0.45094096522904065,-0.8547136791204757,-1.442838770195128,-3.0308536953440046,0.21969590392619137,0.37704498003364567,0.006501249769030018,0.4254049759735383,0.23625612897460818,0.04827440889186355
