,NSub,curDur,WMSize,repDur_mean,repDur_std,mPred,sdPred,repErr,predErr,repCV,predCV
0,1,0.5,1,0.6523091958333334,0.2060242517816404,0.6768078179569043,0.19095910154167217,0.15230919583333336,0.17680781795690426,0.3158383372450266,0.28214671355027326
1,1,0.5,3,0.6926387374999999,0.20917922550823084,0.691264842778531,0.19512664296350785,0.19263873749999993,0.19126484277853095,0.302003359302772,0.2822747967033859
2,1,0.5,5,0.6439230541666666,0.2130622935683385,0.6980508886113322,0.19803673913781727,0.14392305416666662,0.19805088861133224,0.33088160485894264,0.28369957315258454
3,1,0.8,1,0.8234019250000001,0.236798684612286,0.8906482981391016,0.21100664835004404,0.023401925000000046,0.09064829813910158,0.28758577970568383,0.2369135480199267
4,1,0.8,3,0.9373375333333334,0.21927884771647874,0.9012765871939385,0.21628522846478412,0.13733753333333332,0.1012765871939385,0.23393797849605516,0.2399765305544805
5,1,0.8,5,1.0022706166666666,0.2232419544224464,0.9073633612916764,0.21958413539513208,0.20227061666666657,0.10736336129167634,0.22273620588110268,0.24200242677039907
6,1,1.1,1,1.1642674708333334,0.17064736315555,1.0713839066974937,0.23970569430402647,0.06426747083333328,-0.028616093302506362,0.14657058402001719,0.22373464152818154
7,1,1.1,3,1.057604375,0.18712221144399127,1.0799871501533542,0.24471109123532023,-0.04239562500000016,-0.020012849846645864,0.1769302547032214,0.22658703967039992
8,1,1.1,5,1.1439642166666666,0.29849925344899975,1.0845684296947675,0.2475413715598873,0.0439642166666665,-0.015431570305232567,0.2609340826400847,0.22823951424582165
9,1,1.4,1,1.2043066666666666,0.19742636288317658,1.2341301764585448,0.26943662400342755,-0.19569333333333327,-0.16586982354145507,0.16393362948792936,0.2183210727223297
10,1,1.4,3,1.1339585625,0.19839479390088718,1.2380847092665244,0.2744336922049711,-0.2660414375,-0.16191529073347555,0.1749577105035416,0.22165986717302502
11,1,1.4,5,1.2733015583333334,0.3033839295831917,1.2412969371974965,0.276907679422183,-0.12669844166666655,-0.15870306280250346,0.23826557628681536,0.2230793222187139
12,1,1.7,1,1.3708422999999998,0.2997620049021511,1.3803698654753598,0.2978109637344357,-0.3291577000000001,-0.3196301345246402,0.2186699410297969,0.21574722194611093
13,1,1.7,3,1.4269506458333332,0.3013946824518944,1.3824085389084775,0.30236576296503836,-0.27304935416666676,-0.3175914610915225,0.2112159122895811,0.21872388259680486
14,1,1.7,5,1.3403129666666667,0.27128552482288865,1.3837401925281425,0.3059906900067752,-0.3596870333333333,-0.31625980747185745,0.20240461113912125,0.22113305059652805
15,2,0.5,1,0.6066397875,0.1999023447186701,0.5856929639538687,0.15016187805857828,0.10663978750000003,0.08569296395386872,0.32952395941993845,0.2563832712704494
16,2,0.5,3,0.5430355416666667,0.1175154912805742,0.5873365065209855,0.151239988871929,0.04303554166666668,0.08733650652098546,0.21640478801792523,0.2575014275339025
17,2,0.5,5,0.5453100708333333,0.108063584902205,0.5884441899025022,0.1518397693661219,0.04531007083333327,0.08844418990250225,0.19816906138752238,0.258035973456174
18,2,0.8,1,0.8779859583333334,0.18230341432967068,0.8306040169995816,0.15865947043376957,0.07798595833333333,0.030604016999581596,0.20763818897028186,0.19101697943491824
19,2,0.8,3,0.8426716375,0.19562235493861035,0.8294688004426898,0.16029664114376782,0.042671637499999915,0.029468800442689735,0.23214541255829363,0.19325216458800748
20,2,0.8,5,0.8139669708333334,0.2300030494063682,0.8299101562355357,0.1608533704357679,0.013966970833333314,0.029910156235535612,0.28257049444020166,0.1938202216555551
21,2,1.1,1,1.129309025,0.16162660520742744,1.0520401965075614,0.18015678365588997,0.029309024999999878,-0.04795980349243867,0.14311990928030302,0.17124515228025805
22,2,1.1,3,1.0273184708333334,0.19372206890207078,1.0494024442355359,0.18180899394540526,-0.0726815291666667,-0.05059755576446423,0.18857060824082,0.1732500195173918
23,2,1.1,5,1.0709928041666668,0.16104148625427434,1.0487167762767198,0.18255894002908502,-0.029007195833333332,-0.05128322372328031,0.15036654366653732,0.17407840148913006
24,2,1.4,1,1.2712846458333333,0.17183162527429338,1.2585672676931823,0.20637239880026664,-0.12871535416666657,-0.14143273230681763,0.1351637698429504,0.16397407122983973
25,2,1.4,3,1.2936428875000001,0.16543160383388272,1.2526956692995128,0.20778018481566354,-0.1063571124999998,-0.1473043307004871,0.1278804262230234,0.1658664509727657
26,2,1.4,5,1.2861455125,0.1992737966306317,1.2508336871832502,0.208807656785798,-0.11385448749999982,-0.14916631281674975,0.15493876446630425,0.1669347883138737
27,2,1.7,1,1.4044354541666666,0.16167520288617301,1.4548794849990065,0.23250510694910054,-0.29556454583333336,-0.2451205150009934,0.11511757440081455,0.15981056118147086
28,2,1.7,3,1.3471970833333333,0.17595261854137015,1.4464798271033388,0.23366957917015685,-0.35280291666666663,-0.2535201728966612,0.13060644260453366,0.16154361422246308
29,2,1.7,5,1.4349213541666668,0.2002638975640023,1.4419210802673121,0.2347215689291066,-0.2650786458333332,-0.2580789197326878,0.13956437193054802,0.1627839221863602
30,3,0.5,1,0.6126150583333333,0.178071086366394,0.6434528083899108,0.13831957893996422,0.1126150583333333,0.1434528083899108,0.29067370111804003,0.21496460523045413
31,3,0.5,3,0.6622395666666666,0.191237347703643,0.6492320063356756,0.1398457029411875,0.1622395666666666,0.14923200633567557,0.2887736664032654,0.21540173863344994
32,3,0.5,5,0.6329773208333332,0.14293406003264147,0.6527989127746745,0.14078305054764936,0.13297732083333325,0.1527989127746745,0.22581229268129951,0.2156606694537238
