,Nsub,curDur,WMSize,mRep,sdRep,mPred,sdPred,w_p,mu_post,mu_p,mu_wm
0,1,0.4,1,1,,0.5464134506070449,0.20451720857680683,0.4008678106032109,-0.6220118963995022,-0.18218630220734514,-0.916290731874155
1,1,0.4,3,1,,0.5386675089481211,0.2030596886244975,0.40103762600940573,-0.6507483903082358,-0.18218630220734514,-0.9644759892524427
2,1,0.4,5,1,,0.5310400472075449,0.20167405528542037,0.4012074051585976,-0.6794685491293934,-0.18218630220734514,-1.0126612466307303
3,1,0.41000000000000003,1,1,,0.5545572589535129,0.20344613366838302,0.4008678106032109,-0.6072177573563061,-0.18218630220734514,-0.8915981192837835
4,1,0.41000000000000003,3,1,,0.5466935785045584,0.20193650195686752,0.40103762600940573,-0.6359584444510769,-0.18218630220734514,-0.9397833766620712
5,1,0.41000000000000003,5,1,,0.5389502092241097,0.20050092048243184,0.4012074051585976,-0.6646827955629914,-0.18218630220734514,-0.9879686340403588
6,1,0.42000000000000004,1,1,,0.5626218217389595,0.20246249798744712,0.4008678106032109,-0.5927801385196415,-0.18218630220734514,-0.867500567704723
7,1,0.42000000000000004,3,1,,0.5546415152658493,0.20090064248142342,0.40103762600940573,-0.6215249177499219,-0.18218630220734514,-0.9156858250830107
8,1,0.42000000000000004,5,1,,0.5467833343499112,0.19941497695168509,0.4012074051585976,-0.6502533601236411,-0.18218630220734514,-0.9638710824612983
9,1,0.43000000000000005,1,1,,0.5706097700464463,0.20156125422842128,0.4008678106032109,-0.5786822600886765,-0.18218630220734514,-0.8439700702945289
10,1,0.43000000000000005,3,1,,0.5625139136786247,0.19994709316890322,0.40103762600940573,-0.6074310351599326,-0.18218630220734514,-0.8921553276728166
11,1,0.43000000000000005,5,1,,0.5545419809462373,0.19841123676432776,0.4012074051585976,-0.6361634725214821,-0.18218630220734514,-0.9403405850511042
12,1,0.44000000000000006,1,1,,0.5785235886998145,0.20073773267142417,0.4008678106032109,-0.5649084997015353,-0.18218630220734514,-0.8209805520698301
13,1,0.44000000000000006,3,1,,0.5703132239569607,0.1990712130669409,0.40103762600940573,-0.593661178747167,-0.18218630220734514,-0.8691658094481178
14,1,0.44000000000000006,5,1,,0.5622285651381317,0.19748508670837148,0.4012074051585976,-0.6223975192495611,-0.18218630220734514,-0.9173510668264054
15,1,0.45000000000000007,1,1,,0.5863656275206717,0.19998760456442533,0.4008678106032109,-0.551444288372893,-0.18218630220734514,-0.7985076962177715
16,1,0.45000000000000007,3,1,,0.5780417631839154,0.19826870070559532,0.40103762600940573,-0.5802007836556695,-0.18218630220734514,-0.8466929535960592
17,1,0.45000000000000007,5,1,,0.5698453717627993,0.19663225171072524,0.4012074051585976,-0.6089409395804101,-0.18218630220734514,-0.8948782109743468
18,1,0.4600000000000001,1,1,,0.5941381114889561,0.19930684988285918,0.4008678106032109,-0.5382760178699254,-0.18218630220734514,-0.7765287894989962
19,1,0.4600000000000001,3,1,,0.5857017253317411,0.19753556188400803,0.40103762600940573,-0.567036245509674,-0.18218630220734514,-0.8247140468772839
20,1,0.4600000000000001,5,1,,0.5773945642515653,0.1958487626437813,0.4012074051585976,-0.5957801329944975,-0.18218630220734514,-0.8728993042555715
21,1,0.4700000000000001,1,1,,0.6018431499353012,0.19869172885508657,0.4008678106032109,-0.5253909580502728,-0.18218630220734514,-0.7550225842780326
22,1,0.4700000000000001,3,1,,0.5932951903272385,0.19686808122620622,0.40103762600940573,-0.5541548377749967,-0.18218630220734514,-0.8032078416563203
23,1,0.4700000000000001,5,1,,0.5848781935701156,0.1951309279042776,0.4012074051585976,-0.582902376565045,-0.18218630220734514,-0.8513930990346079
24,1,0.4800000000000001,1,1,,0.6094827448760337,0.19813875673850206,0.4008678106032109,-0.512777182903309,-0.18218630220734514,-0.7339691750802002
25,1,0.4800000000000001,3,1,,0.6008241322715576,0.19626279699047855,0.40103762600940573,-0.5415446378212677,-0.18218630220734514,-0.7821544324584879
26,1,0.4800000000000001,5,1,,0.5922982063248226,0.19447530824855858,0.4012074051585976,-0.5702957510412171,-0.18218630220734514,-0.8303396898367755
27,1,0.4900000000000001,1,1,,0.6170587985869096,0.19764468141068092,0.4008678106032109,-0.5004235042177327,-0.18218630220734514,-0.7133498878774646
28,1,0.4900000000000001,3,1,,0.6082904269092321,0.1957164786963462,0.40103762600940573,-0.5291944606083233,-0.18218630220734514,-0.7615351452557523
29,1,0.4900000000000001,5,1,,0.5996564521286419,0.19387869444795236,0.4012074051585976,-0.5579490745533109,-0.18218630220734514,-0.8097204026340399
30,1,0.5000000000000001,1,1,,0.6245731204991858,0.19720646340594472,0.4008678106032109,-0.48831941195084483,-0.18218630220734514,-0.6931471805599451
31,1,0.5000000000000001,3,1,,0.6156958584288907,0.19522610719914668,0.40103762600940573,-0.5170937990723846,-0.18218630220734514,-0.7413324379382328
32,1,0.5000000000000001,5,1,,0.6069546903078916,0.19333808739397648,0.4012074051585976,-0.545851843015832,-0.18218630220734514,-0.7895176953165204
33,1,0.5100000000000001,1,1,,0.6320274334909597,0.19682125808264966,0.4008678106032109,-0.4764550205030761,-0.18218630220734514,-0.6733445532637654
34,1,0.5100000000000001,3,1,,0.6230421256675792,0.19478885689718176,0.40103762600940573,-0.5052327704158139,-0.18218630220734514,-0.7215298106420531
35,1,0.5100000000000001,5,1,,0.6141945960208554,0.19285068033802383,0.4012074051585976,-0.5339941764324754,-0.18218630220734514,-0.7697150680203407
36,1,0.5200000000000001,1,1,,0.6394233796375904,0.19648639965238762,0.4008678106032109,-0.4648210202096159,-0.18218630220734514,-0.6539264674066637
37,1,0.5200000000000001,3,1,,0.6303308477816242,0.19440207980228325,0.40103762600940573,-0.49360206761249115,-0.18218630220734514,-0.7021117247849514
38,1,0.5200000000000001,5,1,,0.6213777658502804,0.1924138429960915,0.4012074051585976,-0.5223667704152483,-0.18218630220734514,-0.750296982163239
39,1,0.5300000000000001,1,1,,0.6467625254771834,0.19619938684077032,0.4008678106032109,-0.45340863345276683,-0.18218630220734514,-0.6348782724359693
40,1,0.5300000000000001,3,1,,0.6375635694392525,0.19406329124314672,0.40103762600940573,-0.48219291553260835,-0.18218630220734514,-0.683063529814257
41,1,0.5300000000000001,5,1,,0.6285057229242219,0.19202510728762143,0.4012074051585976,-0.5109608523217013,-0.18218630220734514,-0.7312487871925446
42,1,0.5400000000000001,1,1,,0.654046366840387,0.19595786998184417,0.4008678106032109,-0.4422095748766999,-0.18218630220734514,-0.6161861394238167
43,1,0.5400000000000001,3,1,,0.6447417655835368,0.1937701570031778,0.40103762600940573,-0.4709970311687014,-0.18218630220734514,-0.6643713968021044
44,1,0.5400000000000001,5,1,,0.6355799216131365,0.19168215450993156,0.4012074051585976,-0.49976814149223375,-0.18218630220734514,-0.712556654180392
45,1,0.5500000000000002,1,1,,0.6612763332879272,0.19575963937551732,0.4008678106032109,-0.431216015252878,-0.18218630220734514,-0.5978370007556202
46,1,0.5500000000000002,3,1,,0.6518668458084916,0.19352048172195255,0.40103762600940573,-0.46000658751131585,-0.18218630220734514,-0.6460222581339079
47,1,0.5500000000000002,5,1,,0.6426017518454616,0.1913828037770842,0.4012074051585976,-0.48878081313599964,-0.18218630220734514,-0.6942075155121955
48,1,0.5600000000000002,1,1,,0.6684537921942723,0.19560261476053128,0.4008678106032109,-0.4204205486014002,-0.18218630220734514,-0.5798184952529418
49,1,0.5600000000000002,3,1,,0.6589401583861891,0.19331219841256236,0.40103762600940573,-0.449214180679669,-0.18218630220734514,-0.6280037526312295
50,1,0.5600000000000002,5,1,,0.6495725430790267,0.19112500157522644,0.4012074051585976,-0.4779914654708868,-0.18218630220734514,-0.6761890100095171
51,1,0.5700000000000002,1,1,,0.675580052511442,0.195484835775175,0.4008678106032109,-0.4098161622224389,-0.18218630220734514,-0.5621189181535409
52,1,0.5700000000000002,3,1,,0.6659629939784354,0.19314335896680226,0.40103762600940573,-0.4386127999615823,-0.18218630220734514,-0.6103041755318286
53,1,0.5700000000000002,5,1,,0.6564935679613776,0.1909068123061402,0.4012074051585976,-0.467393089771941,-0.18218630220734514,-0.6584894329101162
54,1,0.5800000000000002,1,1,,0.6826563682431741,0.1954044532946943,0.4008678106032109,-0.39939620933405107,-0.18218630220734514,-0.5447271754416717
55,1,0.5800000000000002,3,1,,0.6729365890628042,0.19301212553693786,0.40103762600940573,-0.4281958004590475,-0.18218630220734514,-0.5929124328199594
56,1,0.5800000000000002,5,1,,0.6633660457084001,0.1907264097075333,0.4012074051585976,-0.45697904302468684,-0.18218630220734514,-0.641097690198247
57,1,0.5900000000000002,1,1,,0.6896839416563285,0.19535972154866518,0.4008678106032109,-0.38915438404899605,-0.18218630220734514,-0.5276327420823715
58,1,0.5900000000000002,3,1,,0.679862129099542,0.19291676269712205,0.40103762600940573,-0.4179568780721371,-0.18218630220734514,-0.5758179994606593
59,1,0.5900000000000002,5,1,,0.6701911452273899,0.19058206905295721,0.4012074051585976,-0.44674302291612805,-0.18218630220734514,-0.6240032568389469
60,1,0.6000000000000002,1,1,,0.6966639262535123,0.1953489909338623,0.4008678106032109,-0.37908469845465165,-0.18218630220734514,-0.5108256237659904
61,1,0.6000000000000002,3,1,,0.6867407514629909,0.19285563029981817,0.40103762600940573,-0.4078900465854166,-0.18218630220734514,-0.5590108811442781
62,1,0.6000000000000002,5,1,,0.6769699880078925,0.19047216004653794,0.4012074051585976,-0.4366790449276557,-0.18218630220734514,-0.6071961385225657
63,1,0.6100000000000002,1,1,,0.7035974295283479,0.1953707014486886,0.4008678106032109,-0.36918146158742227,-0.18218630220734514,-0.4942963218147798
64,1,0.6100000000000002,3,1,,0.6935735481586616,0.19282717695313836,0.40103762600940573,-0.3979896166483121,-0.18218630220734514,-0.5424815791930675
65,1,0.6100000000000002,5,1,,0.6837036508011526,0.19039514033827687,0.4012074051585976,-0.42678142132137326,-0.18218630220734514,-0.5906668365713551
66,1,0.6200000000000002,1,1,,0.7104855155225753,0.1954233766843004,0.4008678106032109,-0.3594392601167803,-0.18218630220734514,-0.47803580094299947
67,1,0.6200000000000002,3,1,,0.7003615683448785,0.19282993405409657,0.40103762600940573,-0.388250176464627,-0.18218630220734514,-0.5262210583212872
68,1,0.6200000000000002,5,1,,0.6903931681068337,0.190349549594785,0.4012074051585976,-0.41704474183508716,-0.18218630220734514,-0.5744063156995748
69,1,0.6300000000000002,1,1,,0.7173292072021947,0.19550561831539265,0.4008678106032109,-0.3498529405747911,-0.18218630220734514,-0.46203545959655834
70,1,0.6300000000000002,3,1,,0.7071058206759694,0.19286251032062202,0.40103762600940573,-0.3786665740271028,-0.18218630220734514,-0.5102207169748461
71,1,0.6300000000000002,5,1,,0.6970395344837483,0.1903340040681762,0.4012074051585976,-0.4074638559219035,-0.18218630220734514,-0.5584059743531337
72,1,0.6400000000000002,1,1,,0.72412948866812,0.19561610104038182,0.4008678106032109,-0.3404175929850677,-0.18218630220734514,-0.44628710262841914
73,1,0.6400000000000002,3,1,,0.713807275482254,0.19292358677197027,0.40103762600940573,-0.3692339007510147,-0.18218630220734514,-0.4944723600067068
74,1,0.6400000000000002,5,1,,0.7036437066996416,0.19034719161265148,0.4012074051585976,-0.3980338563884628,-0.18218630220734514,-0.5426576173849945
75,1,0.6500000000000002,1,1,,0.730887307215267,0.19575356792659787,0.4008678106032109,-0.3311285357609586,-0.18218630220734514,-0.4307829160924539
76,1,0.6500000000000002,3,1,,0.7204668668005639,0.19301191211305882,0.40103762600940573,-0.35994747637664004,-0.18218630220734514,-0.47896817347074155
77,1,0.6500000000000002,5,1,,0.7102066057335723,0.19038786710421088,0.4012074051585976,-0.38875006430168696,-0.18218630220734514,-0.5271534308490292
78,1,0.6600000000000003,1,1,,0.7376035752526339,0.19591682612120073,0.4008678106032109,-0.3219813017566848,-0.18218630220734514,-0.41551544396166545
79,1,0.6600000000000003,3,1,,0.7270854942676793,0.19312629848337376,0.40103762600940573,-0.3508028350243477,-0.18218630220734514,-0.4637007013399531
80,1,0.6600000000000003,5,1,,0.7167291186431032,0.19045484822406186,0.4012074051585976,-0.3796080150478234,-0.18218630220734514,-0.5118859587182408
81,1,0.6700000000000003,1,1,,0.7442791720957166,0.19610474289298424,0.4008678106032109,-0.31297162536738726,-0.18218630220734514,-0.4004775665971249
82,1,0.6700000000000003,3,1,,0.7336640248878668,0.19326561753555443,0.40103762600940573,-0.3417957122983031,-0.18218630220734514,-0.4486628239754126
83,1,0.6700000000000003,5,1,,0.7232121003073361,0.1905470115707671,0.4012074051585976,-0.3706034454398034,-0.18218630220734514,-0.4968480813537003
84,1,0.6800000000000003,1,1,,0.7509149456415227,0.1963162419741087,0.4008678106032109,-0.3040954305848347,-0.18218630220734514,-0.3856624808119843
85,1,0.6800000000000003,3,1,,0.74020329468464,0.19342879681265504,0.40103762600940573,-0.3329220333455609,-0.18218630220734514,-0.43384773819027195
86,1,0.6800000000000003,5,1,,0.7296563750557684,0.19066328907007754,0.4012074051585976,-0.361732281779721,-0.18218630220734514,-0.4820329955685596
87,1,0.6900000000000003,1,1,,0.7575117139354814,0.19655030017419842,0.4008678106032109,-0.2953488199250749,-0.18218630220734514,-0.37106368139083157
88,1,0.6900000000000003,3,1,,0.746704110245915,0.19361481639648848,0.40103762600940573,-0.3241779017868548,-0.18218630220734514,-0.41924893876911923
89,1,0.6900000000000003,5,1,,0.736062738192019,0.1908026646548145,0.4012074051585976,-0.35299062879275983,-0.18218630220734514,-0.4674341961474069
90,1,0.7000000000000003,1,1,,0.7640702666386888,0.19680594424221345,0.4008678106032109,-0.2867280641527429,-0.18218630220734514,-0.35667494393873195
91,1,0.7000000000000003,3,1,,0.7531672501708795,0.1938227058024409,0.40103762600940573,-0.31555958944381785,-0.18218630220734514,-0.4048602013170196
92,1,0.7000000000000003,5,1,,0.7424319574206277,0.1909641711901566,0.4012074051585976,-0.3443747593573255,-0.18218630220734514,-0.4530454586953073
93,1,0.7100000000000003,1,1,,0.7705913664031581,0.1970822479541157,0.4008678106032109,-0.2782295927342177,-0.18218630220734514,-0.3424903089467755
94,1,0.7100000000000003,3,1,,0.7595934664261418,0.19405154109876654,0.40103762600940573,-0.30706352679484555,-0.18218630220734514,-0.3906755663250632
95,1,0.7100000000000003,5,1,,0.7487647741843904,0.1911468876223189,0.4012074051585976,-0.33588110496361373,-0.18218630220734514,-0.4388608237033509
96,1,0.7200000000000003,1,1,,0.7770757501620529,0.19737832940664693,0.4008678106032109,-0.2698499849584586,-0.18218630220734514,-0.32850406697203566
97,1,0.7200000000000003,3,1,,0.7659834856180406,0.19430044223067722,0.40103762600940573,-0.2986862940984485,-0.18218630220734514,-0.3766893243503233
98,1,0.7200000000000003,5,1,,0.7550619049190128,0.19134993633092304,0.4012074051585976,-0.3275062468394795,-0.18218630220734514,-0.42487458172861103
99,1,0.7300000000000003,1,1,,0.7835241303412669,0.19769334849956,0.4008678106032109,-0.26158596167025694,-0.18218630220734514,-0.3147107448396998
100,1,0.7300000000000003,3,1,,0.7723380101873902,0.19456857053157275,0.40103762600940573,-0.2904246131288476,-0.18218630220734514,-0.36289600221798746
101,1,0.7300000000000003,5,1,,0.7613240422312751,0.1915724806673982,0.4012074051585976,-0.31924690768837477,-0.18218630220734514,-0.4110812595962752
102,1,0.7400000000000003,1,1,,0.7899371959981498,0.19802650459043228,0.4008678106032109,-0.25343437756590736,-0.18218630220734514,-0.30110509278392117
103,1,0.7400000000000003,3,1,,0.7786577195323823,0.19485512640555308,0.40103762600940573,-0.28227533947382843,-0.18218630220734514,-0.34929035016220883
104,1,0.7400000000000003,5,1,,0.7675518560063478,0.19181372266355173,0.4012074051585976,-0.3110999439893858,-0.18218630220734514,-0.3974756075404965
105,1,0.7500000000000003,1,1,,0.7963156138926876,0.19837703430777173,0.4008678106032109,-0.2453922140059943,-0.18218630220734514,-0.28768207245178046
106,1,0.7500000000000003,3,1,,0.7849432710648782,0.19515934716693836,0.40103762600940573,-0.2742354553495654,-0.18218630220734514,-0.3358673298300681
107,1,0.7500000000000003,5,1,,0.7737459944494175,0.19207290089604154,0.4012074051585976,-0.30306233881409433,-0.18218630220734514,-0.3840525872083558
108,1,0.7600000000000003,1,1,,0.8026600294959867,0.19874420950952618,0.4008678106032109,-0.23745657230419756,-0.18218630220734514,-0.27443684570175986
109,1,0.7600000000000003,3,1,,0.7911953012048734,0.19548050502393108,0.40103762600940573,-0.2663020628913293,-0.18218630220734514,-0.3226221030800475
110,1,0.7600000000000003,5,1,,0.7799070850663447,0.19234928849389382,0.4012074051585976,-0.2951311951191868,-0.18218630220734514,-0.3708073604583352
111,1,0.7700000000000004,1,1,,0.8089710679405065,0.19912733537535182,0.4008678106032109,-0.22962466745477608,-0.18218630220734514,-0.26136476413440707
112,1,0.7700000000000004,3,1,,0.797414426317519,0.1958179051948005,0.40103762600940573,-0.258472377882749,-0.18218630220734514,-0.30955002151269473
113,1,0.7700000000000004,5,1,,0.7860357355876708,0.19264219127746154,0.4012074051585976,-0.28730372947749316,-0.18218630220734514,-0.35773527889098244
114,1,0.7800000000000004,1,1,,0.8152493349161167,0.19952574862210123,0.4008678106032109,-0.22189382226476545,-0.18218630220734514,-0.24846135929849916
115,1,0.7800000000000004,3,1,,0.8036012435967187,0.19617088414608086,0.40103762600940573,-0.2507437238896719,-0.18218630220734514,-0.2966466166767868
116,1,0.7800000000000004,5,1,,0.7921325348399424,0.19295094601833243,0.4012074051585976,-0.27957726621351076,-0.18218630220734514,-0.34483187405507454
117,1,0.7900000000000004,1,1,,0.8214954175157212,0.1999388158329781,0.4008678106032109,-0.21426146185995185,-0.18218630220734514,-0.23572233352106942
118,1,0.7900000000000004,3,1,,0.8097563318989914,0.1965388079432616,0.40103762600940573,-0.2431135267676952,-0.18218630220734514,-0.2839075908993571
119,1,0.7900000000000004,5,1,,0.7981980535679905,0.19327491881068773,0.4012074051585976,-0.27194923191249204,-0.18218630220734514,-0.33209284827764474
120,1,0.8000000000000004,1,1,,0.8277098850338884,0.20036593189168414,0.4008678106032109,-0.20672510853641035,-0.18218630220734514,-0.2231435513142093
121,1,0.8000000000000004,3,1,,0.8158802525309932,0.19692107070533052,0.40103762600940573,-0.23557930951516365,-0.18218630220734514,-0.271328808692497
122,1,0.8000000000000004,5,1,,0.804232845211509,0.1936135035454963,0.4012074051585976,-0.2644171502749014,-0.18218630220734514,-0.31951406607078464
123,1,0.8100000000000004,1,1,,0.8338932897216534,0.20080651851366987,0.4008678106032109,-0.1992823769318494,-0.18218630220734514,-0.21072103131565212
124,1,0.8100000000000004,3,1,,0.8219735499938176,0.19731709315531798,0.40103762600940573,-0.22813868744588217,-0.18218630220734514,-0.2589062886939398
125,1,0.8100000000000004,5,1,,0.8102374466390131,0.19396612047971826,0.4012074051585976,-0.25697863729049614,-0.18218630220734514,-0.30709154607222744
126,1,0.8200000000000004,1,1,,0.840046167500406,0.20126002286730432,0.4008678106032109,-0.19193096949321434,-0.18218630220734514,-0.19845093872383776
127,1,0.8200000000000004,3,1,,0.8280367526869511,0.19772632125969475,0.40103762600940573,-0.22078936365800467,-0.18218630220734514,-0.24663619610212545
128,1,0.8200000000000004,5,1,,0.8162123788420105,0.19433221489340094,0.4012074051585976,-0.24963139670849938,-0.18218630220734514,-0.2948214534804131
129,1,0.8300000000000004,1,1,,0.8461690386375551,0.20172591627840963,0.4008678106032109,-0.18466867221900277,-0.18218630220734514,-0.18632957819149296
130,1,0.8300000000000004,3,1,,0.834070373574535,0.19814822495010867,0.40103762600940573,-0.21352912477755553,-0.18218630220734514,-0.23451483556978064
131,1,0.8300000000000004,5,1,,0.8221581475920008,0.19471125582818063,0.4012074051585976,-0.24237321578232845,-0.18218630220734514,-0.2827000929480683
132,1,0.8400000000000004,1,1,,0.8522624083864506,0.20220369301217364,0.4008678106032109,-0.17749335065654978,-0.18218630220734514,-0.17435338714477727
133,1,0.8400000000000004,3,1,,0.8400749108163789,0.19858229692151236,0.40103762600940573,-0.20635583695684978,-0.18218630220734514,-0.22253864452306493
134,1,0.8400000000000004,5,1,,0.8280752440627176,0.19510273490127455,0.4012074051585976,-0.23520196126914922,-0.18218630220734514,-0.27072390190135265
135,1,0.8500000000000004,1,1,,0.8583267675928536,0.20269286912696233,0.4008678106032109,-0.17040294613617737,-0.18218630220734514,-0.1625189294977744
136,1,0.8500000000000004,3,1,,0.8460508483659904,0.19902805150124403,0.40103762600940573,-0.1992674421097098,-0.18218630220734514,-0.21070418687606207
137,1,0.8500000000000004,5,1,,0.8339641454198419,0.19550616518955655,0.4012074051585976,-0.2281155756661597,-0.18218630220734514,-0.2588894442543498
138,1,0.8600000000000004,1,1,,0.8643625932700791,0.2031929813950143,0.4008678106032109,-0.1633954722255847,-0.18218630220734514,-0.15082288973458313
139,1,0.8600000000000004,3,1,,0.8519986565377091,0.19948502358408277,0.40103762600940573,-0.1922619543668604,-0.18218630220734514,-0.1990081471128708
140,1,0.8600000000000004,5,1,,0.8398253153802492,0.1959210801787702,0.4012074051585976,-0.22111207366699015,-0.18218630220734514,-0.24719340449115848
141,1,0.8700000000000004,1,1,,0.8703703491447714,0.2037035862854138,0.4008678106032109,-0.1564690113892006,-0.18218630220734514,-0.13926206733350716
142,1,0.8700000000000004,3,1,,0.8579187925448831,0.19995276762871447,0.40103762600940573,-0.18533745673622826,-0.18218630220734514,-0.18744732471179482
143,1,0.8700000000000004,5,1,,0.8456592047427005,0.19634703277334858,0.4012074051585976,-0.21418953882294928,-0.18218630220734514,-0.2356325820900825
144,1,0.8800000000000004,1,1,,0.8763504861751332,0.20422425900511224,0.4008678106032109,-0.14962171183844353,-0.18218630220734514,-0.12783337150988439
145,1,0.8800000000000004,3,1,,0.8638117010108801,0.20043085671141836,0.40103762600940573,-0.17849209795409476,-0.18218630220734514,-0.17601862888817205
146,1,0.8800000000000004,5,1,,0.8514662518917453,0.19678359436268303,0.4012074051585976,-0.2073461203950691,-0.18218630220734514,-0.22420388626645973
147,1,0.8900000000000005,1,1,,0.8823034430432938,0.2047545925941093,0.4008678106032109,-0.14285178455994446,-0.18218630220734514,-0.11653381625595102
148,1,0.8900000000000005,3,1,,0.8696778144545982,0.20091888163312227,0.40103762600940573,-0.17172408951416096,-0.18218630220734514,-0.1647190736342387
149,1,0.8900000000000005,5,1,,0.8572468832764774,0.19723035394002159,0.4012074051585976,-0.20058003038401256,-0.18218630220734514,-0.21290433101252637
150,1,0.9000000000000005,1,1,,0.8882296466233833,0.20529419707121013,0.4008678106032109,-0.13615750050980122,-0.18218630220734514,-0.10536051565782578
151,1,0.9000000000000005,3,1,,0.8755175537520202,0.20141645007628217,0.40103762600940573,-0.16503170286259733,-0.18218630220734514,-0.15354577303611344
152,1,0.9000000000000005,5,1,,0.863001513865666,0.19768691727048518,0.4012074051585976,-0.19388954072591813,-0.18218630220734514,-0.20173103041440113
153,1,0.9100000000000005,1,1,,0.8941295124267685,0.2058426986270554,0.4008678106032109,-0.12953718796285668,-0.18218630220734514,-0.0943106794712408
154,1,0.9100000000000005,3,1,,0.8813313285752447,0.20192318580831906,0.40103762600940573,-0.15841326674807324,-0.18218630220734514,-0.1424959368495285
155,1,0.9100000000000005,5,1,,0.8687305475806788,0.19815290610496628,0.4012074051585976,-0.1872729806431805,-0.18218630220734514,-0.19068119422781615
