WMSize,DurLevel,TPresent,NT,NSub,curDur,repDur,repWaitTime,WMRP,WMRTTest,valid,repBias,Exp
5,3,2,1,1,1.1,1.045568,1.7658354,-1,2.0000529,1,0.240999682,Exp. 6a
5,4,1,2,1,1.4,1.1492646,0.4286895,1,0.9112825,1,0.176417641,Exp. 6a
5,3,1,3,1,1.1,1.1730681,0.4790468,1,0.8429359,1,0.240999682,Exp. 6a
1,1,2,4,1,0.5,1.0059073,0.4371885,1,0.7312703,1,0.251073956,Exp. 6a
1,2,1,5,1,0.8,0.7979458,0.5159218,1,0.8884794,1,0.182591042,Exp. 6a
1,1,1,6,1,0.5,0.6698994,0.5522984,1,0.8414175,1,0.251073956,Exp. 6a
3,4,2,7,1,1.4,0.677849,0.3756158,2,1.1580121,1,0.250268231,Exp. 6a
5,1,1,8,1,0.5,0.6778729,0.4465109,2,1.0156967,1,0.228112683,Exp. 6a
3,3,1,9,1,1.1,1.1578165,0.6184408,1,1.1392711,1,0.200196574,Exp. 6a
5,4,2,10,1,1.4,1.021982,1.1562802,2,1.5654263,1,0.176417641,Exp. 6a
3,5,1,11,1,1.7,1.0859972,0.638942,1,0.9596798,1,0.194654411,Exp. 6a
1,5,2,12,1,1.7,1.3179149,0.7311404,2,1.2602251,1,0.22008172,Exp. 6a
3,4,1,13,1,1.4,1.0539456,0.9704642,1,1.0188756,1,0.250268231,Exp. 6a
5,5,1,14,1,1.7,1.2699978,0.6347694,1,1.003878,1,0.268332432,Exp. 6a
3,2,2,15,1,0.8,0.8459741,0.5914118,1,1.3045279,1,0.247844287,Exp. 6a
5,2,2,16,1,0.8,0.9819245,0.4230019,2,0.9921661,1,0.159266172,Exp. 6a
3,3,2,17,1,1.1,0.9099019,0.6638513,2,1.3049339,1,0.200196574,Exp. 6a
1,2,2,18,1,0.8,0.7178894,0.6181659,2,0.7949671,1,0.182591042,Exp. 6a
3,1,2,19,1,0.5,0.6378067,0.5896434,2,1.0307587,1,0.228186494,Exp. 6a
5,5,2,20,1,1.7,0.9578337,0.5578343,1,1.7350226,1,0.268332432,Exp. 6a
3,2,1,21,1,0.8,0.8620728,0.5422198,1,1.5037878,1,0.247844287,Exp. 6a
1,3,1,22,1,1.1,0.8699424,0.4792154,1,1.0557283,1,0.249775444,Exp. 6a
1,5,1,23,1,1.7,1.4299442,0.4503527,1,0.8835589,1,0.22008172,Exp. 6a
5,1,2,24,1,0.5,0.221901,0.6884137,2,0.9854566,1,0.228112683,Exp. 6a
3,1,1,25,1,0.5,0.6698734,0.6131879,1,1.0221768,1,0.228186494,Exp. 6a
1,4,1,26,1,1.4,0.8940432,0.4829398,1,0.7162405,1,0.243876451,Exp. 6a
1,3,2,27,1,1.1,0.9499208,0.8848847,2,1.4456809,1,0.249775444,Exp. 6a
5,2,1,28,1,0.8,0.9898735,0.4288719,1,1.0141404,1,0.159266172,Exp. 6a
3,5,2,29,1,1.7,1.4299198,0.6614272,2,0.9261542,1,0.194654411,Exp. 6a
1,4,2,30,1,1.4,1.5499577,0.5790914,2,0.7242134,1,0.243876451,Exp. 6a
3,3,2,31,1,1.1,1.118006,0.711066,2,0.8482646,1,0.200196574,Exp. 6a
3,4,1,32,1,1.4,1.1098703,0.5753156,1,0.9925054,1,0.250268231,Exp. 6a
5,3,2,33,1,1.1,1.1419689,0.5332224,2,0.8703735,1,0.240999682,Exp. 6a
1,3,1,34,1,1.1,1.0780062,0.6115499,1,0.7643883,1,0.249775444,Exp. 6a
5,1,1,35,1,0.5,0.4780612,0.3850147,1,1.4579974,1,0.228112683,Exp. 6a
3,1,2,36,1,0.5,0.3979704,0.4792771,1,0.8163535,1,0.228186494,Exp. 6a
5,2,2,37,1,0.8,0.9579222,0.5649823,1,0.9501594,1,0.159266172,Exp. 6a
1,1,1,38,1,0.5,0.4060852,0.6651817,1,0.7141869,1,0.251073956,Exp. 6a
1,4,1,39,1,1.4,1.2300413,0.5593428,1,0.9445509,1,0.243876451,Exp. 6a
5,4,2,40,1,1.4,1.6458855,0.6011072,2,1.0983037,1,0.176417641,Exp. 6a
3,5,1,41,1,1.7,1.3259456,1.9421908,1,0.7993085,1,0.194654411,Exp. 6a
1,5,1,42,1,1.7,1.4939031,0.5084653,1,0.7977467,1,0.22008172,Exp. 6a
5,1,2,43,1,0.5,0.9418469,1.0295332,2,0.8625547,1,0.228112683,Exp. 6a
3,4,2,44,1,1.4,1.0861122,0.8316848,2,0.8880564,1,0.250268231,Exp. 6a
3,3,1,45,1,1.1,1.2299409,0.7001677,2,1.9572135,1,0.200196574,Exp. 6a
3,5,2,46,1,1.7,1.1018892,0.4961389,2,1.049233,1,0.194654411,Exp. 6a
1,2,2,47,1,0.8,0.8698358,0.9053077,2,0.9946672,1,0.182591042,Exp. 6a
1,1,2,48,1,0.5,0.6298738,0.7395414,2,0.9408993,1,0.251073956,Exp. 6a
1,4,2,49,1,1.4,1.15789,0.606099,2,0.7911269,1,0.243876451,Exp. 6a
1,5,2,50,1,1.7,1.2939595,0.7207189,1,0.9217202,1,0.22008172,Exp. 6a
3,2,1,51,1,0.8,1.1420725,0.6809573,2,1.5300769,1,0.247844287,Exp. 6a
5,5,2,52,1,1.7,0.9900041,0.601316,2,1.05039,1,0.268332432,Exp. 6a
3,1,1,53,1,0.5,0.7738811,0.586941,1,1.0200831,1,0.228186494,Exp. 6a
1,2,1,54,1,0.8,0.7980722,1.1495987,1,1.1669293,1,0.182591042,Exp. 6a
5,5,1,55,1,1.7,1.5259763,0.4570522,1,1.154272,1,0.268332432,Exp. 6a
