WMSize,DurLevel,TPresent,NT,NSub,curDur,repDur,repWaitTime,WMRP,WMRTTest,valid,repBias,Exp
5,2,1,56,1,0.8,0.8620434,0.6991769,2,1.676199,1,0.159266172,Exp. 6a
1,3,2,57,1,1.1,1.070029,0.4621378,2,0.8952563,1,0.249775444,Exp. 6a
5,4,1,58,1,1.4,1.3339426,0.6180536,1,1.6832968,1,0.176417641,Exp. 6a
3,2,2,59,1,0.8,0.9660342,0.373664,2,0.9344949,1,0.247844287,Exp. 6a
5,3,1,60,1,1.1,0.9019696,0.4572804,2,1.0907399,1,0.240999682,Exp. 6a
5,4,2,61,1,1.4,1.1898324,0.6553796,2,1.40051,1,0.176417641,Exp. 6a
3,2,2,62,1,0.8,1.0299183,0.7108024,2,1.6399043,1,0.247844287,Exp. 6a
5,3,1,63,1,1.1,0.9580615,0.7941395,1,1.3155252,1,0.240999682,Exp. 6a
3,1,2,64,1,0.5,0.654133,0.4134102,2,0.9025555,1,0.228186494,Exp. 6a
3,3,1,65,1,1.1,0.7819042,0.4843416,1,1.0932058,1,0.200196574,Exp. 6a
1,2,2,66,1,0.8,0.9017558,0.8829684,2,0.7881701,1,0.182591042,Exp. 6a
5,2,1,67,1,0.8,0.990074,0.7487659,1,1.0938878,1,0.159266172,Exp. 6a
1,5,1,68,1,1.7,1.197953,0.6804424,-1,2.0000412,1,0.22008172,Exp. 6a
3,4,1,69,1,1.4,1.0538342,0.7427381,1,0.9359022,1,0.250268231,Exp. 6a
1,1,1,70,1,0.5,0.9979431,0.5762864,1,0.7931306,1,0.251073956,Exp. 6a
5,4,1,71,1,1.4,1.1658714,0.6105723,1,0.7719252,1,0.176417641,Exp. 6a
1,4,1,72,1,1.4,1.1739336,0.5164911,1,0.9974652,1,0.243876451,Exp. 6a
3,3,2,73,1,1.1,1.3018783,0.5060304,1,1.0348188,1,0.200196574,Exp. 6a
1,5,2,74,1,1.7,0.9980791,1.0269192,2,1.004191,1,0.22008172,Exp. 6a
3,4,2,75,1,1.4,1.4138491,0.5070383,1,0.7882095,1,0.250268231,Exp. 6a
3,5,2,76,1,1.7,1.4858961,0.4634193,2,1.1761294,1,0.194654411,Exp. 6a
1,1,2,77,1,0.5,0.4059715,0.5702648,1,0.5313718,1,0.251073956,Exp. 6a
5,1,1,78,1,0.5,0.6058661,0.724369,1,1.1173375,1,0.228112683,Exp. 6a
5,5,2,79,1,1.7,1.5178188,0.5683054,2,1.4735629,1,0.268332432,Exp. 6a
3,1,1,80,1,0.5,1.1899508,0.6461862,1,1.3192348,1,0.228186494,Exp. 6a
1,4,2,81,1,1.4,1.1658438,0.5048249,2,0.8094411,1,0.243876451,Exp. 6a
1,3,2,82,1,1.1,1.1498421,0.3590243,2,0.6321582,1,0.249775444,Exp. 6a
3,5,1,83,1,1.7,1.0857558,0.6277348,1,1.3728792,1,0.194654411,Exp. 6a
5,3,2,84,1,1.1,1.1579997,0.6078797,2,1.2890295,1,0.240999682,Exp. 6a
5,1,2,85,1,0.5,0.4539083,0.60288,2,1.4516812,1,0.228112683,Exp. 6a
3,2,1,86,1,0.8,0.9340264,0.6333353,1,1.2982581,1,0.247844287,Exp. 6a
5,5,1,87,1,1.7,0.8779069,0.5875904,2,1.1886132,1,0.268332432,Exp. 6a
1,2,1,88,1,0.8,0.9898324,1.0664991,1,1.0352879,1,0.182591042,Exp. 6a
5,2,2,89,1,0.8,1.0860068,0.4653941,1,1.2908141,1,0.159266172,Exp. 6a
1,3,1,90,1,1.1,0.8938347,0.6526763,1,0.7660406,1,0.249775444,Exp. 6a
5,3,1,91,1,1.1,0.9499402,0.6236003,1,0.8966902,1,0.240999682,Exp. 6a
5,2,1,92,1,0.8,1.04592,0.4897732,1,0.9870836,1,0.159266172,Exp. 6a
1,5,2,93,1,1.7,1.4059662,0.5897035,2,1.2867057,1,0.22008172,Exp. 6a
5,5,1,94,1,1.7,1.6540129,0.4390056,1,1.248151,1,0.268332432,Exp. 6a
1,1,2,95,1,0.5,0.4539013,0.3726963,2,1.1818221,1,0.251073956,Exp. 6a
5,2,2,96,1,0.8,0.7420427,0.5007568,2,1.0934203,1,0.159266172,Exp. 6a
3,4,1,97,1,1.4,1.3340464,0.8043171,-1,2.0000496,1,0.250268231,Exp. 6a
5,4,2,98,1,1.4,1.2619587,0.4960638,1,1.0732463,1,0.176417641,Exp. 6a
5,1,2,99,1,0.5,1.0139986,0.3628895,1,1.0679005,1,0.228112683,Exp. 6a
3,3,2,100,1,1.1,0.8939441,0.629102,1,1.7104717,1,0.200196574,Exp. 6a
3,5,1,101,1,1.7,1.4459417,0.4269075,1,0.9078274,1,0.194654411,Exp. 6a
3,3,1,102,1,1.1,1.3179482,0.4811239,1,1.1703355,1,0.200196574,Exp. 6a
1,1,1,103,1,0.5,0.6938049,0.3944609,1,0.8590849,1,0.251073956,Exp. 6a
3,1,2,104,1,0.5,0.4459051,0.447625,2,0.9607699,1,0.228186494,Exp. 6a
3,5,2,105,1,1.7,1.1258546,0.6291982,2,1.2063088,1,0.194654411,Exp. 6a
3,1,1,106,1,0.5,0.4619405,0.528011,1,0.8570448,1,0.228186494,Exp. 6a
1,2,1,107,1,0.8,0.9419414,0.3611597,1,0.602184,1,0.182591042,Exp. 6a
5,4,1,108,1,1.4,1.405785,0.5345232,1,1.0316547,1,0.176417641,Exp. 6a
1,4,2,109,1,1.4,1.2139261,0.5779785,2,0.8993611,1,0.243876451,Exp. 6a
5,3,2,110,1,1.1,1.0060515,0.459182,1,0.9083985,1,0.240999682,Exp. 6a
1,4,1,111,1,1.4,1.2700084,0.5934619,1,0.6344982,1,0.243876451,Exp. 6a
1,3,2,112,1,1.1,0.8298902,0.7437715,2,0.9050099,1,0.249775444,Exp. 6a
3,4,2,113,1,1.4,1.1579411,0.4579352,1,0.7873544,1,0.250268231,Exp. 6a
3,2,2,114,1,0.8,0.9499914,0.7065459,2,0.9079101,1,0.247844287,Exp. 6a
3,2,1,115,1,0.8,0.6938004,0.5696253,1,1.2108605,1,0.247844287,Exp. 6a
5,5,2,116,1,1.7,1.3659164,0.5280756,1,1.0731076,1,0.268332432,Exp. 6a
5,1,1,117,1,0.5,0.5979869,0.3256607,1,0.9183148,1,0.228112683,Exp. 6a
1,2,2,118,1,0.8,0.6619033,0.4174964,2,0.7624817,1,0.182591042,Exp. 6a
1,5,1,119,1,1.7,1.3658276,0.583401,1,1.0406727,1,0.22008172,Exp. 6a
1,3,1,120,1,1.1,1.2780748,0.4985177,1,1.2439013,1,0.249775444,Exp. 6a
1,2,2,121,1,0.8,0.830028,0.404595,2,0.5897485,1,0.182591042,Exp. 6a
5,3,1,122,1,1.1,0.717944,0.4924294,2,1.0374859,1,0.240999682,Exp. 6a
3,2,1,123,1,0.8,0.8939784,0.4293947,2,1.2063366,1,0.247844287,Exp. 6a
5,1,2,124,1,0.5,0.5659738,0.5532116,1,1.1945341,1,0.228112683,Exp. 6a
1,5,2,125,1,1.7,1.5418007,0.3974818,1,0.8947641,1,0.22008172,Exp. 6a
5,3,2,126,1,1.1,1.4218563,0.4167013,1,1.5057741,1,0.240999682,Exp. 6a
3,1,1,127,1,0.5,0.4378554,0.4244097,1,0.9931688,1,0.228186494,Exp. 6a
1,4,1,128,1,1.4,0.9578827,0.4311322,1,0.7759964,1,0.243876451,Exp. 6a
1,5,1,129,1,1.7,1.710008,0.5369855,1,1.0180984,1,0.22008172,Exp. 6a
1,1,2,130,1,0.5,0.7338941,0.4243763,2,0.4492756,1,0.251073956,Exp. 6a
5,4,1,131,1,1.4,1.2057602,0.531235,1,0.9963223,1,0.176417641,Exp. 6a
3,5,2,132,1,1.7,1.6058555,0.4708404,2,1.0720178,1,0.194654411,Exp. 6a
5,5,2,133,1,1.7,1.7019246,0.4690955,2,0.8860569,1,0.268332432,Exp. 6a
3,4,1,134,1,1.4,1.5099157,1.0318243,1,1.5925864,1,0.250268231,Exp. 6a
5,2,1,135,1,0.8,1.0540655,0.5154176,1,1.340654,1,0.159266172,Exp. 6a
3,1,2,136,1,0.5,0.6538096,0.4941412,2,0.8073252,1,0.228186494,Exp. 6a
3,3,1,137,1,1.1,1.1658729,0.4008974,1,0.9061203,1,0.200196574,Exp. 6a
3,2,2,138,1,0.8,0.9820216,0.6911138,-1,2.0000767,1,0.247844287,Exp. 6a
1,3,2,139,1,1.1,1.2778293,0.3134314,2,0.5866132,1,0.249775444,Exp. 6a
5,4,2,140,1,1.4,1.2859388,0.5065736,2,1.2435504,1,0.176417641,Exp. 6a
3,4,2,141,1,1.4,1.4460514,0.605317,2,1.0463414,1,0.250268231,Exp. 6a
5,5,1,142,1,1.7,1.7498572,0.6526903,1,0.933922,1,0.268332432,Exp. 6a
1,1,1,143,1,0.5,0.9499128,1.470023,2,0.703091,1,0.251073956,Exp. 6a
5,2,2,144,1,0.8,1.0539177,0.5905299,1,1.0554533,1,0.159266172,Exp. 6a
3,5,1,145,1,1.7,1.3021199,0.837791,1,1.2230608,1,0.194654411,Exp. 6a
3,3,2,146,1,1.1,1.4059177,0.3855669,2,0.9549244,1,0.200196574,Exp. 6a
1,3,1,147,1,1.1,1.2059306,0.5232262,2,0.7081217,1,0.249775444,Exp. 6a
5,1,1,148,1,0.5,0.3258446,0.4469022,1,0.8401176,1,0.228112683,Exp. 6a
1,4,2,149,1,1.4,1.1097888,0.5209412,2,0.6980931,1,0.243876451,Exp. 6a
1,2,1,150,1,0.8,1.2299322,0.5048328,1,0.7699245,1,0.182591042,Exp. 6a
1,3,1,151,1,1.1,1.3978241,0.3804509,1,0.821401,1,0.249775444,Exp. 6a
1,4,2,152,1,1.4,1.4298966,0.3267549,2,1.0317902,1,0.243876451,Exp. 6a
1,2,1,153,1,0.8,1.1978565,0.4577064,1,1.2748057,1,0.182591042,Exp. 6a
3,1,2,154,1,0.5,0.3579864,0.4964562,2,0.8976281,1,0.228186494,Exp. 6a
3,3,2,155,1,1.1,1.229907,0.4474081,2,1.0486158,1,0.200196574,Exp. 6a
3,2,2,156,1,0.8,1.0859647,0.5738854,1,1.1267989,1,0.247844287,Exp. 6a
5,3,2,157,1,1.1,1.1978735,0.4768813,1,0.9979719,1,0.240999682,Exp. 6a
3,1,1,158,1,0.5,0.8299583,0.5153364,1,0.868275,1,0.228186494,Exp. 6a
5,1,1,159,1,0.5,0.5580909,0.6705986,1,1.2158786,1,0.228112683,Exp. 6a
3,4,2,160,1,1.4,1.4380684,0.7260939,2,1.6153965,1,0.250268231,Exp. 6a
3,4,1,161,1,1.4,1.2379215,0.4916875,1,1.4762908,1,0.250268231,Exp. 6a
5,2,2,162,1,0.8,1.0938562,0.4235627,1,0.8565552,1,0.159266172,Exp. 6a
1,1,1,163,1,0.5,0.6858212,0.3641572,1,0.6772121,1,0.251073956,Exp. 6a
3,5,2,164,1,1.7,1.3898008,0.5149883,2,1.3478006,1,0.194654411,Exp. 6a
1,5,2,165,1,1.7,1.6940586,0.4398109,2,0.8569685,1,0.22008172,Exp. 6a
5,5,1,166,1,1.7,1.6379307,0.5722069,1,1.5010261,1,0.268332432,Exp. 6a
3,2,1,167,1,0.8,1.029833,0.5332539,1,0.9583509,1,0.247844287,Exp. 6a
3,3,1,168,1,1.1,1.1899475,0.4394688,1,1.1044351,1,0.200196574,Exp. 6a
1,3,2,169,1,1.1,1.4540244,0.446972,2,0.8322006,1,0.249775444,Exp. 6a
1,2,2,170,1,0.8,0.8138771,0.6439615,2,0.933182,1,0.182591042,Exp. 6a
5,2,1,171,1,0.8,1.0059022,0.514863,1,0.9160525,1,0.159266172,Exp. 6a
5,4,2,172,1,1.4,1.0859764,0.6467399,2,1.0157167,1,0.176417641,Exp. 6a
5,5,2,173,1,1.7,1.6939939,0.8426972,2,1.8276817,1,0.268332432,Exp. 6a
1,1,2,174,1,0.5,1.1100027,0.5266052,2,0.7438979,1,0.251073956,Exp. 6a
5,1,2,175,1,0.5,0.4540939,0.4385703,1,0.9117207,1,0.228112683,Exp. 6a
5,3,1,176,1,1.1,0.8619551,0.6922292,1,1.5494449,1,0.240999682,Exp. 6a
3,5,1,177,1,1.7,1.4298445,0.5910282,1,1.072111,1,0.194654411,Exp. 6a
5,4,1,178,1,1.4,1.2538609,0.5996864,2,1.9923911,1,0.176417641,Exp. 6a
1,5,1,179,1,1.7,1.646071,0.5588914,1,0.8722106,1,0.22008172,Exp. 6a
1,4,1,180,1,1.4,1.7020296,0.4475438,1,0.7289221,1,0.243876451,Exp. 6a
3,1,2,181,1,0.5,0.7100479,0.4613114,2,0.7983164,1,0.228186494,Exp. 6a
1,1,1,182,1,0.5,0.461973,0.4238992,1,0.7767989,1,0.251073956,Exp. 6a
3,5,2,183,1,1.7,1.3659379,0.5177605,2,1.2629931,1,0.194654411,Exp. 6a
3,2,1,184,1,0.8,1.1579482,0.5473848,2,1.1005272,1,0.247844287,Exp. 6a
1,3,1,185,1,1.1,0.8380026,0.8002588,1,0.9932075,1,0.249775444,Exp. 6a
5,3,1,186,1,1.1,1.0698042,0.8479845,1,1.1449881,1,0.240999682,Exp. 6a
1,1,2,187,1,0.5,0.43799,0.6284965,2,0.8058292,1,0.251073956,Exp. 6a
5,4,1,188,1,1.4,1.2140536,0.5308674,1,1.3479902,1,0.176417641,Exp. 6a
5,1,1,189,1,0.5,0.4143083,0.4305661,2,0.8876194,1,0.228112683,Exp. 6a
5,5,1,190,1,1.7,1.7499359,0.5497301,2,1.4309756,1,0.268332432,Exp. 6a
1,5,2,191,1,1.7,1.8699241,0.7310585,-1,2.0000003,1,0.22008172,Exp. 6a
5,3,2,192,1,1.1,1.5419475,0.3724816,2,0.8616026,1,0.240999682,Exp. 6a
1,2,1,193,1,0.8,0.8379788,0.4090738,1,0.7142883,1,0.182591042,Exp. 6a
5,1,2,194,1,0.5,1.1018154,0.5362672,2,0.9694098,1,0.228112683,Exp. 6a
3,3,2,195,1,1.1,1.0779907,0.4638128,2,1.129031,1,0.200196574,Exp. 6a
5,4,2,196,1,1.4,1.3097725,0.5871351,2,1.7002082,1,0.176417641,Exp. 6a
3,4,2,197,1,1.4,1.4058248,0.5207169,2,1.3935687,1,0.250268231,Exp. 6a
5,5,2,198,1,1.7,1.7499735,0.4689238,1,1.1502087,1,0.268332432,Exp. 6a
3,1,1,199,1,0.5,0.6779902,0.5656018,1,1.2868071,1,0.228186494,Exp. 6a
1,4,2,200,1,1.4,1.5499071,0.4133313,2,0.9742923,1,0.243876451,Exp. 6a
3,2,2,201,1,0.8,1.0458829,0.5884518,1,1.5013914,1,0.247844287,Exp. 6a
5,2,1,202,1,0.8,0.6779076,0.5801038,1,0.9330934,1,0.159266172,Exp. 6a
5,2,2,203,1,0.8,0.8220134,0.3548216,2,1.0362064,1,0.159266172,Exp. 6a
1,2,2,204,1,0.8,0.5820431,0.3730814,2,0.6062219,1,0.182591042,Exp. 6a
3,4,1,205,1,1.4,1.3337329,0.8316611,2,1.9446866,1,0.250268231,Exp. 6a
1,3,2,206,1,1.1,1.2939884,0.4901361,2,0.8113713,1,0.249775444,Exp. 6a
1,4,1,207,1,1.4,1.5417661,0.4762428,2,0.861169,1,0.243876451,Exp. 6a
3,5,1,208,1,1.7,1.4219306,0.4607478,2,0.8778441,1,0.194654411,Exp. 6a
1,5,1,209,1,1.7,1.5339454,0.3387733,1,0.7557,1,0.22008172,Exp. 6a
3,3,1,210,1,1.1,1.1179081,0.7050377,1,1.2582453,1,0.200196574,Exp. 6a
3,4,1,211,1,1.4,1.2218497,0.4973163,1,0.890711,1,0.250268231,Exp. 6a
5,1,2,212,1,0.5,0.3979793,0.5741831,2,0.9351371,1,0.228112683,Exp. 6a
5,4,1,213,1,1.4,1.1500233,0.5283569,2,1.0493832,1,0.176417641,Exp. 6a
1,1,1,214,1,0.5,0.6138879,0.3982879,1,0.9036498,1,0.251073956,Exp. 6a
3,2,2,215,1,0.8,0.7258054,0.5345905,2,0.8315187,1,0.247844287,Exp. 6a
3,1,1,216,1,0.5,0.6058717,1.5250304,1,1.1979725,1,0.228186494,Exp. 6a
5,4,2,217,1,1.4,1.7020051,0.5132461,2,1.0181052,1,0.176417641,Exp. 6a
1,1,2,218,1,0.5,1.101888,0.393955,1,0.9232853,1,0.251073956,Exp. 6a
3,5,1,219,1,1.7,0.9580342,1.0552007,1,1.2322124,1,0.194654411,Exp. 6a
1,2,2,220,1,0.8,1.1818945,0.3438542,2,0.864995,1,0.182591042,Exp. 6a
1,4,1,221,1,1.4,1.5978578,0.3819169,1,0.7109714,1,0.243876451,Exp. 6a
3,4,2,222,1,1.4,1.7098989,0.3841211,2,0.9769589,1,0.250268231,Exp. 6a
5,5,2,223,1,1.7,1.7020287,0.5177145,1,1.1030739,1,0.268332432,Exp. 6a
3,5,2,224,1,1.7,1.4780054,0.4464822,2,0.9357625,1,0.194654411,Exp. 6a
5,3,2,225,1,1.1,1.6539803,0.7067203,2,1.1559725,1,0.240999682,Exp. 6a
5,2,2,226,1,0.8,0.8059809,0.5257861,1,1.2390341,1,0.159266172,Exp. 6a
5,2,1,227,1,0.8,0.7340872,0.4652202,1,1.0824008,1,0.159266172,Exp. 6a
1,2,1,228,1,0.8,1.0217251,0.4666855,1,0.7074537,1,0.182591042,Exp. 6a
5,5,1,229,1,1.7,1.7178051,0.5364435,1,1.4014865,1,0.268332432,Exp. 6a
1,3,1,230,1,1.1,1.678043,0.2793387,1,0.7204785,1,0.249775444,Exp. 6a
1,3,2,231,1,1.1,0.8858636,0.5464581,2,0.6355608,1,0.249775444,Exp. 6a
1,5,1,232,1,1.7,1.4217827,0.7859994,1,1.5392695,1,0.22008172,Exp. 6a
1,4,2,233,1,1.4,1.4780634,0.7151844,2,1.4602484,1,0.243876451,Exp. 6a
1,5,2,234,1,1.7,1.7500072,0.1809462,2,0.81383,1,0.22008172,Exp. 6a
3,2,1,235,1,0.8,1.4699078,0.6171508,1,1.0421729,1,0.247844287,Exp. 6a
3,3,2,236,1,1.1,1.3818047,0.4708866,2,0.8883122,1,0.200196574,Exp. 6a
5,1,1,237,1,0.5,0.7500673,0.4460183,1,1.1031599,1,0.228112683,Exp. 6a
5,3,1,238,1,1.1,0.7660859,0.3592812,2,1.0324361,1,0.240999682,Exp. 6a
3,3,1,239,1,1.1,1.1018998,0.4991602,1,0.8045452,1,0.200196574,Exp. 6a
3,1,2,240,1,0.5,0.7259105,0.396404,2,0.8217194,1,0.228186494,Exp. 6a
3,3,2,241,1,1.1,1.317884,0.4714648,2,1.0084481,1,0.200196574,Exp. 6a
3,1,2,242,1,0.5,0.8060204,0.4890591,2,0.7784102,1,0.228186494,Exp. 6a
5,3,1,243,1,1.1,1.1579797,0.5185507,1,1.1038295,1,0.240999682,Exp. 6a
5,4,2,244,1,1.4,1.1018835,0.6205076,1,1.229755,1,0.176417641,Exp. 6a
5,3,2,245,1,1.1,1.1018878,0.6009012,1,1.8096581,1,0.240999682,Exp. 6a
5,5,1,246,1,1.7,1.3099643,0.4780579,1,1.2472551,1,0.268332432,Exp. 6a
1,5,2,247,1,1.7,1.5420987,0.503564,2,0.816972,1,0.22008172,Exp. 6a
3,1,1,248,1,0.5,1.165927,0.3828982,1,0.968259,1,0.228186494,Exp. 6a
3,2,1,249,1,0.8,0.8538795,0.5466668,1,0.8592534,1,0.247844287,Exp. 6a
1,1,2,250,1,0.5,0.5979389,0.5232932,1,0.8204343,1,0.251073956,Exp. 6a
5,4,1,251,1,1.4,1.1739648,0.5755045,2,1.4727303,1,0.176417641,Exp. 6a
3,2,2,252,1,0.8,1.053967,0.4908326,2,0.9081427,1,0.247844287,Exp. 6a
1,4,2,253,1,1.4,1.182124,0.7743614,2,0.8875688,1,0.243876451,Exp. 6a
3,5,1,254,1,1.7,1.5419268,0.6734107,1,0.9145336,1,0.194654411,Exp. 6a
5,5,2,255,1,1.7,1.6778211,0.5064461,1,1.0354494,1,0.268332432,Exp. 6a
3,4,2,256,1,1.4,1.3579329,0.5403434,2,0.9976786,1,0.250268231,Exp. 6a
1,4,1,257,1,1.4,1.2859451,0.513591,1,1.3707664,1,0.243876451,Exp. 6a
1,3,1,258,1,1.1,1.1020489,0.4110357,1,0.7801179,1,0.249775444,Exp. 6a
3,3,1,259,1,1.1,1.3098513,0.495632,1,1.0327267,1,0.200196574,Exp. 6a
1,5,1,260,1,1.7,1.4379186,0.6084955,1,0.8334834,1,0.22008172,Exp. 6a
5,1,2,261,1,0.5,0.7740292,0.477808,1,0.8948394,1,0.228112683,Exp. 6a
1,2,1,262,1,0.8,0.9659874,0.4530566,1,0.7502134,1,0.182591042,Exp. 6a
1,2,2,263,1,0.8,0.9258632,0.4694023,2,0.5985196,1,0.182591042,Exp. 6a
5,1,1,264,1,0.5,0.7338511,0.5749308,1,1.680085,1,0.228112683,Exp. 6a
3,4,1,265,1,1.4,1.0539382,0.5236801,1,1.2608202,1,0.250268231,Exp. 6a
3,5,2,266,1,1.7,1.6379221,0.5102871,2,0.9433,1,0.194654411,Exp. 6a
5,2,1,267,1,0.8,1.149971,0.625607,1,1.0899054,1,0.159266172,Exp. 6a
1,3,2,268,1,1.1,0.8538281,0.4279546,2,0.9091247,1,0.249775444,Exp. 6a
1,1,1,269,1,0.5,1.0140165,0.4097467,1,0.8184535,1,0.251073956,Exp. 6a
5,2,2,270,1,0.8,1.1177571,0.417804,1,1.0909189,1,0.159266172,Exp. 6a
5,4,2,271,1,1.4,1.3338718,0.5255885,1,1.0546042,1,0.176417641,Exp. 6a
3,3,1,272,1,1.1,1.4458322,0.5966398,1,1.1416851,1,0.200196574,Exp. 6a
5,4,1,273,1,1.4,1.0860408,0.4998958,2,1.3250818,1,0.176417641,Exp. 6a
3,5,1,274,1,1.7,1.309943,0.5177638,1,1.2229236,1,0.194654411,Exp. 6a
5,1,2,275,1,0.5,0.27015,0.5498881,2,1.0632206,1,0.228112683,Exp. 6a
3,2,2,276,1,0.8,0.6539692,0.5984757,2,1.0636007,1,0.247844287,Exp. 6a
5,2,2,277,1,0.8,0.773817,0.6139985,2,1.1588609,1,0.159266172,Exp. 6a
1,4,2,278,1,1.4,1.2459688,0.5352459,2,0.9124022,1,0.243876451,Exp. 6a
1,5,1,279,1,1.7,1.8619388,0.5851402,1,1.1303288,1,0.22008172,Exp. 6a
