WMSize,DurLevel,TPresent,NT,NSub,curDur,phyDur,repVDur,repDur,presentColorDeg,respColorDeg,WMRP
5,3,1,198,16,1.1,1.100043449,1.230195477,1.22187621,6.091199089,6.091199089,2
5,4,1,199,16,1.4,1.400234444,1.109756185,1.093998335,0.244346095,0.244346095,1
3,5,2,200,16,1.7,1.700133706,1.710151549,1.701741777,5.445427266,4.206243497,2
1,5,2,201,16,1.7,1.700166052,1.481138246,1.477957906,4.50294947,5.637413484,2
1,2,1,202,16,0.8,0.800084161,1.112022873,1.109883817,0.017453293,0.017453293,1
5,4,2,203,16,1.4,1.400136163,1.290154491,1.286079356,5.742133239,1.012290966,2
1,1,1,204,16,0.5,0.500045253,0.880169367,0.870021634,1.762782545,1.762782545,1
5,5,1,205,16,1.7,1.700174449,1.790392885,1.782116228,2.443460953,2.443460953,1
3,1,2,206,16,0.5,0.500044942,1.058753203,1.045798857,6.056292504,5.427973974,1
5,1,1,207,16,0.5,0.500037789,0.810279595,0.80591397,2.251474735,2.251474735,2
5,2,1,208,16,0.8,0.80009007,0.689050631,0.678071862,2.28638132,2.28638132,2
3,3,2,209,16,1.1,1.100084503,1.051989837,1.045904603,0.872664626,1.099557429,2
5,5,2,210,16,1.7,1.700196842,1.440253255,1.429851732,1.012290966,4.241150082,2
1,2,2,211,16,0.8,0.800073275,1.050362599,1.045817207,6.195918845,0.488692191,2
3,5,2,212,16,1.7,1.700143037,1.410048571,1.398040027,0.104719755,0.401425728,1
3,3,2,213,16,1.1,1.100090413,1.360266641,1.350038666,0.907571211,2.984513021,2
5,2,2,214,16,0.8,0.800029111,1.390239305,1.381846328,4.4331363,3.752457892,2
1,5,1,215,16,1.7,1.700162942,1.440008485,1.429948147,5.358160804,5.358160804,1
1,1,2,216,16,0.5,0.500093771,0.960223161,0.949867047,4.50294947,0.855211333,2
1,3,1,217,16,1.1,1.100170344,1.180807604,1.173733648,4.537856055,4.537856055,1
5,4,1,218,16,1.4,1.400182193,1.280066981,1.270026237,5.585053606,5.585053606,1
3,4,2,219,16,1.4,1.400066806,1.560512468,1.557939543,4.258603375,3.473205211,2
3,2,2,220,16,0.8,0.80017249,1.028718024,1.013961648,1.186823891,3.246312409,2
5,3,1,221,16,1.1,1.100111251,1.330021214,1.31796384,2.024581932,2.024581932,1
5,5,2,222,16,1.7,1.700166985,1.271795184,1.270014108,3.106686069,0.244346095,2
5,4,2,223,16,1.4,1.400145183,1.140221189,1.125787026,4.869468613,3.892084232,2
1,2,1,224,16,0.8,0.800222874,1.02002169,1.014062417,4.974188368,4.974188368,1
3,2,1,225,16,0.8,0.800113397,1.059668214,1.046002262,2.268928028,2.268928028,1
3,4,1,226,16,1.4,1.400207697,1.129879578,1.125983899,3.263765701,3.263765701,1
5,2,1,227,16,0.8,0.800071409,1.359450222,1.349937585,2.460914245,2.460914245,1
1,5,2,228,16,1.7,1.700228877,1.520110486,1.510159004,0.628318531,0.698131701,1
1,4,1,229,16,1.4,1.400155446,1.55019325,1.542025449,0.628318531,0.628318531,1
5,5,1,230,16,1.7,1.700224834,1.570725319,1.55803938,1.815142422,1.815142422,1
1,1,1,231,16,0.5,0.500037477,1.190231406,1.173930832,4.485496178,4.485496178,1
1,3,2,232,16,1.1,1.100156037,1.189597865,1.173885735,3.176499239,4.380776423,2
5,1,1,233,16,0.5,0.500039033,1.190292676,1.174065503,5.009094953,5.009094953,1
3,3,1,234,16,1.1,1.100130223,1.010067295,0.997843215,4.799655443,4.799655443,1
5,1,2,235,16,0.5,0.500000156,1.140036756,1.125760589,0.017453293,5.777039824,1
1,4,2,236,16,1.4,1.400110971,1.680168932,1.670060387,0.401425728,5.340707511,2
5,3,2,237,16,1.1,1.100171277,0.68094243,0.678028942,2.617993878,5.026548246,2
3,1,2,238,16,0.5,0.500039966,0.948662053,0.933969436,2.897246558,1.204277184,2
3,5,1,239,16,1.7,1.700198397,1.319665918,1.302044458,2.094395102,2.094395102,1
3,1,1,240,16,0.5,0.500097504,0.859993413,0.85394239,3.822271062,3.822271062,1
3,3,2,241,16,1.1,1.100197402,1.089304048,1.07792189,2.181661565,0.541052068,2
3,2,1,242,16,0.8,0.800129881,0.918446174,0.902067224,0.541052068,0.541052068,1
5,2,1,243,16,0.8,0.800057414,1.150589236,1.14208647,3.787364477,3.787364477,1
5,5,2,244,16,1.7,1.700175693,1.36023274,1.349921101,2.094395102,6.16101226,2
1,4,2,245,16,1.4,1.400121856,1.170077222,1.158005852,3.682644722,2.181661565,2
5,2,2,246,16,0.8,0.800159116,0.750170359,0.742301756,4.101523742,6.283185307,2
1,1,2,247,16,0.5,0.499967499,1.010345343,0.997825176,1.658062789,4.15388362,2
1,1,1,248,16,0.5,0.500095016,0.731040975,0.725792686,3.874630939,3.874630939,1
3,5,2,249,16,1.7,1.700156721,1.120308976,1.109797043,0.436332313,1.134464014,2
1,3,2,250,16,1.1,1.100079527,0.940209868,0.933914075,1.308996939,0.471238898,2
