"","Exp","sig_s","sig_pr2","ks","kr","ls","mu_pr","sig_mn","InP_1","InP_3","InP_5"
"1","Exp1",0.27893893762752,0.229020223383876,0,0,0,0.94933918109647,0.0287740867368991,0.94933918109647,0.94933918109647,0.94933918109647
"2","Exp2",0.306316381729228,0.273433000386445,0.0744009591821255,0,0.228005090483844,1.22350504369034,0.0624111538881752,1.04692577407215,0.986232849308343,0.956612364568124
"3","Exp3",0.331347885095837,0.119279126319573,0,0.0247887901109098,0,0.887687145389137,0.0406804036722086,0.935318785680556,0.988852382493349,1.05082572529401
"4","Exp4",0.209109389260825,0.30112894073776,0.07423286123612,0.0598950102215467,0.0808352684037353,0.911438430560235,0.0460407901252919,0.934186541868972,0.945232811994854,0.949779616920257
