Exp,NSub,Intercept_low,CV_Slope_low,Intercept_medium,CV_Slope_medium,Intercept_high,CV_Slope_high
Exp1,1,-1.664951377887553,-0.052213010316877174,-1.4749681065490328,-0.2505976176333841,-1.7615113174724,-0.578300028370627
Exp1,2,-1.676130168014818,-0.3101809023225684,-1.5946519764544664,-0.02743568316685119,-1.7076474999400166,-0.3088524242120904
Exp1,3,-1.8016309347811164,-0.3101991106388838,-1.6833615161374895,-0.331410980663525,-1.894967540723341,-0.29488518256296353
Exp1,4,-1.5060446118599196,-0.6343078979114802,-1.4342408421351576,-0.5995083499529776,-1.4618323905651254,-0.23534421565353025
Exp1,5,-2.209573890761801,0.0795986948774372,-2.151340332064871,-0.006634350234405112,-2.0489861021960443,-0.12022089206980181
Exp1,6,-1.730633997792351,0.0026596754112724946,-1.8297683997081522,0.004527958643014273,-1.7006386387046037,0.057524208869052865
Exp1,7,-1.361825886701283,-0.7169345037964159,-1.4215691899588487,0.04663442230882421,-1.2218438025233493,-0.1965286638722062
Exp1,8,-1.2593932744085075,0.14035692179941409,-1.3813688463487601,-0.05128855779007012,-1.2344244835299023,-0.25148703978603637
Exp1,9,-1.659022950031015,-0.658416462846658,-1.9399546612782501,-0.20711946813991414,-1.8254226800940758,-0.41950784057934865
Exp1,10,-1.5333359848666595,0.15109380288617846,-1.6175842145226274,0.04741557989893656,-1.4858833311573445,-0.46295856412983805
Exp1,11,-1.380020406712007,-0.0976755690634373,-1.6712611056571995,-0.22420860184018201,-1.6532450391793247,0.36043806826772007
Exp1,12,-1.7794595448488166,-0.780920840955888,-1.8110458112112489,-0.22016033560744866,-1.9088823059173854,-0.35865121704931296
Exp1,13,-1.8422389448266654,-0.34195817264938944,-1.7246162185161373,-0.18453446742036772,-1.882451724187872,-0.1206360996663136
Exp1,14,-1.616204381244382,-0.41073342765809046,-1.7311290530331573,-0.35657585884717524,-1.64802765296104,-0.2342038452880444
Exp1,15,-1.5740132882200188,-0.2986246128451265,-1.4306002530748432,-0.3434903044238885,-1.2465818121316607,-0.29642645541766593
Exp1,16,-1.5323753319161864,-0.17864081236309215,-1.6297583722179934,-0.3113849276306004,-1.4224727697344937,-0.03254488370914592
Exp2,1,-1.2826308537784963,-0.41685612006201467,-1.2644622796098326,-0.4458533941105535,-1.2626200243124672,-0.5346221930948023
Exp2,2,-1.4985596063183704,-0.30125888117646393,-1.4531724236456274,-0.4200908435287301,-1.5218964802344381,-0.091932768686257
Exp2,3,-1.5832803919142329,-0.2922063458593231,-1.5572274300598217,0.0012439359014960877,-1.6514761952662182,-0.4567042849572906
Exp2,4,-1.5463643210244182,-0.4771960468233493,-1.6090028319097314,-0.3087630882584303,-1.4575893163352391,-0.2918592098576373
Exp2,5,-1.037539328291856,-0.019465483499232227,-0.9467970445581589,0.21081658209664075,-0.9943539201960775,-0.015331829808572102
Exp2,6,-1.490392279319582,-0.15445785630533695,-1.5091190436883968,-0.097733744393293,-1.3652569116892872,-0.195577726887174
Exp2,7,-1.4675404880011298,-0.8944505172718151,-1.1868516022400482,-0.5328618599369453,-1.26693006404841,-0.38150362999095105
Exp2,8,-1.4002356351048415,0.0187251169304431,-1.2798124269096254,0.12583292627786574,-1.1470694940091446,0.03782929065657781
Exp2,9,-1.3443095643156784,-0.08358981075364302,-1.335971655018761,-0.3783227251754795,-1.3807191998728838,-0.10014441528674425
Exp2,10,-1.3053092820602505,-0.14185725248642278,-1.4267364495612063,-0.17095949996656074,-1.2853311267090308,-0.20001239737944465
Exp2,11,-1.8105818662388098,-0.7412751531948241,-1.7840349003720148,-0.4666118619119406,-1.6892352955920908,-0.5856065785425346
Exp2,12,-1.2443618535861012,-0.17727640709304968,-1.1209463231363306,-0.5913839405107807,-1.1576812857052123,-0.3451768253177775
Exp2,13,-1.1835850144175972,-0.278522975455287,-1.3032925461219877,-0.39364098939797737,-1.2592073225385334,0.0757649270616533
Exp2,14,-1.2970545938117628,-0.2639143537076844,-1.2776692424923828,0.0022191456058081246,-1.2698515867815099,0.18591853926729085
Exp2,15,-1.7306463359018887,-0.14291802904474027,-1.4859169947765118,-0.2003505591419662,-1.621484414551784,-0.23488629691775503
