Exp,NSub,Intercept_low,CV_Slope_low,Intercept_medium,CV_Slope_medium,Intercept_high,CV_Slope_high
Exp2,16,-1.441315768482259,-0.45267307127316947,-1.5012791130007972,-0.36428383156491423,-1.569898494414552,-0.7594489929012579
Exp3,1,-1.5060446118599196,-0.6343078979114802,-1.4342408421351576,-0.5995083499529776,-1.4618323905651254,-0.23534421565353025
Exp3,2,-1.589852869829353,0.02045953561532988,-1.5775267820205865,-0.32730498949587694,-1.4742015888943543,-0.1712906390705806
Exp3,3,-1.412678961209251,-0.09205196607693569,-1.4407551415887339,-0.41106215788158773,-1.7014142890362776,-0.34477267995786676
Exp3,4,-1.6008680379624083,-0.39149664471238793,-1.8365860742167874,-0.2776755006387749,-1.5355748631336905,-0.2627029718775944
Exp3,5,-1.8893709919475257,0.12505206043225517,-1.6760565778973806,-0.3786006248254495,-1.8936617365259216,-0.648371041474063
Exp3,6,-1.3851295916135318,-0.48022673364411905,-1.5661922042285268,-0.15117804414474545,-1.4038903760913908,-0.4183918400821772
Exp3,7,-1.649127717964621,-0.3001475568688846,-1.7443766995329977,-0.46724243299752416,-1.6522782789219692,-0.2051946300822994
Exp3,8,-1.5117847114355139,-0.902670514140783,-1.61041801630919,0.017524444945818445,-1.432835768264477,-0.4543428755228308
Exp3,9,-1.5650821189811999,-0.5325219253066871,-1.504712813871473,-0.6297846848339106,-1.4894730386787447,-0.15541717906562127
Exp3,10,-1.642392106997212,-0.16569294212558827,-1.5290841223226168,-0.24397250857898847,-1.5272188803020559,-0.07623959214950168
Exp3,11,-1.693624940071166,-0.2860373887098825,-1.6729984332312244,-0.06886403355078563,-1.6765894204346043,-0.15139618186979478
Exp3,12,-1.5791958084358588,0.32170524182247534,-1.5920949179197548,0.060266379048249157,-1.4588164642384038,0.010827957989838138
Exp3,13,-1.3887823958196857,0.004602357836082346,-1.4582473516979269,0.01468898478396921,-1.3855725352893207,0.11193527811175163
Exp3,14,-1.5074775689807551,-0.12917459410913504,-1.6023208271416152,-0.07683064086408876,-1.602739812646439,0.01910347393580408
Exp3,15,-1.642457526470524,-0.017275414596680284,-1.74766211638581,-0.17259235035462608,-1.679916958900371,-0.2541979325582479
Exp3,16,-1.5635543452064407,-0.5310231388138881,-1.5003769427441351,-0.4275592108697856,-1.6362147045620639,-0.366936306941772
Exp4,1,-1.4746594397170247,-0.3808534761372188,-1.3991975815830937,-0.5309959129076062,-1.5277977181908333,-0.3589038928411966
Exp4,2,-1.8173772844151628,-0.4574987196453581,-1.988803671822442,-0.5462960785683922,-1.98037051531596,-0.48457219917192534
Exp4,3,-1.694752101838225,-0.17435691828890162,-1.5165716035098777,0.22940718577703548,-1.4688948705039047,0.034429698133908074
Exp4,4,-1.5876568805711126,-0.046441465116451586,-1.366492088800664,0.19623217613189223,-1.5528344363621427,-0.26213201724445623
Exp4,5,-1.5738497206188964,-0.4808278069841618,-1.5389420512091192,-0.5561988941402358,-1.7118029977067275,-0.6066384637378571
Exp4,6,-2.1717993707380723,0.05476587009056597,-1.8117749212704377,0.02103466708135159,-1.8468659439296742,-0.5989829013734624
Exp4,7,-1.4653640042908325,0.1920122892200624,-1.4927725345411142,0.01656438971455324,-1.5259938050135988,0.04052835750720638
Exp4,8,-1.7580707305635186,-1.1719473572075185,-1.4666076279625464,-0.9767873384057103,-1.6416645378300518,-0.6547953435295776
Exp4,9,-1.2895559087791684,-0.5319175178619834,-1.3316776790695788,-0.7956947612766253,-1.222099557879674,-0.8655877371150728
Exp4,10,-1.6013385495144987,-0.19797061101685118,-1.6947876715076864,-0.1430146376862453,-1.7000759961220104,0.0058359510124154496
Exp4,11,-1.632024238967831,0.41731354256525965,-1.6304464915790342,-0.3220447461542057,-1.4119448961965597,-0.18290201541919573
Exp4,12,-1.4015836703573639,-0.29033750340467124,-1.4598783831951048,-0.1627190899928417,-1.4332202700607786,-0.07784042466604371
Exp4,13,-1.7605753288843211,-0.029118822234495734,-1.6143410381922123,0.11686292355276486,-1.6748974077009626,-0.08203281281819894
Exp4,14,-1.525113355048186,-0.006536332664782779,-1.4753921961099798,0.06586204339425498,-1.6651639114098433,-0.06079151920762597
Exp4,15,-1.5239497243474753,-0.34418503326254607,-1.3915555557594201,-0.47823175996864503,-1.379200797784077,-0.3692525040783295
Exp4,16,-1.5001685554815365,-0.1435091260873773,-1.6025733592163867,-0.3224317197728293,-1.5845675029729864,-0.11267684326548191
