"","Exp","wmsize","m_ls","n","se_ls","m_ks","se_ks","m_kr","se_kr","m_WMCrr","se_WMCrr","m_wp","se_wp","m_sig_post2","se_sig_post2","m_InP","se_InP"
"1","Exp1","1",1,16,0,1,0,1,0,0.915104166666667,0.00985132534794739,0.411272632234243,0.0531568063280546,0.0453618906536865,0.00466238895902467,0.94933918109647,0.0448031780127129
"2","Exp1","3",1,16,0,1,0,1,0,0.799479166666667,0.0133441796162083,0.411272632234243,0.0531568063280546,0.0453618906536865,0.00466238895902467,0.94933918109647,0.0448031780127129
"3","Exp1","5",1,16,0,1,0,1,0,0.714583333333333,0.0191082039132443,0.411272632234243,0.0531568063280546,0.0453618906536865,0.00466238895902467,0.94933918109647,0.0448031780127129
"4","Exp2","1",0.543989819032311,16,0.0834505021907488,1.07440095918212,0.0130990818188419,1,0,0.898958333333333,0.0103301966565484,0.467831297740357,0.0547445618445366,0.0626864163534354,0.00765275836722094,1.04692577407215,0.0415425745970953
"5","Exp2","3",0.543989819032311,16,0.0834505021907488,1.14880191836425,0.0261981636376838,1,0,0.724479166666667,0.0233130699049924,0.529076695591219,0.0596538998776341,0.0721276320500575,0.00970383464159343,0.986232849308343,0.0396858582665098
"6","Exp2","5",0.315984728548467,16,0.125175753286123,1.22320287754638,0.039297245456526,1,0,0.664583333333333,0.0210598793566943,0.575513792626189,0.0629447886673654,0.0794408072416245,0.0110433112970082,0.956612364568125,0.043661093944705
"7","Exp3","1",1,16,0,1,0,1.02478879011091,0.00368571044334147,0.8671875,0.0108999023101297,0.538705574993897,0.0419988886403552,0.0473605947414665,0.00231391922727353,0.935318785680556,0.0409378291978599
"8","Exp3","3",1,16,0,1,0,1.04957758022182,0.00737142088668282,0.700520833333333,0.0177859139368181,0.538705574993897,0.0419988886403552,0.0473605947414665,0.00231391922727353,0.988852382493349,0.044861490411873
"9","Exp3","5",1,16,0,1,0,1.07436637033273,0.0110571313300244,0.613541666666667,0.0171930756949375,0.538705574993897,0.0419988886403552,0.0473605947414665,0.00231391922727353,1.05082572529401,0.0556987160489162
"10","Exp4","1",0.83832946319253,16,0.0303136827463259,1.07423286123612,0.00504972569234472,1.05989501022155,0.0048880010790286,0.816145833333333,0.0189291849589431,0.362258392370041,0.0482594253603729,0.0453609235515121,0.00448335509950486,0.934186541868972,0.0561059421629954
"11","Exp4","3",0.83832946319253,16,0.0303136827463259,1.14846572247224,0.01009945138469,1.11979002044309,0.00977600215805683,0.679166666666667,0.0228926641978183,0.388702086975114,0.0513694208114606,0.048650732602197,0.00474800427987713,0.945232811994855,0.0626890572665331
"12","Exp4","5",0.757494194788794,16,0.0454705241194889,1.22269858370836,0.0151491770770347,1.17968503066464,0.0146640032370847,0.600520833333333,0.0167676339828467,0.412147839799851,0.0537890491806308,0.0517456766051399,0.00505807707172411,0.949779616920257,0.0695664899635781
