Exp,WMSize,mInP,n,seInP
Exp1,low,0.9532686183155139,16,0.04474343513034647
Exp1,medium,0.9543578512429356,16,0.04485574843823625
Exp1,high,0.9536836671301697,16,0.044765287892945115
Exp2,low,1.025758823949932,16,0.03782541232018193
Exp2,medium,0.968904031016045,16,0.03999464585240026
Exp2,high,0.9416180772995174,16,0.045088963328877726
Exp3,low,0.9320963437434548,16,0.03998348235192666
Exp3,medium,0.9841444900334122,16,0.04303804021717451
Exp3,high,1.0445724485740344,16,0.05244522316323998
Exp4,low,0.9114370559571289,16,0.051262293146095594
Exp4,medium,0.9068050759205645,16,0.05765476743332664
Exp4,high,0.8957702839792503,16,0.06371835716191442
