Exp,NSub,Intercept_low,slope_low,inP_low,Intercept_medium,slope_medium,inP_medium,Intercept_high,slope_high,inP_high
1,Exp1,0.6786063854639326,0.24160222705340006,0.8947895282278399,0.6790164894738548,0.24149778920884052,0.8952070011313525,0.6791732311480496,0.24131391255729606,0.8951966332180051
1,Exp2,0.5718974151650755,0.42755331513382594,0.9990404875849235,0.6007583114407702,0.38586271189299987,0.9782150067658829,0.6276893499013122,0.3475227967713233,0.9620096254632255
1,Exp3,0.5958293272705834,0.3574167131251678,0.9272406230301535,0.6036428738159253,0.3614316516604532,0.9453065993414216,0.6112051549298392,0.3652567270292137,0.9629171051616164
1,Exp4,0.32883328338350226,0.58374693956662,0.7899840617175019,0.36646988592737595,0.5448843104401812,0.805223582341932,0.40236744607263236,0.5033836423297134,0.8102178670880029
2,Exp1,0.5306447472238707,0.5145498774628439,1.0930983896976056,0.5312604880504236,0.5142373055805604,1.0936625931832018,0.5312303694178718,0.5140998293069905,1.0932911767868092
2,Exp2,0.3670384286858073,0.5302865892604003,0.7814093025529699,0.3859978378625254,0.49695343001000686,0.7673202858141025,0.4036639529422618,0.4660480593478031,0.7559930439604836
2,Exp3,0.5872148158937379,0.3376275276346108,0.8865326389497183,0.6064949952290437,0.3486079050603692,0.9310751541822931,0.6267297497480243,0.3593277377011035,0.9782376834907088
2,Exp4,0.49569233577004845,0.48696036350348715,0.9661872114892973,0.5223967123097769,0.45889224645681087,0.9654208591340785,0.5486406174135618,0.42951761217045564,0.9617135061801264
3,Exp1,0.5151250379135199,0.4714649288631483,0.974627921673225,0.5153817657714106,0.4714101682849175,0.9750126371125669,0.5146173705546266,0.47178613026085137,0.9742594809348031
3,Exp2,0.662085845471298,0.2998904904526691,0.9456889764279622,0.7022775964813569,0.2398416816006174,0.9238570169962732,0.73548474622319,0.19095444897022745,0.9090770541745734
3,Exp3,0.44443649059311147,0.47591784842089213,0.8480282895610608,0.4521437510156469,0.484253410640014,0.8766781212779966,0.45992581047742737,0.4923464306133723,0.9059836041990852
3,Exp4,0.47950383026657345,0.4039941951532808,0.8045287921145202,0.5682829938657071,0.33184679894693564,0.8505279821604482,0.6506451978706818,0.2717399498315259,0.8934242620066319
4,Exp1,0.6034122281401324,0.3614123954477004,0.9449169132607453,0.6021791129527487,0.3624079126819434,0.9444582593327535,0.6019610356784566,0.3624989260160292,0.9442510142243182
4,Exp2,0.6417981425765402,0.4206540053333753,1.1077976692422853,0.7288945490355085,0.327869617341443,1.0844540997424124,0.7973411277341685,0.25764073176256697,1.0740636802814865
4,Exp3,0.6344151700443478,0.36628023133402016,1.001097332626741,0.641606822548569,0.370272201118596,1.0188637434908636,0.6491990607946979,0.3747493415396979,1.038302082549372
4,Exp4,0.6459101308564617,0.2766257155943888,0.8929127628406074,0.7080252715931783,0.22322956753838843,0.91149874146138965,0.7625114339422399,0.1808179389628143,0.9308204735059825
5,Exp1,0.16925690050895945,0.8105430986309797,0.8933794403154748,0.1698176004736963,0.8102866904346443,0.8951274998193767,0.16954455674330118,0.8106927482028238,0.8956051875125799
5,Exp2,0.6927979225144177,0.41006839011185797,1.174369894581137,0.8661704457522252,0.25641629322639875,1.1648593666885547,0.9775605693480309,0.16520111615411703,1.1710132683029606
5,Exp3,0.08222865904856094,0.9260568471565983,1.1120523792474262,0.08308738689790253,0.9367346419245847,1.31331568215987,0.08350523393511113,0.9477333866293448,1.5976782988200013
5,Exp4,0.4970008470847216,0.5726770937110032,1.1630568822084202,0.5747482718565314,0.49833972106179664,1.1456922064330537,0.6549379253527573,0.41480453428630926,1.1191780588286178
6,Exp1,0.5421904923869724,0.352279058645772,0.8370742055265081,0.5432412880156966,0.35154416285221557,0.8377460065825435,0.5425593886182339,0.35208210603956747,0.8373891100642565
6,Exp2,0.6263463597515896,0.4394158879613931,1.1173102239266703,0.6721664551379176,0.3419199746854084,1.0214053447627318,0.7143468457750227,0.25578908525954325,0.9598714982890985
6,Exp3,0.626736256373566,0.3898462173088593,1.027177531554892,0.6433789141604838,0.4015415968331386,1.0750603730450046,0.6611340040246276,0.41244082161021806,1.1252211323401993
6,Exp4,0.17837302984577974,0.7872024035474221,0.8382285928945175,0.23300440375332335,0.7445670394802372,0.9121939599306168,0.2914577933986678,0.6929915650678632,0.9493478362022645
7,Exp1,0.4333276455657298,0.37577653938945427,0.694186734253623,0.4344024755725475,0.37482668349067694,0.6948512742003271,0.4326382869706011,0.37600966833518357,0.6933413308124744
7,Exp2,0.6297457492387599,0.45824209251465864,1.1624117350899936,0.73164842635851,0.36282969616714733,1.1482776613369,0.8077090254050092,0.2932775297703597,1.142894218635152
7,Exp3,0.2234750893154821,0.7287625918603807,0.823909544219094,0.2297572090523049,0.7519495832270049,0.9262520581151398,0.23680910781492592,0.7743945160268553,1.049660246038677
7,Exp4,0.11012002446912765,0.8883779584535514,0.9865437232959412,0.12022540168462796,0.85636298830662,0.8370085138033333,0.1295863961559986,0.8164680755121789,0.7060700557553287
8,Exp1,0.4330256131822378,0.571799285746679,1.0112678441868794,0.43293246466679147,0.5720408444144527,1.0116209900321902,0.43312498844091324,0.5715854628864314,1.0109950781761077
8,Exp2,0.4002647226655365,0.5871327608162075,0.9694756199518996,0.47718801974572395,0.4814119634403461,0.9201678135720595,0.5463061015277223,0.39130150734318786,0.8974986928967686
8,Exp3,0.7720097102892424,0.30642619939035187,1.1130894933035957,0.7795494838289652,0.30932384653160616,1.1286758344185952,0.7865749617041741,0.31282994403194986,1.1446583780430994
8,Exp4,0.4034746781484825,0.6304374549090939,1.091762905922283,0.4696859702126661,0.5719606544637221,1.0972962535119533,0.5350369521992612,0.5100648825380582,1.0920567502304483
9,Exp1,0.3161026858284735,0.7541739136886919,1.2858793408449292,0.31550807052765273,0.7547009224602008,1.2862179250407588,0.3161951517136627,0.7536624751184684,1.2835849993448094
9,Exp2,0.8971119978380021,0.15627726406467482,1.0632782069615454,0.9523231609475085,0.08675432735730969,1.0427896780411106,0.9880284447594467,0.0438731018851183,1.0333653897902702
9,Exp3,0.5484489384514144,0.4284641009348238,0.9596054059744565,0.5572394911911289,0.4352322208391625,0.9866701177944421,0.565930653211784,0.44225076603548247,1.0146686337677462
