"","WMSize","Exp","NSub","Intercept","slope"
"59","low","Exp4",11,-1.63202423896783,0.41731354256526
"60","low","Exp4",12,-1.40158367035736,-0.290337503404671
"61","low","Exp4",13,-1.76057532888432,-0.0291188222344957
"62","low","Exp4",14,-1.52511335504819,-0.00653633266478278
"63","low","Exp4",15,-1.52394972434748,-0.344185033262546
"64","low","Exp4",16,-1.50016855548154,-0.143509126087377
"65","medium","Exp1",1,-1.47496810654903,-0.250597617633384
"66","medium","Exp1",2,-1.59465197645447,-0.0274356831668512
"67","medium","Exp1",3,-1.68336151613749,-0.331410980663525
"68","medium","Exp1",4,-1.43424084213516,-0.599508349952978
"69","medium","Exp1",5,-2.15134033206487,-0.00663435023440511
"70","medium","Exp1",6,-1.82976839970815,0.00452795864301427
"71","medium","Exp1",7,-1.42156918995885,0.0466344223088242
"72","medium","Exp1",8,-1.38136884634876,-0.0512885577900701
"73","medium","Exp1",9,-1.93995466127825,-0.207119468139914
"74","medium","Exp1",10,-1.61758421452263,0.0474155798989366
"75","medium","Exp1",11,-1.6712611056572,-0.224208601840182
"76","medium","Exp1",12,-1.81104581121125,-0.220160335607449
"77","medium","Exp1",13,-1.72461621851614,-0.184534467420368
"78","medium","Exp1",14,-1.73112905303316,-0.356575858847175
"79","medium","Exp1",15,-1.43060025307484,-0.343490304423889
"80","medium","Exp1",16,-1.62975837221799,-0.3113849276306
"81","medium","Exp2",1,-1.26446227960983,-0.445853394110554
"82","medium","Exp2",2,-1.45317242364563,-0.42009084352873
"83","medium","Exp2",3,-1.55722743005982,0.00124393590149609
"84","medium","Exp2",4,-1.60900283190973,-0.30876308825843
"85","medium","Exp2",5,-0.946797044558159,0.210816582096641
"86","medium","Exp2",6,-1.5091190436884,-0.097733744393293
"87","medium","Exp2",7,-1.18685160224005,-0.532861859936945
"88","medium","Exp2",8,-1.27981242690963,0.125832926277866
"89","medium","Exp2",9,-1.33597165501876,-0.378322725175479
"90","medium","Exp2",10,-1.42673644956121,-0.170959499966561
"91","medium","Exp2",11,-1.78403490037201,-0.466611861911941
"92","medium","Exp2",12,-1.12094632313633,-0.591383940510781
"93","medium","Exp2",13,-1.30329254612199,-0.393640989397977
"94","medium","Exp2",14,-1.27766924249238,0.00221914560580812
"95","medium","Exp2",15,-1.48591699477651,-0.200350559141966
"96","medium","Exp2",16,-1.5012791130008,-0.364283831564914
"97","medium","Exp3",1,-1.43424084213516,-0.599508349952978
"98","medium","Exp3",2,-1.57752678202059,-0.327304989495877
"99","medium","Exp3",3,-1.44075514158873,-0.411062157881588
"100","medium","Exp3",4,-1.83658607421679,-0.277675500638775
"101","medium","Exp3",5,-1.67605657789738,-0.378600624825449
"102","medium","Exp3",6,-1.56619220422853,-0.151178044144745
"103","medium","Exp3",7,-1.744376699533,-0.467242432997524
"104","medium","Exp3",8,-1.61041801630919,0.0175244449458184
"105","medium","Exp3",9,-1.50471281387147,-0.629784684833911
"106","medium","Exp3",10,-1.52908412232262,-0.243972508578988
"107","medium","Exp3",11,-1.67299843323122,-0.0688640335507856
"108","medium","Exp3",12,-1.59209491791975,0.0602663790482492
"109","medium","Exp3",13,-1.45824735169793,0.0146889847839692
"110","medium","Exp3",14,-1.60232082714162,-0.0768306408640888
"111","medium","Exp3",15,-1.74766211638581,-0.172592350354626
"112","medium","Exp3",16,-1.50037694274414,-0.427559210869786
"113","medium","Exp4",1,-1.39919758158309,-0.530995912907606
"114","medium","Exp4",2,-1.98880367182244,-0.546296078568392
"115","medium","Exp4",3,-1.51657160350988,0.229407185777035
"116","medium","Exp4",4,-1.36649208880066,0.196232176131892
"117","medium","Exp4",5,-1.53894205120912,-0.556198894140236
"118","medium","Exp4",6,-1.81177492127044,0.0210346670813516
"119","medium","Exp4",7,-1.49277253454111,0.0165643897145532
"120","medium","Exp4",8,-1.46660762796255,-0.97678733840571
"121","medium","Exp4",9,-1.33167767906958,-0.795694761276625
"122","medium","Exp4",10,-1.69478767150769,-0.143014637686245
"123","medium","Exp4",11,-1.63044649157903,-0.322044746154206
"124","medium","Exp4",12,-1.4598783831951,-0.162719089992842
"125","medium","Exp4",13,-1.61434103819221,0.116862923552765
"126","medium","Exp4",14,-1.47539219610998,0.065862043394255
"127","medium","Exp4",15,-1.39155555575942,-0.478231759968645
"128","medium","Exp4",16,-1.60257335921639,-0.322431719772829
"129","high","Exp1",1,-1.7615113174724,-0.578300028370627
"130","high","Exp1",2,-1.70764749994002,-0.30885242421209
"131","high","Exp1",3,-1.89496754072334,-0.294885182562964
"132","high","Exp1",4,-1.46183239056513,-0.23534421565353
"133","high","Exp1",5,-2.04898610219604,-0.120220892069802
"134","high","Exp1",6,-1.7006386387046,0.0575242088690529
"135","high","Exp1",7,-1.22184380252335,-0.196528663872206
"136","high","Exp1",8,-1.2344244835299,-0.251487039786036
"137","high","Exp1",9,-1.82542268009408,-0.419507840579349
"138","high","Exp1",10,-1.48588333115734,-0.462958564129838
"139","high","Exp1",11,-1.65324503917932,0.36043806826772
"140","high","Exp1",12,-1.90888230591739,-0.358651217049313
"141","high","Exp1",13,-1.88245172418787,-0.120636099666314
"142","high","Exp1",14,-1.64802765296104,-0.234203845288044
"143","high","Exp1",15,-1.24658181213166,-0.296426455417666
"144","high","Exp1",16,-1.42247276973449,-0.0325448837091459
"145","high","Exp2",1,-1.26262002431247,-0.534622193094802
"146","high","Exp2",2,-1.52189648023444,-0.091932768686257
"147","high","Exp2",3,-1.65147619526622,-0.456704284957291
"148","high","Exp2",4,-1.45758931633524,-0.291859209857637
"149","high","Exp2",5,-0.994353920196077,-0.0153318298085721
"150","high","Exp2",6,-1.36525691168929,-0.195577726887174
"151","high","Exp2",7,-1.26693006404841,-0.381503629990951
"152","high","Exp2",8,-1.14706949400914,0.0378292906565778
"153","high","Exp2",9,-1.38071919987288,-0.100144415286744
"154","high","Exp2",10,-1.28533112670903,-0.200012397379445
"155","high","Exp2",11,-1.68923529559209,-0.585606578542535
"156","high","Exp2",12,-1.15768128570521,-0.345176825317777
"157","high","Exp2",13,-1.25920732253853,0.0757649270616533
"158","high","Exp2",14,-1.26985158678151,0.185918539267291
"159","high","Exp2",15,-1.62148441455178,-0.234886296917755
"160","high","Exp2",16,-1.56989849441455,-0.759448992901258
"161","high","Exp3",1,-1.46183239056513,-0.23534421565353
"162","high","Exp3",2,-1.47420158889435,-0.171290639070581
"163","high","Exp3",3,-1.70141428903628,-0.344772679957867
"164","high","Exp3",4,-1.53557486313369,-0.262702971877594
"165","high","Exp3",5,-1.89366173652592,-0.648371041474063
"166","high","Exp3",6,-1.40389037609139,-0.418391840082177
"167","high","Exp3",7,-1.65227827892197,-0.205194630082299
"168","high","Exp3",8,-1.43283576826448,-0.454342875522831
"169","high","Exp3",9,-1.48947303867874,-0.155417179065621
"170","high","Exp3",10,-1.52721888030206,-0.0762395921495017
"171","high","Exp3",11,-1.6765894204346,-0.151396181869795
"172","high","Exp3",12,-1.4588164642384,0.0108279579898381
"173","high","Exp3",13,-1.38557253528932,0.111935278111752
"174","high","Exp3",14,-1.60273981264644,0.0191034739358041
"175","high","Exp3",15,-1.67991695890037,-0.254197932558248
"176","high","Exp3",16,-1.63621470456206,-0.366936306941772
"177","high","Exp4",1,-1.52779771819083,-0.358903892841197
"178","high","Exp4",2,-1.98037051531596,-0.484572199171925
"179","high","Exp4",3,-1.4688948705039,0.0344296981339081
"180","high","Exp4",4,-1.55283443636214,-0.262132017244456
"181","high","Exp4",5,-1.71180299770673,-0.606638463737857
"182","high","Exp4",6,-1.84686594392967,-0.598982901373462
"183","high","Exp4",7,-1.5259938050136,0.0405283575072064
"184","high","Exp4",8,-1.64166453783005,-0.654795343529578
"185","high","Exp4",9,-1.22209955787967,-0.865587737115073
"186","high","Exp4",10,-1.70007599612201,0.00583595101241545
"187","high","Exp4",11,-1.41194489619656,-0.182902015419196
"188","high","Exp4",12,-1.43322027006078,-0.0778404246660437
"189","high","Exp4",13,-1.67489740770096,-0.0820328128181989
"190","high","Exp4",14,-1.66516391140984,-0.060791519207626
"191","high","Exp4",15,-1.37920079778408,-0.369252504078329
"192","high","Exp4",16,-1.58456750297299,-0.112676843265482
