"","WMSize","Exp","NSub","Intercept","slope"
"1","low","Exp1",1,-1.66495137788755,-0.0522130103168772
"2","low","Exp1",2,-1.67613016801482,-0.310180902322568
"3","low","Exp1",3,-1.80163093478112,-0.310199110638884
"4","low","Exp1",4,-1.50604461185992,-0.63430789791148
"5","low","Exp1",5,-2.2095738907618,0.0795986948774372
"6","low","Exp1",6,-1.73063399779235,0.00265967541127249
"7","low","Exp1",7,-1.36182588670128,-0.716934503796416
"8","low","Exp1",8,-1.25939327440851,0.140356921799414
"9","low","Exp1",9,-1.65902295003101,-0.658416462846658
"10","low","Exp1",10,-1.53333598486666,0.151093802886178
"11","low","Exp1",11,-1.38002040671201,-0.0976755690634373
"12","low","Exp1",12,-1.77945954484882,-0.780920840955888
"13","low","Exp1",13,-1.84223894482667,-0.341958172649389
"14","low","Exp1",14,-1.61620438124438,-0.41073342765809
"15","low","Exp1",15,-1.57401328822002,-0.298624612845126
"16","low","Exp1",16,-1.53237533191619,-0.178640812363092
"17","low","Exp2",1,-1.2826308537785,-0.416856120062015
"18","low","Exp2",2,-1.49855960631837,-0.301258881176464
"19","low","Exp2",3,-1.58328039191423,-0.292206345859323
"20","low","Exp2",4,-1.54636432102442,-0.477196046823349
"21","low","Exp2",5,-1.03753932829186,-0.0194654834992322
"22","low","Exp2",6,-1.49039227931958,-0.154457856305337
"23","low","Exp2",7,-1.46754048800113,-0.894450517271815
"24","low","Exp2",8,-1.40023563510484,0.0187251169304431
"25","low","Exp2",9,-1.34430956431568,-0.083589810753643
"26","low","Exp2",10,-1.30530928206025,-0.141857252486423
"27","low","Exp2",11,-1.81058186623881,-0.741275153194824
"28","low","Exp2",12,-1.2443618535861,-0.17727640709305
"29","low","Exp2",13,-1.1835850144176,-0.278522975455287
"30","low","Exp2",14,-1.29705459381176,-0.263914353707684
"31","low","Exp2",15,-1.73064633590189,-0.14291802904474
"32","low","Exp2",16,-1.44131576848226,-0.452673071273169
"33","low","Exp3",1,-1.50604461185992,-0.63430789791148
"34","low","Exp3",2,-1.58985286982935,0.0204595356153299
"35","low","Exp3",3,-1.41267896120925,-0.0920519660769357
"36","low","Exp3",4,-1.60086803796241,-0.391496644712388
"37","low","Exp3",5,-1.88937099194753,0.125052060432255
"38","low","Exp3",6,-1.38512959161353,-0.480226733644119
"39","low","Exp3",7,-1.64912771796462,-0.300147556868885
"40","low","Exp3",8,-1.51178471143551,-0.902670514140783
"41","low","Exp3",9,-1.5650821189812,-0.532521925306687
"42","low","Exp3",10,-1.64239210699721,-0.165692942125588
"43","low","Exp3",11,-1.69362494007117,-0.286037388709882
"44","low","Exp3",12,-1.57919580843586,0.321705241822475
"45","low","Exp3",13,-1.38878239581969,0.00460235783608235
"46","low","Exp3",14,-1.50747756898076,-0.129174594109135
"47","low","Exp3",15,-1.64245752647052,-0.0172754145966803
"48","low","Exp3",16,-1.56355434520644,-0.531023138813888
"49","low","Exp4",1,-1.47465943971702,-0.380853476137219
"50","low","Exp4",2,-1.81737728441516,-0.457498719645358
"51","low","Exp4",3,-1.69475210183823,-0.174356918288902
"52","low","Exp4",4,-1.58765688057111,-0.0464414651164516
"53","low","Exp4",5,-1.5738497206189,-0.480827806984162
"54","low","Exp4",6,-2.17179937073807,0.054765870090566
"55","low","Exp4",7,-1.46536400429083,0.192012289220062
"56","low","Exp4",8,-1.75807073056352,-1.17194735720752
"57","low","Exp4",9,-1.28955590877917,-0.531917517861983
"58","low","Exp4",10,-1.6013385495145,-0.197970611016851
