"","curDur","WMSize","NSub","Exp","model","wp","mu_r","sig_r","predY","sig_wm2","log_lik"
"1",0.4,1,1,"Exp1","Exp1",0.758630388901518,0.775569625287172,0.203989798618514,0.775123297783961,0.0352891808063751,0.18622670921178
"2",0.41,1,1,"Exp1","Exp1",0.758630388901518,0.777983321398157,0.203621163229322,0.776381119322522,0.0352891808063751,0.174351029230483
"3",0.42,1,1,"Exp1","Exp1",0.758630388901518,0.780397017509142,0.203268866053851,0.783749083266452,0.0352891808063751,0.181562769457569
"4",0.43,1,1,"Exp1","Exp1",0.758630388901518,0.782810713620127,0.202931835496908,0.783159857024825,0.0352891808063751,0.182496980124304
"5",0.44,1,1,"Exp1","Exp1",0.758630388901518,0.785224409731112,0.202609092260724,0.785755910474275,0.0352891808063751,0.180252432808981
"6",0.45,1,1,"Exp1","Exp1",0.758630388901518,0.787638105842096,0.202299739568362,0.789617063429972,0.0352891808063751,0.184513793985751
"7",0.46,1,1,"Exp1","Exp1",0.758630388901518,0.790051801953081,0.202002954608937,0.787208576149626,0.0352891808063751,0.181842703406123
"8",0.47,1,1,"Exp1","Exp1",0.758630388901518,0.792465498064066,0.201717981029574,0.7926256083375,0.0352891808063751,0.193750511092742
"9",0.48,1,1,"Exp1","Exp1",0.758630388901518,0.794879194175051,0.201444122327198,0.795043867179068,0.0352891808063751,0.183393745620523
"10",0.49,1,1,"Exp1","Exp1",0.758630388901518,0.797292890286036,0.201180736016405,0.798223925393095,0.0352891808063751,0.187050271639772
"11",0.5,1,1,"Exp1","Exp1",0.758630388901518,0.799706586397021,0.200927228468791,0.803139494236794,0.0352891808063751,0.187354165511392
"12",0.51,1,1,"Exp1","Exp1",0.758630388901518,0.802120282508005,0.200683050334988,0.803665063694097,0.0352891808063751,0.191317903795816
"13",0.52,1,1,"Exp1","Exp1",0.758630388901518,0.80453397861899,0.200447692473822,0.80401898905592,0.0352891808063751,0.192586187843152
"14",0.53,1,1,"Exp1","Exp1",0.758630388901518,0.806947674729975,0.200220682324047,0.807815917174768,0.0352891808063751,0.199727701181451
"15",0.54,1,1,"Exp1","Exp1",0.758630388901518,0.80936137084096,0.200001580663375,0.806222225582076,0.0352891808063751,0.192776452027003
"16",0.55,1,1,"Exp1","Exp1",0.758630388901518,0.811775066951945,0.199789978707246,0.811254133578017,0.0352891808063751,0.193593698251481
"17",0.56,1,1,"Exp1","Exp1",0.758630388901518,0.814188763062929,0.199585495506414,0.813208642221564,0.0352891808063751,0.191141020589374
"18",0.57,1,1,"Exp1","Exp1",0.758630388901518,0.816602459173914,0.199387775607926,0.816382582535962,0.0352891808063751,0.190411977321823
"19",0.58,1,1,"Exp1","Exp1",0.758630388901518,0.819016155284899,0.199196486948838,0.820717129526459,0.0352891808063751,0.192897629024272
"20",0.59,1,1,"Exp1","Exp1",0.758630388901518,0.821429851395884,0.199011318956005,0.823578766099916,0.0352891808063751,0.201346191250902
"21",0.6,1,1,"Exp1","Exp1",0.758630388901518,0.823843547506869,0.198831980828751,0.824599100112925,0.0352891808063751,0.202191468563561
"22",0.61,1,1,"Exp1","Exp1",0.758630388901518,0.826257243617854,0.198658199984145,0.82625347195172,0.0352891808063751,0.19983492207736
"23",0.62,1,1,"Exp1","Exp1",0.758630388901518,0.828670939728838,0.198489720647157,0.830720970699905,0.0352891808063751,0.189758487946274
"24",0.63,1,1,"Exp1","Exp1",0.758630388901518,0.831084635839823,0.198326302570142,0.832084565489839,0.0352891808063751,0.21115199036873
"25",0.64,1,1,"Exp1","Exp1",0.758630388901518,0.833498331950808,0.198167719867984,0.835000660928956,0.0352891808063751,0.191475574117397
"26",0.65,1,1,"Exp1","Exp1",0.758630388901518,0.835912028061793,0.198013759956861,0.838625457306172,0.0352891808063751,0.203112306211643
"27",0.66,1,1,"Exp1","Exp1",0.758630388901518,0.838325724172778,0.197864222586019,0.842365850411035,0.0352891808063751,0.206865151514917
"28",0.67,1,1,"Exp1","Exp1",0.758630388901518,0.840739420283762,0.197718918953136,0.839999637478155,0.0352891808063751,0.203656072483542
"29",0.68,1,1,"Exp1","Exp1",0.758630388901518,0.843153116394747,0.197577670894978,0.842608775420835,0.0352891808063751,0.194132207892263
"30",0.69,1,1,"Exp1","Exp1",0.758630388901518,0.845566812505732,0.197440310145946,0.843995581199207,0.0352891808063751,0.20338499853687
"31",0.7,1,1,"Exp1","Exp1",0.758630388901518,0.847980508616717,0.197306677657948,0.844942152858949,0.0352891808063751,0.195525527665883
"32",0.71,1,1,"Exp1","Exp1",0.758630388901518,0.850394204727702,0.197176622975746,0.850325275209,0.0352891808063751,0.211857809092495
"33",0.72,1,1,"Exp1","Exp1",0.758630388901518,0.852807900838687,0.19705000366256,0.851166157568067,0.0352891808063751,0.193835812222661
"34",0.73,1,1,"Exp1","Exp1",0.758630388901518,0.855221596949671,0.196926684771252,0.855750824967742,0.0352891808063751,0.201993746851657
"35",0.74,1,1,"Exp1","Exp1",0.758630388901518,0.857635293060656,0.196806538356937,0.858534815576596,0.0352891808063751,0.203964310861003
"36",0.75,1,1,"Exp1","Exp1",0.758630388901518,0.860048989171641,0.196689443027256,0.861558166286842,0.0352891808063751,0.208399752966299
"37",0.76,1,1,"Exp1","Exp1",0.758630388901518,0.862462685282626,0.196575283526954,0.863402716203396,0.0352891808063751,0.219883617468239
"38",0.77,1,1,"Exp1","Exp1",0.758630388901518,0.864876381393611,0.196463950353758,0.866559011826123,0.0352891808063751,0.200851751350733
