"","Exp","wmsize","m_ls","n","se_ls","m_ks","se_ks","m_kr","se_kr"
"1","Exp1","1",1,16,0,1,0,1,0
"2","Exp1","3",1,16,0,1,0,1,0
"3","Exp1","5",1,16,0,1,0,1,0
"4","Exp2","1",0.0611325342477385,16,0.0335760753655681,1.0492629294273,0.0216302669109297,1,0
"5","Exp2","3",0.0611325342477385,16,0.0335760753655681,1.09852585885459,0.0432605338218601,1,0
"6","Exp2","5",-0.408301198628392,16,0.0503641130483522,1.14778878828188,0.0648908007327898,1,0
"7","Exp3","1",1,16,0,1,0,1.01233998212979,0.00178913526465467
"8","Exp3","3",1,16,0,1,0,1.02467996425957,0.00357827052931009
"9","Exp3","5",1,16,0,1,0,1.03701994638936,0.00536740579396488
"10","Exp4a","1",0.203579071447102,16,0.0140432157170274,1.04272660339944,0.00308300899511347,1.02939833905153,0.00239402370723428
"11","Exp4a","3",0.203579071447102,16,0.0140432157170274,1.08545320679888,0.00616601799022756,1.05879667810307,0.0047880474144692
"12","Exp4a","5",-0.194631392829347,16,0.0210648235755411,1.12817981019833,0.00924902698534133,1.0881950171546,0.00718207112170343
"13","Exp4b","1",0.500207110231685,16,0.0820726404661207,1.04078682570949,0.00503891025262963,1.0199446960136,0.00183815374449644
"14","Exp4b","3",0.500207110231685,16,0.0820726404661207,1.08157365141898,0.0100778205052597,1.0398893920272,0.00367630748899229
"15","Exp4b","5",0.250310665347528,16,0.123108960699181,1.12236047712846,0.01511673075789,1.0598340880408,0.00551446123348816
