"","Exp","sig_s2","sig_pr2","ks","kr","ls","mu_pr","sig_mn2"
"1","Exp1",0.0103420315427131,0.18114948759624,0,0,0,0.965615041672464,0.0160119270130544
"2","Exp2",0.0721278609142268,0.193663449517194,0.0492629294272946,0,0.469433732876131,1.14211173491763,0.0282135546139214
"3","Exp3",0.0111476054116712,0.0906535236305979,0,0.0123399821297862,0,0.908477824955952,0.0171204114577275
"4","Exp4a",0.0049019670031265,0.237223361903092,0.0427266033994423,0.0293983390515345,0.398210464276449,0.96405732297742,0.0184181818583538
"5","Exp4b",0.024941750377617,0.152783853639074,0.0407868257094879,0.0199446960135995,0.249896444884157,1.03732378761109,0.0156555498179679
