"","Exp","WMSize","mmpredRP_err","mmpredVar_err","mmpredRP_rerr","mmpredVar_rerr","mmpredcv_rerr","mmpredcv_err","model"
"1","Exp1","low",-0.00163385280267959,0.00887136999951786,0.0340848510015117,0.234700413900804,0.234936163893168,0.0167916533218273,"linear"
"2","Exp1","medium",-0.00175549623407575,0.0137970515159954,0.0397928628660616,0.277557323528082,0.278407046552528,0.0236050899796447,"linear"
"3","Exp1","high",0.00302712894364575,0.00699253907049048,0.0336987010773859,0.247585589062083,0.24441265077758,0.0160541731040613,"linear"
"4","Exp2","low",0.0137374101802037,0.0126098208702313,0.0476028159168663,0.194777703607312,0.183357202913776,0.0122254809810518,"linear"
"5","Exp2","medium",0.00236209314115444,0.00595948411511392,0.0383275063658673,0.199159088120228,0.199682566668488,0.0115530612201878,"linear"
"6","Exp2","high",-0.016493553159132,0.0103505363181837,0.0539918603595264,0.163953568726511,0.187230211001594,0.0203395733238419,"linear"
"7","Exp3","low",0.000826803752866855,0.0141386321162968,0.0409845868964721,0.243084595218527,0.232646435275654,0.0202491572204489,"linear"
"8","Exp3","medium",-0.00811608051231494,0.0136137523203634,0.0399431167849405,0.218140671439789,0.229982376363093,0.0193826934250286,"linear"
"9","Exp3","high",0.00703725919186505,0.00337704664053722,0.0409827369693628,0.205428754489815,0.212610289660831,0.00748064417557185,"linear"
"10","Exp4a","low",-0.00915118381546294,0.0126398782295356,0.0380426035957564,0.287780789350994,0.303702269144853,0.0261007910472666,"linear"
"11","Exp4a","medium",0.0134333613927317,0.00744072714799097,0.0411379121126708,0.274822204444854,0.280330902485628,0.0138531706592332,"linear"
"12","Exp4a","high",-0.00470126035023598,0.0167749333414259,0.0382397667484452,0.282647018061674,0.27704710225104,0.0265258998218501,"linear"
"13","Exp4b","low",-0.00876742124749865,0.0113547077708153,0.0374104871301448,0.230478538516005,0.227842546322532,0.0240768089656538,"linear"
"14","Exp4b","medium",0.0155330752562083,0.0157863529572715,0.0455069646632529,0.235574126607943,0.223397050033411,0.0223106604455198,"linear"
"15","Exp4b","high",-0.00700933451529757,0.00454181579716297,0.0401746329235672,0.255512980487139,0.239262188074783,0.0148125300276642,"linear"
