"","NSub","Exp","model","sig_s2","ks","ls","ts","kr","sig_mn2","mu_pr","sig_pr2","looic","p_loo","elpd_loo","se_looic","se_p_loo","waic","p_waic","se_waic","se_p_waic","elpd_waic","se_waic.1","log_lik_sum","log_lik_mean"
"1",1,"Exp1","Exp1",0.018431786848389,0,0,0.12911193358119,0,0.0128354068684946,0.895818134738513,0.0334947648419515,335.206569180897,299.379705055579,-167.603284590449,4.22313762118992,2.10407924422623,95.0988694309604,179.325855180611,0.87094164290693,0.40126015270572,-47.5494347154802,0.87094164290693,76.5868853032509,0.213929847215785
"2",2,"Exp1","Exp1",0.0107388822231321,0,0,0.13164665556808,0,0.0167515077041243,1.09336850792015,0.0668627437767623,437.842012409552,306.705650999265,-218.921006204776,4.39790669141662,2.18057236446124,186.052904360157,180.811096974567,0.920773167825109,0.41814547899352,-93.0264521800784,0.920773167825109,32.289458877226,0.0896929413256277
"3",3,"Exp1","Exp1",0.00737923550847445,0,0,0.13083466632985,0,0.0101052735537453,0.974950004370104,0.0381059036524471,259.535380243346,304.714303515622,-129.767690121673,4.53709570720142,2.25594596604738,11.7401359612752,180.816681374587,0.951962133077142,0.426348825006389,-5.87006798063762,0.951962133077142,119.374857971712,0.3315968276992
"4",4,"Exp1","Exp1",0.0172026780131182,0,0,0.132386640022307,0,0.0188723703587214,0.944243376587375,0.058636009548382,477.39620344029,302.190729883397,-238.698101720145,4.20188845689394,2.08220410189696,232.590644285649,179.787950306076,0.887113182379794,0.397241801219816,-116.295322142825,0.887113182379794,8.14976668003525,0.0226382407778757
"5",5,"Exp1","Exp1",0.00259993650920267,0,0,0.133733324587358,0,0.00607639702103399,0.895415721293379,0.0657044909212127,81.0537644360956,304.257889942489,-40.5268822180478,4.3903174058229,2.18062640921152,-166.38206692244,180.53997426322,0.897870677343094,0.40685268363078,83.1910334612202,0.897870677343094,208.238248703479,0.578439579731886
"6",6,"Exp1","Exp1",0.00962525334494222,0,0,0.130834844496547,0,0.00982224400735979,0.837509465980318,0.0303864263763094,249.075635589566,302.216384596601,-124.537817794783,5.10825390175488,2.55138866744067,3.43655564048287,179.39684462206,0.860512041845785,0.392900152586392,-1.71827782024143,0.860512041845785,122.542494929198,0.34325628831708
"7",7,"Exp1","Exp1",0.0169958965072196,0,0,0.129322081135775,0,0.0183597774141257,0.694771650792107,0.0590192623141959,476.703644233836,304.847875262828,-238.351822116918,4.25136801663845,2.111950311969,227.503399955954,180.247753123887,0.864613411201151,0.387049203121017,-113.751699977977,0.864613411201151,11.0967406364258,0.0308242795456273
"8",8,"Exp1","Exp1",0.0178003943436671,0,0,0.135023311176665,0,0.0318496084734729,1.01177471790648,0.148239421361793,657.288989639756,298.101318645772,-328.644494819878,4.35934870459739,2.16658931685752,413.496551456116,176.205099553952,0.855400918043945,0.386588511886993,-206.748275728058,0.855400918043945,-84.6869627732911,-0.241273398214504
"9",9,"Exp1","Exp1",0.00598966966741346,0,0,0.135648541858121,0,0.0132938094175845,1.289883724053,0.108277191932478,351.175567339611,302.482341979803,-175.587783669806,4.2922498011929,2.13719223972368,107.008962164569,180.399039392282,0.863873808047098,0.391225343848057,-53.5044810822845,0.863873808047098,71.4584356247116,0.198495654513088
"10",10,"Exp1","Exp1",0.012715415864574,0,0,0.134786314861883,0,0.0186345513003817,0.949825127062024,0.0718937093874394,472.16065144406,302.252206718425,-236.08032572203,4.4595345094326,2.22059402765306,227.621939673549,179.98285083317,0.87965144823552,0.404129869619791,-113.810969836774,0.87965144823552,10.7966668001658,0.0299907411115717
"11",11,"Exp1","Exp1",0.011336037230519,0,0,0.133928425597155,0,0.0190060270206812,0.986931986527835,0.0927455169396871,493.162689977733,305.446353395469,-246.581344988866,4.4298426863148,2.20102045219071,244.558430493269,181.144223653237,0.902423570384113,0.410160330877994,-122.279215246635,0.902423570384113,3.26934136327373,0.00908150378687147
"12",12,"Exp1","Exp1",0.00351371522827092,0,0,0.128286118102892,0,0.00943936475346413,0.56508464806873,0.142352945783926,225.755164657686,303.850878805812,-112.877582328843,4.55977560797329,2.26524757448953,-21.4885133863495,180.229039783794,0.910769844413193,0.41187097498288,10.7442566931748,0.910769844413193,135.535984470961,0.376488845752669
"13",13,"Exp1","Exp1",0.00536247247259413,0,0,0.131194355116561,0,0.0117207809404311,1.1562733151274,0.0957812340193904,316.247749174127,305.90327014106,-158.123874587064,4.51585176697007,2.25187542991575,64.5960844309117,180.077437769452,0.844812470937448,0.385711496413914,-32.2980422154558,0.844812470937448,92.4599911465008,0.257548721856548
"14",14,"Exp1","Exp1",0.00479324675424029,0,0,0.129257730022764,0,0.0192080460279601,1.32025779327543,1.65013998079114,408.85313606703,304.053401543091,-204.426568033515,4.37608611823607,2.17404280605967,162.253089197336,180.753378108244,0.920435477371951,0.411205154999446,-81.1265445986681,0.920435477371951,44.0846973588346,0.12245749266343
"15",15,"Exp1","Exp1",0.0115613826936948,0,0,0.128337196891504,0,0.0223436236433473,0.946061121192305,0.133564246884187,543.06866439363,302.041560211523,-271.534332196815,4.53982611170618,2.2498465047192,298.11050358082,179.562479805117,0.941438399103734,0.426263853924209,-149.05525179041,0.941438399103734,-24.7213804479115,-0.0688617839774694
"16",16,"Exp1","Exp1",0.00942650147395688,0,0,0.128652597634624,0,0.0178720437039428,0.887671371864268,0.10318795300853,467.946389176057,303.500826221132,-233.973194588028,4.97714866156598,2.48013991787678,221.318438957991,180.186851112099,0.993354993622885,0.45436500981473,-110.659219478996,0.993354993622885,14.1068900366883,0.0391858056574674
