"","curDur","Exp","NSub","m_repDur_1","sd_repDur_1","bias_repDur_1","RP_CV_1","m_repDur_3","sd_repDur_3","bias_repDur_3","RP_CV_3","m_repDur_5","sd_repDur_5","bias_repDur_5","RP_CV_5"
"1",0.5,"Exp. 1",1,0.723200395434783,0.166440491835918,0.223200395434783,0.230144359553144,0.825336792125,0.203700569849906,0.325336792125,0.246809026077023,0.779297479458333,0.20687239273002,0.279297479458333,0.265460107575108
"2",0.5,"Exp. 1",2,0.737294880208333,0.194611519451414,0.237294880208333,0.263953439357158,0.747951325458333,0.19012479232568,0.247951325458333,0.254194070996765,0.734621276583333,0.202500396224767,0.234621276583333,0.275652778757757
"3",0.5,"Exp. 1",3,0.701312033125,0.156039344432166,0.201312033125,0.222496316991547,0.741988892791667,0.173740772128261,0.241988892791667,0.234155489140244,0.773974616291667,0.136434594010724,0.273974616291667,0.176277866403967
"4",0.5,"Exp. 1",4,0.771986258291667,0.281483541838699,0.271986258291667,0.364622477168953,0.717311480875,0.298763828015128,0.217311480875,0.416505013485475,0.777308677041667,0.262938990935379,0.277308677041667,0.338268436595987
"5",0.5,"Exp. 1",5,0.567293995208333,0.0575443278625571,0.0672939952083333,0.101436518539958,0.557264691166667,0.0527663383249798,0.0572646911666667,0.0946881063189386,0.584018625125,0.070679848625269,0.084018625125,0.12102327834175
"6",0.5,"Exp. 1",6,0.671315318958333,0.126942113916037,0.171315318958333,0.189094618178847,0.751960635541667,0.167795542235372,0.251960635541667,0.223144050771357,0.701974729541667,0.108109101987901,0.201974729541667,0.154007113701213
"7",0.5,"Exp. 1",7,0.59476270675,0.295271828910606,0.09476270675,0.496453166211578,0.662487149666667,0.183002067992045,0.162487149666667,0.276234894645312,0.615809467416667,0.231965141433732,0.115809467416667,0.376683298499502
"8",0.5,"Exp. 1",8,0.664611336958333,0.136964670391579,0.164611336958333,0.206082356371488,0.658662090208333,0.190849050868304,0.158662090208333,0.289752596521745,0.722598453333333,0.242405735492489,0.222598453333333,0.335463955637154
"9",0.5,"Exp. 1",9,0.659317979083333,0.185838260583874,0.159317979083333,0.281864390900199,0.627318238041667,0.0899652170607799,0.127318238041667,0.143412404749508,0.61393825425,0.117031457636088,0.11393825425,0.190624149620806
"10",0.5,"Exp. 1",10,0.733981889916667,0.132614693335273,0.233981889916667,0.180678427025399,0.688649924625,0.146373098400243,0.188649924625,0.212550808714528,0.723953386458333,0.172153157364373,0.223953386458333,0.237795914190783
"11",0.5,"Exp. 1",11,0.664623002416667,0.196360769012198,0.164623002416667,0.295446844749883,0.697291858916667,0.148737050390859,0.197291858916667,0.213306735893835,0.684604004083333,0.0971197838150011,0.184604004083333,0.141862716600733
