"","NSub","Exp","model","sig_s2","ks","ls","kr","mu_pr","sig_pr2","sig_mn2","ls_1","ls_3","ls_5","ks_1","ks_3","ks_5","kr_1","kr_3","kr_5"
"1",1,"Exp. 1","Exp1",0.018431786848389,0,0,0,0.895818134738513,0.0334947648419515,0.0128354068684946,1,1,1,1,1,1,1,1,1
"2",1,"Exp. 2","Exp2",0.0069286393013028,0.0184376725918749,0.394564665373126,0,1.01588866296682,0.0999859208305699,0.0293743173058966,0.210870669253748,0.210870669253748,-0.183693996119378,1.01843767259187,1.03687534518375,1.05531301777562,1,1,1
"3",1,"Exp. 3","Exp3",0.0136939364689222,0,0,0.00612394143191274,0.918479755530811,0.0577829793609444,0.0191311612812858,1,1,1,1,1,1,1.00612394143191,1.01224788286383,1.01837182429574
"4",1,"Exp. 4a","Exp4",0.00386013509582494,0.0399407474376609,0.395261802077634,0.0299629180412261,0.787369132866433,0.0829266457641915,0.0190887673410439,0.209476395844732,0.209476395844732,-0.185785406232902,1.03994074743766,1.07988149487532,1.11982224231298,1.02996291804123,1.05992583608245,1.08988875412368
"5",1,"Exp. 4b","Exp5",0.015727792194076,0.0232786165366183,0.225768455312243,0.0361225611763677,0.685055452040309,0.069795515655252,0.00521812158693112,0.548463089375514,0.548463089375514,0.322694634063271,1.02327861653662,1.04655723307324,1.06983584960985,1.03612256117637,1.07224512235274,1.1083676835291
"6",2,"Exp. 1","Exp1",0.0107388822231321,0,0,0,1.09336850792015,0.0668627437767623,0.0167515077041243,1,1,1,1,1,1,1,1,1
"7",2,"Exp. 2","Exp2",0.00302015051642632,0.0102017013363309,0.407019668495271,0,0.790947107937847,0.0641636028529129,0.0159798767294194,0.185960663009458,0.185960663009458,-0.221059005485813,1.01020170133633,1.02040340267266,1.03060510400899,1,1,1
"8",2,"Exp. 3","Exp3",0.0128512981774793,0,0,0.0170589128283848,0.864467178187687,0.0476352717569175,0.0156094818554121,1,1,1,1,1,1,1.01705891282838,1.03411782565677,1.05117673848515
"9",2,"Exp. 4a","Exp4",0.00137142054976635,0.0317680018777656,0.367193303271173,0.0165074520889934,0.967436842086342,0.030372319473043,0.00787127677876559,0.265613393457654,0.265613393457654,-0.101579909813519,1.03176800187777,1.06353600375553,1.0953040056333,1.01650745208899,1.03301490417799,1.04952235626698
"10",2,"Exp. 4b","Exp5",0.00895883355141067,0.0272198244526579,0.270917341787106,0.0237434978433435,1.61448885027441,0.154105920060505,0.0244110410310485,0.458165316425788,0.458165316425788,0.187247974638682,1.02721982445266,1.05443964890532,1.08165947335797,1.02374349784334,1.04748699568669,1.07123049353003
"11",3,"Exp. 1","Exp1",0.00737923550847445,0,0,0,0.974950004370104,0.0381059036524471,0.0101052735537453,1,1,1,1,1,1,1,1,1
