"","NSub","Exp","model","sig_s2","ks","ls","kr","mu_pr","sig_pr2","sig_mn2","ls_1","ls_3","ls_5","ks_1","ks_3","ks_5","kr_1","kr_3","kr_5"
"12",3,"Exp. 2","Exp2",0.00785339867274047,0.0421853186461469,0.418317938857303,0,0.971127019698769,0.0381254108945125,0.014362546779293,0.163364122285394,0.163364122285394,-0.254953816571909,1.04218531864615,1.08437063729229,1.12655595593844,1,1,1
"13",3,"Exp. 3","Exp3",0.00930649295292512,0,0,0.00910010878395012,0.832400584210147,0.0633923665281595,0.017043942347932,1,1,1,1,1,1,1.00910010878395,1.0182002175679,1.02730032635185
"14",3,"Exp. 4a","Exp4",0.0105607662924334,0.0463851359465565,0.435682134536827,0.0354901640609405,0.797510292073406,0.045919101566152,0.012573521415732,0.128635730926346,0.128635730926346,-0.307046403610481,1.04638513594656,1.09277027189311,1.13915540783967,1.03549016406094,1.07098032812188,1.10647049218282
"15",3,"Exp. 4b","Exp5",0.00816153110217186,0.0470763060824463,0.281474354780723,0.0279612074854297,1.55228876374958,0.167827699118711,0.00804596294424409,0.437051290438554,0.437051290438554,0.155576935657831,1.04707630608245,1.09415261216489,1.14122891824734,1.02796120748543,1.05592241497086,1.08388362245629
"16",4,"Exp. 1","Exp1",0.0172026780131182,0,0,0,0.944243376587375,0.058636009548382,0.0188723703587214,1,1,1,1,1,1,1,1,1
"17",4,"Exp. 2","Exp2",0.0138823490673094,0.0241618984863864,0.464002516927028,0,1.13257711756941,0.0615032973930593,0.019690163124195,0.071994966145944,0.071994966145944,-0.392007550781084,1.02416189848639,1.04832379697277,1.07248569545916,1,1,1
"18",4,"Exp. 3","Exp3",0.0105918229233891,0,0,0.00611528389934728,0.989769355041987,0.0467351365856258,0.0149425162756286,1,1,1,1,1,1,1.00611528389935,1.01223056779869,1.01834585169804
"19",4,"Exp. 4a","Exp4",0.0111953081108182,0.0454466778533889,0.399828642763274,0.0194002967780952,0.89049274329028,0.0460392540007867,0.0170872635344803,0.200342714473452,0.200342714473452,-0.199485928289822,1.04544667785339,1.09089335570678,1.13634003356017,1.0194002967781,1.03880059355619,1.05820089033429
"20",4,"Exp. 4b","Exp5",0.0242876587836975,0.0765655886130644,0.172198142541432,0.0115008224353289,1.20102138836537,0.126813622811144,0.0295761874924764,0.655603714917136,0.655603714917136,0.483405572375704,1.07656558861306,1.15313117722613,1.22969676583919,1.01150082243533,1.02300164487066,1.03450246730599
"21",5,"Exp. 1","Exp1",0.00259993650920267,0,0,0,0.895415721293379,0.0657044909212127,0.00607639702103399,1,1,1,1,1,1,1,1,1
"22",5,"Exp. 2","Exp2",0.0679581642915005,0.021341427870441,0.492846105598753,0,1.20386111775296,0.194334873865868,0.061829826375028,0.0143077888024939,0.0143077888024939,-0.478538316796259,1.02134142787044,1.04268285574088,1.06402428361132,1,1,1
"23",5,"Exp. 3","Exp3",0.0035609191621701,0,0,0.00612108789782974,1.05773393297255,0.484296127968847,0.0126091788730122,1,1,1,1,1,1,1.00612108789783,1.01224217579566,1.01836326369349
"24",5,"Exp. 4a","Exp4",0.00487629943634816,0.0698788961432122,0.399473132362698,0.0466175939957441,1.15925469457157,0.0821394088234197,0.0191253615768637,0.201053735274604,0.201053735274604,-0.198419397088094,1.06987889614321,1.13975779228642,1.20963668842964,1.04661759399574,1.09323518799149,1.13985278198723
"25",5,"Exp. 4b","Exp5",0.0352898309829685,0.0350071364556803,0.145270664811813,0.0207267843408713,0.645175306980633,0.0820564080511264,0.00902619183131852,0.709458670376374,0.709458670376374,0.564188005564561,1.03500713645568,1.07001427291136,1.10502140936704,1.02072678434087,1.04145356868174,1.06218035302261
"26",6,"Exp. 1","Exp1",0.00962525334494222,0,0,0,0.837509465980318,0.0303864263763094,0.00982224400735979,1,1,1,1,1,1,1,1,1
"27",6,"Exp. 2","Exp2",0.00688604181944139,0.0685259574601352,0.428784687761913,0,1.18825338295189,0.0727783294497877,0.0212885528058725,0.142430624476174,0.142430624476174,-0.286354063285739,1.06852595746014,1.13705191492027,1.20557787238041,1,1,1
"28",6,"Exp. 3","Exp3",0.0169037604291898,0,0,0.014682313916744,1.00213210015862,0.0742641827355187,0.0224321543601726,1,1,1,1,1,1,1.01468231391674,1.02936462783349,1.04404694175023
"29",6,"Exp. 4a","Exp4",0.00397527327041546,0.0341390886334825,0.464191740252622,0.0406158755943527,0.820896329977184,0.0808990298666538,0.00766154347536364,0.071616519494756,0.071616519494756,-0.392575220757866,1.03413908863348,1.06827817726696,1.10241726590045,1.04061587559435,1.08123175118871,1.12184762678306
"30",6,"Exp. 4b","Exp5",0.0217585375233143,0.0334784819276255,0.387718937800405,0.014732976333579,0.780969805623792,0.0872282611402612,0.0112203647563097,0.22456212439919,0.22456212439919,-0.163156813401215,1.03347848192763,1.06695696385525,1.10043544578288,1.01473297633358,1.02946595266716,1.04419892900074
"31",7,"Exp. 1","Exp1",0.0169958965072196,0,0,0,0.694771650792107,0.0590192623141959,0.0183597774141257,1,1,1,1,1,1,1,1,1
"32",7,"Exp. 2","Exp2",0.0152782839230667,0.0131933982020522,0.430613122403731,0,1.18056552034985,0.121418294442063,0.0339329616100902,0.138773755192538,0.138773755192538,-0.291839367211193,1.01319339820205,1.0263867964041,1.03958019460616,1,1,1
"33",7,"Exp. 3","Exp3",0.0051501262983164,0,0,0.016115917869799,0.775701352371242,0.0954242188771925,0.0132391357639119,1,1,1,1,1,1,1.0161159178698,1.0322318357396,1.0483477536094
"34",7,"Exp. 4a","Exp4",0.00229029221581352,0.0384682768252724,0.366657374749961,0.0258088400279096,1.27795171487257,0.680512201776015,0.0252979925237444,0.266685250500078,0.266685250500078,-0.099972124249883,1.03846827682527,1.07693655365054,1.11540483047582,1.02580884002791,1.05161768005582,1.07742652008373
"35",7,"Exp. 4b","Exp5",0.0208802134756868,0.0438466932625866,0.0256520885549238,0.0125143045995726,0.988003408718041,0.0670700301205162,0.0116287678125612,0.948695822890152,0.948695822890152,0.923043734335229,1.04384669326259,1.08769338652517,1.13154007978776,1.01251430459957,1.02502860919915,1.03754291379872
"36",8,"Exp. 1","Exp1",0.0178003943436671,0,0,0,1.01177471790648,0.148239421361793,0.0318496084734729,1,1,1,1,1,1,1,1,1
"37",8,"Exp. 2","Exp2",0.0154703207777762,0.03174733258771,0.469055290561437,0,1.02958245406347,0.133369880954803,0.0274120802817391,0.061889418877126,0.061889418877126,-0.407165871684311,1.03174733258771,1.06349466517542,1.09524199776313,1,1,1
"38",8,"Exp. 3","Exp3",0.0209493345824768,0,0,0.00487351069450219,1.10418280269163,0.0676176022794839,0.0232252798733213,1,1,1,1,1,1,1.0048735106945,1.009747021389,1.01462053208351
"39",8,"Exp. 4a","Exp4",0.00372010920471574,0.0472400877537396,0.393156138373764,0.0360498048179123,1.09382422534576,0.0985453779276356,0.0171972090164151,0.213687723252472,0.213687723252472,-0.179468415121292,1.04724008775374,1.09448017550748,1.14172026326122,1.03604980481791,1.07209960963582,1.10814941445374
"40",8,"Exp. 4b","Exp5",0.00526082983623969,0.0484891677995371,0.537425855165932,0.0306941063020156,1.2598174334879,1.00450234328466,0.00437053473376797,-0.074851710331864,-0.074851710331864,-0.612277565497796,1.04848916779954,1.09697833559907,1.14546750339861,1.03069410630202,1.06138821260403,1.09208231890605
"41",9,"Exp. 1","Exp1",0.00598966966741346,0,0,0,1.289883724053,0.108277191932478,0.0132938094175845,1,1,1,1,1,1,1,1,1
"42",9,"Exp. 2","Exp2",0.809006033904785,0.356662333109205,0.445941556970051,0,1.06236513795424,0.0460248869044989,0.0375359819426691,0.108116886059898,0.108116886059898,-0.337824670910153,1.3566623331092,1.71332466621841,2.06998699932761,1,1,1
"43",9,"Exp. 3","Exp3",0.0124802625705415,0,0,0.00855708331832183,0.942901615495289,0.0674515549883304,0.0197609641725375,1,1,1,1,1,1,1.00855708331832,1.01711416663664,1.02567124995497
"44",9,"Exp. 4a","Exp4",0.00693484871101344,0.0302999752218444,0.388246848555763,0.0343559271163932,1.17231208009096,0.206378103865388,0.0344006718858052,0.223506302888474,0.223506302888474,-0.164740545667289,1.03029997522184,1.06059995044369,1.09089992566553,1.03435592711639,1.06871185423279,1.10306778134918
"45",9,"Exp. 4b","Exp5",0.0269604310081541,0.0764983204121342,0.149865512658614,0.0151412148578594,1.31691338693514,0.170008204391387,0.0263187197055041,0.700268974682772,0.700268974682772,0.550403462024158,1.07649832041213,1.15299664082427,1.2294949612364,1.01514121485786,1.03028242971572,1.04542364457358
"46",10,"Exp. 1","Exp1",0.012715415864574,0,0,0,0.949825127062024,0.0718937093874394,0.0186345513003817,1,1,1,1,1,1,1,1,1
"47",10,"Exp. 2","Exp2",0.0167293904913493,0.0220376099668811,0.443435565770393,0,0.951099824510893,0.0580723390457542,0.0225110362274775,0.113128868459214,0.113128868459214,-0.330306697311179,1.02203760996688,1.04407521993376,1.06611282990064,1,1,1
"48",10,"Exp. 3","Exp3",0.0133347377294146,0,0,0.0284075097516117,0.848210948060981,0.0610611044209565,0.0186284895506778,1,1,1,1,1,1,1.02840750975161,1.05681501950322,1.08522252925484
"49",10,"Exp. 4a","Exp4",0.00197906611472885,0.0277632681285967,0.391327053125416,0.0207912494597845,0.902048869012995,1.46150870915671,0.0230056952004283,0.217345893749168,0.217345893749168,-0.173981159376248,1.0277632681286,1.05552653625719,1.08328980438579,1.02079124945978,1.04158249891957,1.06237374837935
"50",10,"Exp. 4b","Exp5",0.0452425133228025,0.0234672037556566,0.0567400914046438,0.0177574953518612,0.706849602774986,0.0628133431835279,0.0117951140058308,0.886519817190712,0.886519817190712,0.829779725786069,1.02346720375566,1.04693440751131,1.07040161126697,1.01775749535186,1.03551499070372,1.05327248605558
"51",11,"Exp. 1","Exp1",0.011336037230519,0,0,0,0.986931986527835,0.0927455169396871,0.0190060270206812,1,1,1,1,1,1,1,1,1
"52",11,"Exp. 2","Exp2",0.00224866872197358,0.00964386015457579,0.447136492343766,0,1.96055754408374,0.789242922154261,0.0110648889883945,0.105727015312468,0.105727015312468,-0.341409477031298,1.00964386015458,1.01928772030915,1.02893158046373,1,1,1
"53",11,"Exp. 3","Exp3",0.0087060246987301,0,0,0.00473621610154522,1.04052144869366,0.0518091243802807,0.0141516106157839,1,1,1,1,1,1,1.00473621610155,1.00947243220309,1.01420864830464
"54",11,"Exp. 4a","Exp4",0.00947395768207768,0.0619432056542129,0.427845120944625,0.0381943379143377,0.971101849615414,0.0628308246552227,0.0167452542457506,0.14430975811075,0.14430975811075,-0.283535362833875,1.06194320565421,1.12388641130843,1.18582961696264,1.03819433791434,1.07638867582868,1.11458301374301
"55",11,"Exp. 4b","Exp5",0.0166157712391153,0.0525982237643021,0.0962981528080342,0.0168763579752739,1.04429327077076,0.0626199973736537,0.0163226817826076,0.807403694383932,0.807403694383932,0.711105541575897,1.0525982237643,1.1051964475286,1.15779467129291,1.01687635797527,1.03375271595055,1.05062907392582
"56",12,"Exp. 1","Exp1",0.00351371522827092,0,0,0,0.56508464806873,0.142352945783926,0.00943936475346413,1,1,1,1,1,1,1,1,1
"57",12,"Exp. 2","Exp2",0.141029892151925,0.0616652505617327,0.540129556243378,0,1.16620750582662,0.113685294841973,0.0409221596319748,-0.080259112486756,-0.080259112486756,-0.620388668730134,1.06166525056173,1.12333050112347,1.1849957516852,1,1,1
"58",12,"Exp. 3","Exp3",0.0160674235803829,0,0,0.0143023875684939,1.0288081307017,0.0621610169814734,0.0206018143284692,1,1,1,1,1,1,1.01430238756849,1.02860477513699,1.04290716270548
"59",12,"Exp. 4a","Exp4",0.00618667660452228,0.0488739391448021,0.403672108047325,0.0292131898068316,1.09101023830391,0.111472620993483,0.0264461475936439,0.19265578390535,0.19265578390535,-0.211016324141975,1.0488739391448,1.0977478782896,1.14662181743441,1.02921318980683,1.05842637961366,1.08763956942049
"60",12,"Exp. 4b","Exp5",0.0611944999609419,0.0373187940632887,0.531407106537121,0.018349976879851,0.942647338675473,0.0750622896623436,0.00966679679447659,-0.062814213074242,-0.062814213074242,-0.594221319611363,1.03731879406329,1.07463758812658,1.11195638218987,1.01834997687985,1.0366999537597,1.05504993063955
"61",13,"Exp. 1","Exp1",0.00536247247259413,0,0,0,1.1562733151274,0.0957812340193904,0.0117207809404311,1,1,1,1,1,1,1,1,1
"62",13,"Exp. 2","Exp2",0.0221093233870442,0.031485976164219,0.539221149451242,0,0.94811471780571,0.0841329241336562,0.0362653969703123,-0.078442298902484,-0.078442298902484,-0.617663448353726,1.03148597616422,1.06297195232844,1.09445792849266,1,1,1
"63",13,"Exp. 3","Exp3",0.011467774895188,0,0,0.019749096591591,0.624346304242174,0.0609180918793,0.0176214144626951,1,1,1,1,1,1,1.01974909659159,1.03949819318318,1.05924728977477
"64",13,"Exp. 4a","Exp4",0.0019853879130691,0.0499498962078496,0.37229351419592,0.0118323875253462,0.766415162583966,0.0401212857854735,0.0103078794570742,0.25541297160816,0.25541297160816,-0.11688054258776,1.04994989620785,1.0998997924157,1.14984968862355,1.01183238752535,1.02366477505069,1.03549716257604
"65",13,"Exp. 4b","Exp5",0.0398996121365097,0.0253864749994783,0.149045763323994,0.0225611687602547,1.08129083631321,0.105340505058201,0.0161554114670065,0.701908473352012,0.701908473352012,0.552862710028018,1.02538647499948,1.05077294999896,1.07615942499843,1.02256116876025,1.04512233752051,1.06768350628076
"66",14,"Exp. 1","Exp1",0.00479324675424029,0,0,0,1.32025779327543,1.65013998079114,0.0192080460279601,1,1,1,1,1,1,1,1,1
"67",14,"Exp. 2","Exp2",0.00375707469920988,0.0412395268758692,0.414576479836029,0,1.71924407054161,1.08582354439956,0.0322471648427163,0.170847040327942,0.170847040327942,-0.243729439508087,1.04123952687587,1.08247905375174,1.12371858062761,1,1,1
"68",14,"Exp. 3","Exp3",0.00853141892725417,0,0,0.00759787866494596,1.13274667335206,0.115562995935028,0.0201387672329165,1,1,1,1,1,1,1.00759787866495,1.01519575732989,1.02279363599484
"69",14,"Exp. 4a","Exp4",0.00310630174072333,0.0337718422042962,0.372312831592497,0.0316414884071694,0.878095866234836,0.0950641563415074,0.0198401399685454,0.255374336815006,0.255374336815006,-0.116938494777491,1.0337718422043,1.06754368440859,1.10131552661289,1.03164148840717,1.06328297681434,1.09492446522151
"70",14,"Exp. 4b","Exp5",0.0534678275688103,0.0662021864312083,0.17799081365401,0.0112028115141941,0.756793003544287,0.0485915187607626,0.0275039527499194,0.64401837269198,0.64401837269198,0.46602755903797,1.06620218643121,1.13240437286242,1.19860655929363,1.01120281151419,1.02240562302839,1.03360843454258
"71",15,"Exp. 1","Exp1",0.0115613826936948,0,0,0,0.946061121192305,0.133564246884187,0.0223436236433473,1,1,1,1,1,1,1,1,1
"72",15,"Exp. 2","Exp2",0.00820587331178529,0.0223853615339879,0.637703867300146,0,0.839595269251855,0.0696082927633765,0.0216819823127486,-0.275407734600292,-0.275407734600292,-0.913111601900438,1.02238536153399,1.04477072306798,1.06715608460196,1,1,1
"73",15,"Exp. 3","Exp3",0.00619654650289718,0,0,0.0123726070232655,0.709678486493302,0.0432897754027996,0.0110763813382319,1,1,1,1,1,1,1.01237260702327,1.02474521404653,1.0371178210698
"74",15,"Exp. 4a","Exp4",0.00511022126404914,0.0290521409636815,0.418791367129667,0.0285015890960326,1.20994008799663,0.550806548181209,0.0221504589397563,0.162417265740666,0.162417265740666,-0.256374101389001,1.02905214096368,1.05810428192736,1.08715642289104,1.02850158909603,1.05700317819207,1.0855047672881
"75",15,"Exp. 4b","Exp5",0.0139199132795301,0.010804715203773,0.404333163379503,0.0232673965450179,0.828085124573755,0.0387324927237146,0.00606183725041493,0.191333673240994,0.191333673240994,-0.212999490138509,1.01080471520377,1.02160943040755,1.03241414561132,1.02326739654502,1.04653479309004,1.06980218963505
"76",16,"Exp. 1","Exp1",0.00942650147395688,0,0,0,0.887671371864268,0.10318795300853,0.0178720437039428,1,1,1,1,1,1,1,1,1
"77",16,"Exp. 2","Exp2",0.013682169589992,0.0132922452891662,0.537591062124525,0,1.11380130541643,0.0663453773484429,0.025317937894916,-0.07518212424905,-0.07518212424905,-0.612773186373575,1.01329224528917,1.02658449057833,1.0398767358675,1,1,1
"78",16,"Exp. 3","Exp3",0.00856980668746157,0,0,0.0215258577343348,0.663564531091397,0.0510548280087088,0.0137142909916513,1,1,1,1,1,1,1.02152585773433,1.04305171546867,1.064577573203
"79",16,"Exp. 4a","Exp4",0.00180540784370439,0.0487044743947146,0.37543431644402,0.0253903100934835,0.639257038716458,0.120038202272582,0.0158917267802484,0.24913136711196,0.24913136711196,-0.12630294933206,1.04870447439471,1.09740894878943,1.14611342318414,1.02539031009348,1.05078062018697,1.07617093028045
"80",16,"Exp. 4b","Exp5",0.00144221007644289,0.0253514775917483,0.386236673626022,0.0159624538167721,1.19348762894981,0.121973506829413,0.0331671111430684,0.227526652747956,0.227526652747956,-0.158710020878066,1.02535147759175,1.0507029551835,1.07605443277524,1.01596245381677,1.03192490763354,1.04788736145032
