,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
l_s[13],0.63,0.171,0.334,0.96,0.002,0.001,6933.0,5627.0,1.0
l_s[14],0.051,0.046,0.0,0.133,0.001,0.001,4015.0,3464.0,1.0
l_s[15],0.084,0.046,0.0,0.163,0.001,0.001,3688.0,3160.0,1.0
l_s0,0.137,0.038,0.072,0.207,0.001,0.001,2694.0,4001.0,1.0
mu_p[0],-0.193,0.032,-0.256,-0.136,0.0,0.0,11055.0,6010.0,1.0
mu_p[1],0.351,0.065,0.231,0.473,0.001,0.001,7949.0,6639.0,1.0
mu_p[2],0.239,0.052,0.142,0.335,0.001,0.0,8268.0,6284.0,1.0
mu_p[3],0.024,0.052,-0.075,0.121,0.001,0.001,10027.0,6512.0,1.0
mu_p[4],-0.418,0.041,-0.496,-0.343,0.0,0.0,9981.0,5647.0,1.0
mu_p[5],-0.169,0.038,-0.239,-0.099,0.0,0.0,9714.0,6306.0,1.0
mu_p[6],-0.042,0.033,-0.104,0.021,0.0,0.0,8341.0,6382.0,1.0
mu_p[7],0.067,0.038,-0.0,0.142,0.0,0.0,5981.0,6731.0,1.0
mu_p[8],0.114,0.051,0.017,0.207,0.001,0.0,9286.0,6228.0,1.0
mu_p[9],-0.31,0.032,-0.369,-0.249,0.0,0.0,9468.0,5480.0,1.0
mu_p[10],0.015,0.036,-0.052,0.086,0.0,0.0,9575.0,6257.0,1.0
mu_p[11],-0.03,0.02,-0.068,0.009,0.0,0.0,6720.0,5824.0,1.0
mu_p[12],0.13,0.023,0.086,0.172,0.0,0.0,6705.0,6011.0,1.0
mu_p[13],-0.323,0.031,-0.382,-0.267,0.0,0.0,4351.0,4307.0,1.0
mu_p[14],-0.071,0.014,-0.096,-0.045,0.0,0.0,7968.0,6266.0,1.0
mu_p[15],0.137,0.068,0.013,0.267,0.001,0.001,5042.0,5141.0,1.0
sig_n,0.002,0.001,0.002,0.003,0.0,0.0,879.0,1430.0,1.01
var_p,0.04,0.008,0.027,0.054,0.0,0.0,773.0,1129.0,1.01
var_s[0],0.027,0.002,0.024,0.03,0.0,0.0,10955.0,6057.0,1.0
var_s[1],0.022,0.002,0.019,0.026,0.0,0.0,9900.0,6780.0,1.0
var_s[2],0.015,0.001,0.013,0.018,0.0,0.0,6482.0,6107.0,1.0
var_s[3],0.036,0.004,0.029,0.042,0.0,0.0,5318.0,5871.0,1.0
var_s[4],0.073,0.006,0.061,0.085,0.0,0.0,7455.0,5899.0,1.0
var_s[5],0.045,0.004,0.037,0.052,0.0,0.0,6749.0,6068.0,1.0
var_s[6],0.037,0.003,0.031,0.042,0.0,0.0,7550.0,6393.0,1.0
var_s[7],0.082,0.009,0.066,0.098,0.0,0.0,5804.0,6017.0,1.0
var_s[8],0.045,0.005,0.036,0.054,0.0,0.0,5097.0,5905.0,1.0
var_s[9],0.066,0.005,0.056,0.076,0.0,0.0,8085.0,6380.0,1.0
var_s[10],0.029,0.003,0.024,0.034,0.0,0.0,5712.0,5972.0,1.0
var_s[11],0.115,0.02,0.083,0.155,0.0,0.0,2882.0,2448.0,1.0
var_s[12],0.099,0.012,0.077,0.123,0.0,0.0,5043.0,5584.0,1.0
var_s[13],0.11,0.014,0.086,0.137,0.0,0.0,6544.0,5123.0,1.0
var_s[14],0.054,0.004,0.047,0.063,0.0,0.0,6679.0,5196.0,1.0
var_s[15],0.036,0.003,0.03,0.042,0.0,0.0,5914.0,6138.0,1.0
