,ks,ls,kr,ts,var_s,mu_log,sigma_log,var_n,mu_p,var_p,Exp,NSub,WMSize,Gap,var_wm,w_p
0,0.05318901071812687,0.05662823607574276,0.039301684944182506,0.0,0.06022152039323582,-0.1323704426722338,0.12327665702694315,0.004732215086909994,0.882698244635913,0.10923082385272455,Baseline,16,5,0.5,0.07727271276157739,0.41432304268514214
1,0.06383377946566164,0.03416910385355582,0.025292581544647114,0.0,0.029025704894082127,0.3083012410268182,0.07041819879218036,0.00914600160435957,1.3644898225341873,0.09620415333160517,Baseline,9,3,0.5,0.03200105186892779,0.24960805467198582
2,0.06383377946566164,0.03416910385355582,0.025292581544647114,0.0,0.029025704894082127,0.3083012410268182,0.07041819879218036,0.00914600160435957,1.3644898225341873,0.09620415333160517,Baseline,9,5,0.5,0.03398461651882491,0.26104107564630036
3,0.050655985129544556,0.05201283342864833,0.055943193943044596,0.0,0.09316412015159435,-0.10738879912378878,0.09104858580364762,0.0035553839171820366,0.9019069926157373,0.08228783552635356,Baseline,10,1,0.5,0.0980098500145658,0.5436001561557596
4,0.050655985129544556,0.05201283342864833,0.055943193943044596,0.0,0.09316412015159435,-0.10738879912378878,0.09104858580364762,0.0035553839171820366,0.9019069926157373,0.08228783552635356,Baseline,10,3,0.5,0.10770130974050872,0.5668813846666316
5,0.050655985129544556,0.05201283342864833,0.055943193943044596,0.0,0.09316412015159435,-0.10738879912378878,0.09104858580364762,0.0035553839171820366,0.9019069926157373,0.08228783552635356,Baseline,10,5,0.5,0.11739276946645165,0.587902713288962
6,0.05637220997041079,0.034010789139627635,0.028639577225510297,0.0,0.07486002343493871,-0.008333758681945426,0.106397106210254,0.0025835771880704734,0.9973299842725709,0.10641404270765115,Baseline,11,1,0.5,0.077406071906972,0.42109685367813515
7,0.05637220997041079,0.034010789139627635,0.028639577225510297,0.0,0.07486002343493871,-0.008333758681945426,0.106397106210254,0.0025835771880704734,0.9973299842725709,0.10641404270765115,Baseline,11,3,0.5,0.08249816885103857,0.43670109078898117
8,0.05637220997041079,0.034010789139627635,0.028639577225510297,0.0,0.07486002343493871,-0.008333758681945426,0.106397106210254,0.0025835771880704734,0.9973299842725709,0.10641404270765115,Baseline,11,5,0.5,0.08759026579510513,0.4514861884825651
9,0.06241817258731043,0.04506694579172515,0.033677016284210756,0.0,0.017855880663809442,-0.2795495446493548,0.15459052152232236,0.00702429522806389,0.7652134763917583,0.11900504061621626,Baseline,12,1,0.5,0.01866059066974886,0.1355501042303453
