,NSub,curDur,WMSize,repDur_mean,repDur_std,mPred,sdPred,repErr,predErr,repCV,predCV
0,1,0.5,1,0.5966436036666667,0.18610576922089933,0.6156915682715514,0.1763960848958445,0.09664360366666669,0.11569156827155136,0.31192116713761514,0.28650073183728386
1,1,0.5,3,0.5259800613333333,0.23080032954463295,0.6049723805757372,0.17550993631587483,0.025980061333333304,0.10497238057573721,0.438800529737887,0.29011231248085473
2,1,0.5,5,0.599990463125,0.2021334077033178,0.6012882902858994,0.17637070872817778,0.09999046312500004,0.10128829028589936,0.3368943677046513,0.29332137608120956
3,1,0.8,1,0.8653156309166667,0.2464017030925822,0.8229776678786923,0.20011665092897135,0.0653156309166667,0.022977667878692265,0.2847535561463949,0.2431617026070612
4,1,0.8,3,0.8093097997916666,0.1856156919658501,0.8070249132025492,0.19854922929001007,0.009309799791666573,0.007024913202549166,0.22935060469258062,0.24602614620916624
5,1,0.8,5,0.8586425558333333,0.1881650278891324,0.798961840216487,0.19815593498326387,0.05864255583333322,-0.0010381597835130707,0.21914244362896002,0.24801677002442502
6,1,1.1,1,1.0546560575833335,0.16166186825812284,1.0017994263390584,0.23058508501888494,-0.045343942416666616,-0.0982005736609417,0.1532839707274418,0.230170909421986
7,1,1.1,3,1.0253215465416667,0.20697166411900814,0.9784494603326058,0.2280729746372271,-0.07467845345833335,-0.12155053966739426,0.20186025039375027,0.2330963262626747
8,1,1.1,5,0.9639723566666666,0.14483075605955364,0.968037458768523,0.2277619120379699,-0.1360276433333335,-0.1319625412314771,0.1502436818420457,0.23528212671409887
9,1,1.4,1,1.1879713183333334,0.24181090465714503,1.1633526986494465,0.2612613513638464,-0.21202868166666655,-0.23664730135055345,0.20354944679674095,0.22457621980603867
10,1,1.4,3,1.1183206476521739,0.18420310781641624,1.132760373691493,0.25854276640852464,-0.28167935234782604,-0.26723962630850684,0.1647140363572256,0.22824135837835963
11,1,1.4,5,1.15996980225,0.1857127597078936,1.119553449052704,0.25626877596032827,-0.2400301977499999,-0.280446550947296,0.16010137449066822,0.22890267202264158
12,1,1.7,1,1.2346338593333333,0.2748190719602331,1.3116700053016355,0.2924208040480579,-0.4653661406666667,-0.3883299946983645,0.22259155609795722,0.22293778379174872
13,1,1.7,3,1.2272413876250001,0.3276626546429198,1.2747115847573296,0.28702954069186926,-0.47275861237499983,-0.42528841524267036,0.2669912031544372,0.22517214413369582
14,1,1.7,5,1.237974952,0.3300205799638494,1.259906201332164,0.2856946446520452,-0.4620250479999999,-0.44009379866783593,0.26658098326681606,0.22675866215275825
15,2,0.5,1,0.7119763982083334,0.16757091391967283,0.730743692925922,0.12330269442355263,0.21197639820833336,0.230743692925922,0.23536020904816488,0.16873589962828764
16,2,0.5,3,0.727971551625,0.1708956334430888,0.7297627760045526,0.12357786818283267,0.22797155162500005,0.22976277600455264,0.234755922895078,0.16933978033165908
17,2,0.5,5,0.6926369615833333,0.16013117561491336,0.7293299208884427,0.1244704189676217,0.19263696158333332,0.22932992088844273,0.2311906301518497,0.17066407863261177
18,2,0.8,1,0.9319699362916666,0.14359388531611966,0.9101048928461479,0.1394554226094581,0.13196993629166653,0.11010489284614788,0.1540756624483871,0.15323005480537819
19,2,0.8,3,0.94731767,0.12443658992619007,0.902790470696311,0.14009746111025867,0.14731766999999996,0.10279047069631098,0.13135677066615897,0.15518269815387312
20,2,0.8,5,0.9366426100833333,0.11428248369896825,0.9011895228398653,0.14006857963842115,0.13664261008333323,0.10118952283986526,0.12201290275359192,0.15542632941074516
21,2,1.1,1,1.051303163,0.1708550966355997,1.0556287124109356,0.1573670239877503,-0.04869683700000005,-0.0443712875890645,0.1625174380223944,0.14907421722959957
22,2,1.1,3,1.0186442612916666,0.11119309322606602,1.0440985768266893,0.15728051097195786,-0.08135573870833346,-0.055901423173310816,0.10915792436220116,0.15063760689146594
23,2,1.1,5,0.9873128689166667,0.11602242083082902,1.0392516175738915,0.15711584887535637,-0.11268713108333339,-0.06074838242610858,0.1175133278249833,0.1511817217490983
24,2,1.4,1,1.1886254960416667,0.1952734942702791,1.1799544595647211,0.17318563258466818,-0.21137450395833324,-0.2200455404352788,0.16428513011085022,0.14677314974389388
25,2,1.4,3,1.1852960897916667,0.13613782775417238,1.1650046175882482,0.1729614746077927,-0.21470391020833324,-0.23499538241175166,0.1148555444725213,0.14846419661910998
26,2,1.4,5,1.17330484675,0.14048787299637805,1.1585752134645322,0.17238884383447958,-0.2266951532499999,-0.24142478653546773,0.11973688968005454,0.14879383041432293
27,2,1.7,1,1.2959652765833334,0.1482790840899491,1.2931429748859913,0.188717122137246,-0.4040347234166666,-0.4068570251140087,0.1144159390449644,0.14593678023413
28,2,1.7,3,1.2559624059166667,0.15209886500734837,1.2728836095295546,0.1870707268028706,-0.4440375940833332,-0.42711639047044536,0.12110144721755323,0.14696608975270734
29,2,1.7,5,1.2899755385416667,0.15917125883622674,1.2652048698846652,0.18754605306692831,-0.41002446145833327,-0.43479513011533477,0.12339091252549782,0.1482337426380795
30,3,0.5,1,0.6792963935833334,0.1675285123512456,0.7091528884022885,0.16578033938972747,0.17929639358333338,0.20915288840228852,0.2466206414957124,0.23377235304396524
31,3,0.5,3,0.74264781825,0.1534253511987976,0.7177017043846153,0.16874852803357482,0.24264781825000004,0.21770170438461534,0.20659234084917155,0.2351234879374659
32,3,0.5,5,0.7673146970833332,0.1779325588380903,0.723109754114376,0.17115183880820223,0.2673146970833332,0.22310975411437595,0.2318899397006678,0.236688604785617
