"","NSub","slope_6a_low","slope_6a_medium","slope_6a_high","slope_6b_low","slope_6b_medium","slope_6b_high","slope_6c_low","slope_6c_medium","slope_6c_high","ind_pnt_6a_low","ind_pnt_6a_medium","ind_pnt_6a_high","ind_pnt_6b_low","ind_pnt_6b_medium","ind_pnt_6b_high","ind_pnt_6c_low","ind_pnt_6c_medium","ind_pnt_6c_high"
"1",1,-0.329204084722222,-0.427133294444445,-0.306723118055555,-0.265875454166667,-0.364256094444444,-0.436862308333333,-0.39299038414055,-0.444918384722222,-0.445396411111111,1.10426861096773,1.06938898777019,1.09868109061174,1.22065772211735,1.16223066777942,1.15513496748794,0.955801310000421,0.986940996609812,1.05679013790886
"2",2,-0.489104954166666,-0.470678454166667,-0.446390372222222,-0.333718121961064,-0.422593566666667,-0.425614983333333,-0.337036659722222,-0.313568555555555,-0.249532963888889,0.819776153361222,0.718710661008676,0.7432694100444,0.858103884358216,0.921725525952557,0.844195405244779,0.975179673724497,0.815446991566969,0.820547312013453
"3",3,-0.743528280555555,-0.789463827777778,-0.736995881944445,-0.562681098611111,-0.577232574999999,-0.607013336111111,-0.462445652777778,-0.430307925,-0.445226719444444,0.868426816657624,0.835791374904244,0.804417655281072,0.877277590611562,0.800791095050956,0.810301772566309,0.860566288164732,0.906833313996405,0.905065394304508
"4",4,-0.188769191666666,-0.242814034722222,-0.2455953625,-0.191537525862069,-0.181018104166667,-0.224036327777778,-0.289739694444445,-0.412765970833333,-0.423853226388889,1.00015160047965,1.15004209297004,1.12337898040183,0.94089804892989,1.19506966211598,0.970911485857985,1.03161680853571,1.05109485214448,1.0334941557321
"5",5,-0.541516305555555,-0.587894213888888,-0.636988416666666,-0.580717020833333,-0.507220211111111,-0.418602530555556,-0.190546579166666,-0.243741220109212,-0.289449806944444,0.714138190257634,0.777956704578517,0.789701198124874,1.1059944701265,1.20708755876995,1.30213837428957,1.28969719980322,1.37308713657982,1.2193337324974
"6",6,-0.201796265277777,-0.2287915375,-0.209467530555555,-0.368000826388889,-0.335009911111112,-0.306226781944444,-0.166333893055555,-0.211914259722222,-0.217445098611111,1.09652128101066,0.997732628477718,1.00492660152539,0.869241910858481,0.741439682779536,0.703605289204624,0.90933153840506,0.93484734165974,0.99375914818243
"7",7,-0.303634284722223,-0.339101638888889,-0.413877091666667,-0.0985396874999998,-0.145107751388889,-0.225673858333333,-0.293369061111111,-0.324110463888889,-0.323996320833333,1.27425528614159,0.81048551159563,0.818381747431418,1.70765302474363,1.16758110144223,1.04742654988506,0.926701062224789,1.02643233509371,0.937856970520898
"8",8,-0.223326175,-0.314010813888888,-0.307422015277778,-0.4586683625,-0.519889208333333,-0.461358708333333,-0.0910741444444445,-0.170090665277778,-0.120603183333333,0.682805982475334,0.885811298979238,1.0401700217098,0.762590891401773,0.704470202425341,0.679226370225843,0.961734806914953,0.97375685805607,1.02570069667868
"9",9,-0.324469065277778,-0.273644322222222,-0.500791997222222,-0.371571833333333,-0.360368426388889,-0.320367991666666,-0.317678169444444,-0.328037578551336,-0.295592229166667,0.792414106057971,0.855951565919573,0.89193766791146,0.99992920390898,0.902445444846381,0.922959711513003,0.887527722522744,0.86759577909984,0.890130113789217
"10",10,-0.228834793055556,-0.382771983333333,-0.346114701388889,-0.426332898611111,-0.335137415693858,-0.239813830555555,-0.315578470880817,-0.34324792319503,-0.353493067402659,1.32584542386781,0.930547063288636,1.04395226518216,1.18219787114912,1.04641214645291,1.02071192979452,1.1993932847559,1.1598089360384,1.01536386760295
"11",11,-0.315354931944444,-0.362747354166667,-0.407304666666667,-0.168343861111111,-0.251323894444444,-0.382121854166667,-0.283329506944444,-0.3173381875,-0.240246395833333,1.02240540201547,0.883419302449541,0.955733402678094,0.801845092526392,0.901443899274644,0.800066537457592,0.904481018358851,0.935083384031744,0.950121313821305
"12",12,-0.214610134722222,-0.231321434722222,-0.231241116666667,-0.160367523611111,-0.241363752777778,-0.119019594444444,-0.162906795833333,-0.158472201388889,-0.133624122222222,0.833799718231957,0.873330805265423,0.974974991832119,0.683925794340963,0.676869543066688,0.327768254498897,1.10345750360169,1.09884030659601,1.01042090828411
"13",13,-0.404474233333333,-0.489241716666666,-0.5283130125,-0.409192784722222,-0.352443719444444,-0.324117422222223,-0.144723506944444,-0.266954120833334,-0.1365042875,1.1212803131176,0.92913035863697,0.913629224524669,0.96021578018416,0.916058527673989,1.03947598826324,1.63820887482525,1.1773185667094,1.47261791746529
"14",14,-0.0931135472222221,-0.160206202777778,-0.217712255555555,-0.128228327777778,-0.159320802777778,-0.122697322222222,-0.1103558625,-0.0872525180555555,-0.106810936111111,1.21110145775721,1.1208251195989,1.14414266501508,1.37517590908475,1.41889496400249,1.23911510474873,1.72485275759591,1.85670607914484,1.78245778619683
"15",15,-0.422706701388889,-0.431123775,-0.427005036111111,-0.360908393055555,-0.383020872222222,-0.371137686111111,-0.328248070833333,-0.352463491666667,-0.378887988888889,0.717266074873133,0.806540789823062,0.850860098820198,0.684257973619445,0.708239846140094,0.706450996132635,0.856155444274825,0.835985100489959,0.867451335441589
"16",16,-0.276371686111111,-0.390336204166666,-0.321084615277778,-0.389894534722223,-0.425406559722222,-0.358765411111111,-0.323751043055555,-0.414555290277778,-0.304629127777778,1.28864831657311,1.19714918514316,1.22959658613354,0.972558192686473,0.968619848340308,0.939313337124318,0.929271754684308,0.858334085505931,0.853738289745146
"17",17,-0.3512451375,-0.302592272222222,-0.379896731944444,-0.402224309722223,-0.4147503625,-0.402422605555555,-0.548689830555555,-0.594972136111112,-0.480977244444444,0.973793730928636,0.665170857249439,0.756621567921929,0.997125673411992,0.960370576127787,0.952691235909006,0.746717986121475,0.720082653823999,0.729947465521122
"18",18,-0.418212190277777,-0.529679798611111,-0.511911699999999,-0.345557044444444,-0.392848575,-0.420035600000001,-0.3366904875,-0.234994266666667,-0.242201483333333,1.03304813365658,0.862509291154427,0.687342115511978,0.949001855586861,0.910780663601321,0.951323193399163,0.760684515676039,0.578120827912398,0.629650128071745
