"","NSub","Exp. 6a_low","Exp. 6a_medium","Exp. 6a_high","Exp. 6b_low","Exp. 6b_medium","Exp. 6b_high","Exp. 6c_low","Exp. 6c_medium","Exp. 6c_high"
"1",1,0.551556556302521,0.599792438333333,0.588475096666667,0.648293772268908,0.621568608474576,0.634315285833333,0.76814004,0.736834265254237,0.693720404201681
"2",2,0.455862905932203,0.512241475833333,0.490352552173913,0.423512010169492,0.476526603448276,0.477992280701754,0.432344044827586,0.44737794137931,0.450710501769912
"3",3,0.705769796666667,0.717301945,0.717983994166667,0.673854899166667,0.679028968333333,0.693064075,0.594696413333333,0.573098424166667,0.580901249166667
"4",4,0.617657365833333,0.598495354621849,0.61104669,0.800960450434783,0.773550659663865,0.81038262605042,0.931283704237288,0.956309077966102,0.874915043362832
"5",5,0.833229430252101,0.957178256896552,0.868094817391304,1.08584457881356,1.01471140932203,1.0509283605042,1.00490238333333,0.986517455172414,0.996005430172414
"6",6,0.4980767975,0.530235126666667,0.545002650833333,0.489068414166667,0.447358875833333,0.503590915833333,0.585639584166667,0.598214576666667,0.573087031092437
"7",7,0.566033557009346,0.635859243220339,0.661504852212389,0.724032251666667,0.816295391596639,0.8099777425,0.938757209821429,0.926325731858407,0.932248095535714
"8",8,0.49824153559322,0.499443901709402,0.480840255172414,0.525637520168067,0.486911213445378,0.536446946610169,0.381978974774775,0.417762177884615,0.391334908737864
"9",9,0.606768206722689,0.641752709322034,0.7065587425,0.652999696666667,0.7109607075,0.660366120168067,0.6135529,0.604657704237288,0.600626415
"10",10,0.890952766666667,0.964622421551724,1.10842200608696,0.667324146788991,0.649886870689655,0.649970435897436,0.789182025490196,0.827567765957447,0.698367172727273
"11",11,0.504582857142857,0.541974596610169,0.518975987394958,0.502293184615385,0.676292539130435,0.76177358034188,0.663155726495727,0.710796237815126,0.681166522033898
"12",12,0.505366834166667,0.517979199166667,0.478927603333333,0.500798499159664,0.454732430833333,0.44796074,0.487397265833333,0.481656244537815,0.500655934745763
"13",13,0.603450316949153,0.713072024166667,0.625279315254237,1.07173342016807,1.05481357916667,1.18048718034188,0.90249438487395,0.896422357758621,0.888567169827586
"14",14,0.872109975833333,0.946870667226891,0.968349652941176,0.666918651666667,0.679688050833333,0.701160559166667,0.7716080025,0.761200904166667,0.7657396975
"15",15,0.674443681666667,0.7376905475,0.791787499159664,0.686639243333333,0.66339942,0.7204464325,0.802433340833333,0.822148958333333,0.794054848739496
"16",16,0.491914448305085,0.55513107394958,0.563277776470588,0.576337905932203,0.566488983050847,0.593599475630252,0.706471888983051,0.693270500847458,0.658093808403361
"17",17,0.752878016666667,0.753034606666667,0.778966675423729,0.732650629411765,0.747797390756303,0.783749206666667,0.853463222689076,0.872186783193277,0.867050380833333
"18",18,0.661526384033613,0.793483560169492,0.8571137225,0.748454278333333,0.886745705,1.00440979083333,0.855955613445378,0.846831612605042,0.833262436134454
