"","NSub","Exp. 6a_low","Exp. 6a_medium","Exp. 6a_high","Exp. 6b_low","Exp. 6b_medium","Exp. 6b_high","Exp. 6c_low","Exp. 6c_medium","Exp. 6c_high"
"1",1,0.891666666666667,0.825,0.625,0.925,0.816666666666667,0.625,0.882352941176471,0.883333333333333,0.7
"2",2,0.891666666666667,0.691666666666667,0.591666666666667,0.890756302521008,0.641666666666667,0.533333333333333,0.9,0.783333333333333,0.725
"3",3,0.941666666666667,0.766666666666667,0.716666666666667,0.866666666666667,0.8,0.716666666666667,0.925,0.758333333333333,0.808333333333333
"4",4,0.933333333333333,0.733333333333333,0.65,0.889830508474576,0.75,0.616666666666667,0.866666666666667,0.775,0.708333333333333
"5",5,0.925,0.775,0.7,0.8,0.683333333333333,0.516666666666667,0.916666666666667,0.747899159663866,0.666666666666667
"6",6,0.891666666666667,0.85,0.666666666666667,0.9,0.783333333333333,0.591666666666667,0.891666666666667,0.891666666666667,0.791666666666667
"7",7,0.933333333333333,0.791666666666667,0.758333333333333,0.875,0.808333333333333,0.641666666666667,0.925,0.816666666666667,0.75
"8",8,0.866666666666667,0.583333333333333,0.566666666666667,0.908333333333333,0.616666666666667,0.633333333333333,0.925,0.766666666666667,0.616666666666667
"9",9,0.9,0.758333333333333,0.708333333333333,0.916666666666667,0.875,0.733333333333333,0.925,0.907563025210084,0.858333333333333
"10",10,0.816666666666667,0.766666666666667,0.75,0.766666666666667,0.722689075630252,0.691666666666667,0.848739495798319,0.789915966386555,0.873949579831933
"11",11,0.933333333333333,0.7,0.683333333333333,0.9,0.708333333333333,0.633333333333333,0.9,0.758333333333333,0.733333333333333
"12",12,0.925,0.808333333333333,0.716666666666667,0.908333333333333,0.675,0.616666666666667,0.975,0.858333333333333,0.725
"13",13,0.875,0.816666666666667,0.658333333333333,0.85,0.883333333333333,0.658333333333333,0.9,0.866666666666667,0.708333333333333
"14",14,0.916666666666667,0.866666666666667,0.775,0.933333333333333,0.825,0.7,0.966666666666667,0.891666666666667,0.733333333333333
"15",15,0.891666666666667,0.866666666666667,0.733333333333333,0.925,0.808333333333333,0.816666666666667,0.925,0.883333333333333,0.791666666666667
"16",16,0.916666666666667,0.816666666666667,0.666666666666667,0.958333333333333,0.758333333333333,0.658333333333333,0.933333333333333,0.85,0.783333333333333
"17",17,0.883333333333333,0.85,0.683333333333333,0.925,0.791666666666667,0.725,0.966666666666667,0.808333333333333,0.75
"18",18,0.941666666666667,0.85,0.708333333333333,0.9,0.85,0.783333333333333,0.95,0.883333333333333,0.775
