"","NSub","mbias_0.5_low","mbias_0.5_medium","mbias_0.5_high","mbias_0.8_low","mbias_0.8_medium","mbias_0.8_high","mbias_1.1_low","mbias_1.1_medium","mbias_1.1_high","mbias_1.4_low","mbias_1.4_medium","mbias_1.4_high","mbias_1.7_low","mbias_1.7_medium","mbias_1.7_high","cv_0.5_low","cv_0.5_medium","cv_0.5_high","cv_0.8_low","cv_0.8_medium","cv_0.8_high","cv_1.1_low","cv_1.1_medium","cv_1.1_high","cv_1.4_low","cv_1.4_medium","cv_1.4_high","cv_1.7_low","cv_1.7_medium","cv_1.7_high"
"1",1,0.271986258291667,0.217311480875,0.277308677041667,0.133315590291667,0.114643653333333,0.142643705583333,-0.0820343412083335,-0.0786960253750002,-0.0920287097500001,-0.253373136416666,-0.373362915375,-0.343361006125,-0.493363266333333,-0.512030330666667,-0.413344170791667,0.364622477168953,0.416505013485475,0.338268436595987,0.234331161567553,0.247062729730058,0.189677430951622,0.217659730346376,0.189085460711154,0.185447203464477,0.158920268342228,0.17090579385488,0.231739507235599,0.176331484610743,0.224768402669058,0.240137472582236
"2",2,0.235968615625,0.253985445916667,0.257300537833333,0.0853109260833333,0.1386293405,0.139307650375,-0.173362592625,-0.0773715993750002,-0.0680430011666668,-0.302036525291667,-0.299364456125,-0.264027079416667,-0.5857257525,-0.488456787458333,-0.495873591833333,0.222631172171913,0.298809572886987,0.30486047784023,0.195617983095128,0.184654781703582,0.210892472116086,0.171922379461233,0.187401877380836,0.178795079710465,0.184000494095774,0.178652887107777,0.201370351549636,0.256414158871758,0.200147088635077,0.269691798658151
"3",3,0.167104913208333,0.181302821041667,0.16396568725,0.0453074488749999,0.0379580439166666,0.070653037173913,-0.1025371525,-0.102913130166667,-0.0300325704583335,-0.228044049333333,-0.318295954541667,-0.302951515043478,-0.484775735208333,-0.441056631166667,-0.387365569347826,0.301571136551642,0.353891159542055,0.270780288485232,0.232166181105262,0.215189448526551,0.182964387948159,0.178300356030956,0.217520220242491,0.137395249695169,0.235445518634726,0.225814574989693,0.142062831340363,0.289955583105348,0.195103134379058,0.205628991854715
"4",4,0.271328959791667,0.229452095391304,0.270638369458333,0.194399562375,0.157982315875,0.238661288708333,0.00730375937499983,-0.039345642125,-0.0506993425833335,-0.204025481875,-0.148672153125,-0.244689658583333,-0.570021950583333,-0.401342593333333,-0.48401487,0.293047140160793,0.210484057280961,0.28236719764012,0.18504154497459,0.144350692671331,0.209647264962855,0.191299304091692,0.168153343271223,0.185014619748843,0.188904123336071,0.131890315727031,0.208254216675527,0.167400260246351,0.150586410222979,0.200528641611592
"5",5,0.00338173817391307,0.0242279306521739,0.0373052587916667,0.0299700064583333,0.098852001625,0.0179736850416666,0.00195819316666657,0.12464003725,0.112643378875,-0.0349496540416665,-0.0446830508333333,0.0436934704166667,-0.0333494119583333,-0.124704846041667,-0.0586841601666666,0.124153843907864,0.301829824310438,0.226620230502516,0.170539327712654,0.14927655587061,0.190952237042651,0.156266921799552,0.167002070752796,0.142410769364657,0.169154293307415,0.167920803908737,0.107031112648881,0.141857717358722,0.178371733994417,0.113684917618091
"6",6,0.2373048945,0.392139750875,0.294961649666667,0.185299206916667,0.238327078333333,0.257305145375,-0.0456869812173915,-0.00202687183333339,-0.0273666460416668,-0.224038561666667,-0.220698889375,-0.206060435708333,-0.424702103083333,-0.36936657375,-0.308700237416667,0.344172661869817,0.210946470798053,0.422182742016641,0.294142798622814,0.275646357124968,0.167237173046598,0.252587306726309,0.170324360137333,0.264914891583051,0.166944992604419,0.214020499860307,0.215655424330032,0.225056226282537,0.186111041005942,0.217475578607311
"7",7,0.0892908970833334,0.0793317297083334,0.0719715428333333,0.0139703937916666,0.107964038291667,0.0912744108333333,-0.154703063416667,-0.0526806936666668,0.0359223547916665,-0.138045193208333,-0.0653419247916667,-0.0833258912499999,-0.24803738525,-0.1887348165,-0.206672065916667,0.22183548323131,0.237289684991671,0.198429330444607,0.229455067738345,0.2006878154724,0.204848090965119,0.17255968480331,0.172250648122356,0.249574066404087,0.203562970565434,0.136930488248266,0.171512449523372,0.144739153534254,0.142008566557085,0.147055217744855
"8",8,0.453307604875,0.38732671625,0.344658184416667,0.313310410375,0.279345487782609,0.211311516166667,-0.0509956489166667,0.0539627970416665,0.0906487384999999,-0.234698152333333,-0.176045808333333,-0.19803867325,-0.367369744125,-0.372036328666667,-0.448010261791667,0.392649018436294,0.184584967312156,0.394523313006719,0.297314745285472,0.194514010122468,0.203978165611265,0.247142771937395,0.272999843882433,0.201434217017434,0.0968186034099806,0.167158937684167,0.226725038132479,0.179057847170933,0.1945062229185,0.206180343527048
"9",9,0.145960699791667,0.210661296583333,0.300639573541667,0.098614170125,0.122138026521739,0.173614129695652,0.0039356816249998,0.041950306625,-0.0173958293750001,-0.263369320666667,-0.288016629458333,-0.180736362166667,-0.372715313958333,-0.454067405333333,-0.484622738833333,0.309159727202687,0.349512616977548,0.299843068560154,0.23237060804127,0.309135873194407,0.208150106874813,0.202649169508444,0.141495289969013,0.201017991575374,0.153188080146084,0.185282608878414,0.136792200735267,0.174770138164968,0.18524836364301,0.337264417841221
"10",10,0.133293755041667,0.313270294625,0.236597398791667,0.0386203192916666,0.1785963805,0.199302514916667,-0.138057324666667,0.00461956987500001,-0.00206008587500017,-0.230059875208333,-0.22474674425,-0.27803492275,-0.584720708041667,-0.379436182708333,-0.385092610041667,0.211214823238942,0.312989826088371,0.262475191282192,0.229239857276723,0.210773645825097,0.237290784504481,0.157422052821843,0.132380979163289,0.135591363511913,0.199380010721962,0.225636781223699,0.191286440273316,0.177219038197726,0.239975731004498,0.297765200384062
