"","ExpName","NSub","Low","Medium","High"
"1","Both",1,0.467121267083333,0.429488833185386,0.474234591944444
"2","Both",2,0.525122227833333,0.568679957208333,0.522886869805556
"3","Both",3,0.633337718638889,0.679203526079545,0.671340051486111
"4","Both",4,0.735492853870773,0.840515609013889,0.715214037881643
"5","Both",5,0.372403198138889,0.614125898902778,0.514523986722222
"6","Both",6,0.247329473347222,0.260658054666667,0.275810604236111
"7","Both",7,0.149788591708937,0.232849867833333,0.131274082958333
"8","Both",8,0.387779403097222,0.439779466763889,0.402021581902778
"9","Both",9,0.414550781972222,0.440955346469807,0.242081243347222
"10","Both",10,0.0971177292638888,0.161786432472222,0.0413609762222222
"11","Both",11,0.573749444888889,0.65643464125,0.650019955083333
"12","Both",12,0.461800935625,0.519144077709541,0.515371025028986
"13","Both",13,0.551322148986111,0.613318213263889,0.535341530638889
"14","Both",14,0.414818480444444,0.411489234726449,0.3836756765
"15","Both",15,0.198583288513889,0.165309628097222,0.0917883527361111
"16","Both",16,0.250171639666667,0.346380956805556,0.330183595722222
"17","Encoding",1,0.642439931458333,0.530463586875,0.634892797597222
"18","Encoding",2,0.453418801852657,0.528158125083333,0.518655969194444
"19","Encoding",3,0.708016350388889,0.73964173949215,0.806431583888889
"20","Encoding",4,0.544996682208333,0.758236624472222,0.662901966291667
"21","Encoding",5,0.619070941966356,0.769192329184351,0.697919436116491
"22","Encoding",6,0.554460652930555,0.658662155680556,0.742891189361111
"23","Encoding",7,0.592759773865942,0.659582478972222,0.562522727986111
"24","Encoding",8,0.456673585791667,0.477127564333333,0.602497574765096
"25","Encoding",9,0.785741598667929,0.934013013319444,0.935862387333333
"26","Encoding",10,0.668198776902778,0.841116800638889,0.778011454208333
"27","Encoding",11,0.0469056107499999,0.103785863569444,0.108625104748188
"28","Encoding",12,0.664289290819444,0.839402000527778,0.857242615531401
"29","Encoding",13,0.443130281819444,0.601112896125,0.805112127694445
"30","Encoding",14,0.124765016995773,0.239800619861111,0.300033076541667
"31","Encoding",15,0.170643442916667,0.398579163240338,0.507985828986111
"32","Encoding",16,0.399308180777778,0.586239182666667,0.627543290347222
