"","NSub","slope_low_short","slope_medium_short","slope_high_short","slope_low_long","slope_medium_long","slope_high_long","ind_pnt_low_short","ind_pnt_medium_short","ind_pnt_high_short","ind_pnt_low_long","ind_pnt_medium_long","ind_pnt_high_long"
"1",501,-0.23689241527759,-0.304785669444236,-0.306593502777602,-0.293468556944456,-0.384035254166365,-0.330032386111355,0.714324186391393,0.841387138345022,0.889979545935521,0.731657424251518,0.784106416837269,0.824119011756433
"2",502,-0.110261913888785,-0.120576466666282,-0.108405983333089,-0.0870049763891276,-0.131782781943962,-0.147234484721543,1.1593434738216,1.13727389867144,1.51664586011251,1.83665207815643,1.37850460527124,1.19660093123564
"3",503,-0.139309279166765,-0.142555784722166,-0.222993397222382,-0.120734468055944,-0.174353281944526,-0.243673920832996,1.18097432012306,0.896709529846644,0.762605196970778,1.32268335022269,1.04325321426489,0.950476199061424
"4",504,-0.270440190277763,-0.370049299902422,-0.464239056944437,-0.218062544444396,-0.462032501388936,-0.508896845833255,1.10457879737441,0.610730277419772,0.632530347054634,1.02683925824657,0.632540876054757,0.631459192331117
"5",505,-0.374375436111083,-0.517039705555545,-0.494128629166672,-0.529257325000004,-0.62123473194438,-0.606043302825186,0.568459606394023,0.664316967833519,0.667522380368878,0.689806362150584,0.655008257557804,0.637845598358561
"6",506,-0.327096693055548,-0.47081006944346,-0.420272740277887,-0.305543774930016,-0.580218873610357,-0.435033279166154,0.843452132200925,0.720314342372752,0.727585747695486,0.780888401404512,0.759030592018832,0.671136325036433
"7",507,-0.380042079166671,-0.332093698611132,-0.346454138888963,-0.451349788888897,-0.435317472222195,-0.440631422222212,0.956342624953982,0.773437116431137,0.627878507889393,0.973798144508565,0.952892844679005,0.750190558609169
"8",508,-0.365105606944635,-0.400768038888986,-0.441005869290454,-0.442029798277313,-0.301681540277873,-0.388494823587597,1.07779076835553,0.963416470324479,0.998642340199112,1.1194911374032,1.03094102878581,1.01488793930103
"9",509,-0.249580354166609,-0.41817360965775,-0.444866317803827,-0.294777100000059,-0.317925570833343,-0.540114359722174,0.971147650593515,0.748895795739874,0.660572066950732,1.25158952589276,0.713996638127454,0.770732256112499
"10",510,-0.506830188889021,-0.561868770833326,-0.433486154166614,-0.451097027777608,-0.479371355555695,-0.513535950011774,0.749723183638104,0.81394554652248,0.656740940504739,0.747126907224845,0.635024101704152,0.744588496373697
"11",511,-0.27833913472197,-0.334991911111094,-0.378257568055507,-0.294110606944511,-0.433240365277976,-0.447967727777795,1.01458434621277,0.831860687215998,0.694705033605488,0.974343036392395,0.832326292067306,0.755370866187726
"12",512,-0.625675873611153,-0.679825048373509,-0.735113363888823,-0.61941345416677,-0.713017997222257,-0.728352918055663,0.926678461526201,0.963456395654859,1.03110699543583,1.02448560862608,0.901189800885216,0.966531081209566
"13",513,-0.425816629166522,-0.450996963888681,-0.383008605555511,-0.561437256944549,-0.591654165277785,-0.58093091510009,1.13902164616236,1.06891676783713,1.15508456953879,1.09751223611196,1.14006066616425,1.16580094891916
"14",514,-0.635479997222293,-0.699998231089882,-0.745682209722361,-0.67224168994632,-0.762152056944377,-0.757843854582795,0.785229761952291,0.696224166190871,0.728046590915069,0.811563133969412,0.673244716016156,0.67163744951662
"15",515,-0.476219090277798,-0.522369211301144,-0.525080102777881,-0.675338247222205,-0.654078619444445,-0.676991195833361,0.886100586376148,0.979452275170521,0.971727496167313,0.847740422619001,0.90238379048371,0.905682469270044
"16",516,-0.172930723611166,-0.113759260434435,-0.0715724874999762,-0.261675084722273,-0.266988691666657,-0.225166415277758,0.958630412863224,0.855079889642317,0.43237822936485,1.25166074513868,1.05642882565245,1.0565477420125
