"","ExpName","NSub","Low","Medium","High"
"1","Baseline",1,0.915966386554622,0.758333333333333,0.73109243697479
"2","Baseline",2,0.925,0.783333333333333,0.666666666666667
"3","Baseline",3,0.883333333333333,0.716666666666667,0.65
"4","Baseline",4,0.866666666666667,0.725,0.616666666666667
"5","Baseline",5,0.958333333333333,0.833333333333333,0.766666666666667
"6","Baseline",6,0.875,0.796610169491525,0.798319327731092
"7","Baseline",7,0.958333333333333,0.9,0.808333333333333
"8","Baseline",8,0.829059829059829,0.743589743589744,0.615384615384615
"9","Baseline",9,0.925,0.808333333333333,0.683333333333333
"10","Baseline",10,0.95,0.825,0.766666666666667
"11","Baseline",11,0.891666666666667,0.808333333333333,0.675
"12","Baseline",12,0.941666666666667,0.891666666666667,0.875
"13","Baseline",13,0.92436974789916,0.766666666666667,0.658333333333333
"14","Baseline",14,0.908333333333333,0.8,0.675
"15","Baseline",15,0.958333333333333,0.80672268907563,0.708333333333333
"16","Baseline",16,0.933333333333333,0.825,0.75
"17","Both",1,0.85,0.756302521008403,0.608333333333333
"18","Both",2,0.725,0.591666666666667,0.508333333333333
"19","Both",3,0.739495798319328,0.669491525423729,0.53781512605042
"20","Both",4,0.848739495798319,0.627118644067797,0.588235294117647
"21","Both",5,0.858333333333333,0.6,0.575
"22","Both",6,0.791666666666667,0.791666666666667,0.705882352941177
"23","Both",7,0.848739495798319,0.7,0.55
"24","Both",8,0.933333333333333,0.641666666666667,0.583333333333333
"25","Both",9,0.825,0.623931623931624,0.541666666666667
"26","Both",10,0.783333333333333,0.675,0.6
"27","Both",11,0.833333333333333,0.666666666666667,0.558333333333333
"28","Both",12,0.733333333333333,0.563025210084034,0.647058823529412
"29","Both",13,0.833333333333333,0.758333333333333,0.658333333333333
"30","Both",14,0.658333333333333,0.53781512605042,0.541666666666667
"31","Both",15,0.908333333333333,0.825,0.691666666666667
"32","Both",16,0.891666666666667,0.816666666666667,0.725
"33","Encoding",1,0.908333333333333,0.808333333333333,0.75
"34","Encoding",2,0.932773109243697,0.666666666666667,0.533333333333333
"35","Encoding",3,0.883333333333333,0.663865546218487,0.633333333333333
"36","Encoding",4,0.816666666666667,0.725,0.608333333333333
"37","Encoding",5,0.903508771929825,0.663793103448276,0.728070175438597
"38","Encoding",6,0.883333333333333,0.683333333333333,0.666666666666667
"39","Encoding",7,0.915966386554622,0.658333333333333,0.512605042016807
"40","Encoding",8,0.933333333333333,0.775,0.722689075630252
"41","Encoding",9,0.88135593220339,0.815126050420168,0.65
"42","Encoding",10,0.925,0.783333333333333,0.708333333333333
"43","Encoding",11,0.916666666666667,0.691666666666667,0.697478991596639
"44","Encoding",12,0.808333333333333,0.508333333333333,0.546218487394958
"45","Encoding",13,0.9,0.716666666666667,0.7
"46","Encoding",14,0.882352941176471,0.708333333333333,0.625
"47","Encoding",15,0.95,0.848739495798319,0.775
"48","Encoding",16,0.941666666666667,0.875,0.766666666666667
"49","Reproduction",1,0.866666666666667,0.725,0.616666666666667
"50","Reproduction",2,0.891666666666667,0.683333333333333,0.566666666666667
"51","Reproduction",3,0.85,0.7,0.598290598290598
"52","Reproduction",4,0.825,0.638655462184874,0.608333333333333
"53","Reproduction",5,0.882352941176471,0.756302521008403,0.716666666666667
"54","Reproduction",6,0.840336134453782,0.575,0.5
"55","Reproduction",7,0.875,0.808333333333333,0.708333333333333
"56","Reproduction",8,0.933333333333333,0.689075630252101,0.583333333333333
"57","Reproduction",9,0.858333333333333,0.747899159663866,0.630252100840336
"58","Reproduction",10,0.883333333333333,0.725,0.708333333333333
"59","Reproduction",11,0.883333333333333,0.722689075630252,0.583333333333333
"60","Reproduction",12,0.866666666666667,0.73109243697479,0.563025210084034
"61","Reproduction",13,0.875,0.641666666666667,0.591666666666667
"62","Reproduction",14,0.76271186440678,0.546218487394958,0.508333333333333
"63","Reproduction",15,0.841666666666667,0.741666666666667,0.658333333333333
"64","Reproduction",16,0.941666666666667,0.766666666666667,0.675
