"","NSub","mbias_0.5_low","mbias_0.5_medium","mbias_0.5_high","mbias_0.8_low","mbias_0.8_medium","mbias_0.8_high","mbias_1.1_low","mbias_1.1_medium","mbias_1.1_high","mbias_1.4_low","mbias_1.4_medium","mbias_1.4_high","mbias_1.7_low","mbias_1.7_medium","mbias_1.7_high","cv_0.5_low","cv_0.5_medium","cv_0.5_high","cv_0.8_low","cv_0.8_medium","cv_0.8_high","cv_1.1_low","cv_1.1_medium","cv_1.1_high","cv_1.4_low","cv_1.4_medium","cv_1.4_high","cv_1.7_low","cv_1.7_medium","cv_1.7_high"
"1",1,0.223200395434783,0.325336792125,0.279297479458333,0.1086305615,0.0999393347916666,0.117310863916667,-0.160716183333333,-0.13337936525,-0.159793229478261,-0.411844633375,-0.394037539958333,-0.428842412416667,-0.551381081791667,-0.584614729375,-0.661362411625,0.230144359553144,0.246809026077023,0.265460107575108,0.145655052073414,0.270198771153067,0.181527091190798,0.18534012114094,0.208758888891612,0.146115884003086,0.20322584450883,0.295421910007579,0.192699196463713,0.19155078866204,0.150659314506209,0.107355818949998
"2",2,0.237294880208333,0.247951325458333,0.234621276583333,0.222613497291667,0.23429930725,0.134642728708333,-0.00404035212500009,0.0959402122083333,-0.0120573274583333,-0.144103154625,-0.239392452375,-0.140715450333333,-0.280042096208333,-0.30632763,-0.327217619708333,0.263953439357158,0.254194070996765,0.275652778757757,0.1837044080115,0.178578857251934,0.128325855282458,0.139691258738541,0.12746239112867,0.214042049809371,0.189014769963998,0.260842540431088,0.144755923067404,0.17652446343964,0.228008881911454,0.176153947973509
"3",3,0.201312033125,0.241988892791667,0.273974616291667,0.10197590375,0.0946296509583333,0.105962721708333,-0.0647142264166667,-0.0686984785,-0.00802953758333347,-0.189372272625,-0.288708057458333,-0.231373268125,-0.327382256541667,-0.406694663833333,-0.426041076958333,0.222496316991547,0.234155489140244,0.176277866403967,0.16738868971733,0.205877334991865,0.169566922331078,0.146023001294696,0.169391935019758,0.162542362503344,0.133674354461625,0.168104403535378,0.115302007178209,0.16598798628134,0.158636884422159,0.13517035918027
"4",4,0.271986258291667,0.217311480875,0.277308677041667,0.133315590291667,0.114643653333333,0.142643705583333,-0.0820343412083335,-0.0786960253750002,-0.0920287097500001,-0.253373136416666,-0.373362915375,-0.343361006125,-0.493363266333333,-0.512030330666667,-0.413344170791667,0.364622477168953,0.416505013485475,0.338268436595987,0.234331161567553,0.247062729730058,0.189677430951622,0.217659730346376,0.189085460711154,0.185447203464477,0.158920268342228,0.17090579385488,0.231739507235599,0.176331484610743,0.224768402669058,0.240137472582236
"5",5,0.0672939952083333,0.0572646911666667,0.084018625125,0.00529342320833326,0.0546177816666666,-0.00673367587500007,-0.0320589976250001,-0.00462792675000001,-0.0200264685416667,-0.077991873375,-0.0926962632499999,-0.123353207958333,-0.134070969958333,-0.214010622708333,-0.142005272958333,0.101436518539958,0.0946881063189386,0.12102327834175,0.13065670283348,0.165686827829761,0.179941870781908,0.0883101871913033,0.129044174499909,0.108467307353114,0.102702312449713,0.0881577839887575,0.13536257946392,0.132937814571017,0.119318685139636,0.110529092909605
"6",6,0.171315318958333,0.251960635541667,0.201974729541667,0.0846142754583333,0.105293338416667,-0.024316415,-0.169431591666667,-0.18907104625,-0.187370218708333,-0.386142409458333,-0.387345987958333,-0.408718149291667,-0.594420117583333,-0.477645461954545,-0.538891966,0.189094618178847,0.223144050771357,0.154007113701213,0.159664053382748,0.0904312338354665,0.230030516024917,0.174276852984786,0.169753854544394,0.170549244413282,0.180378670845593,0.160382568641026,0.193516300858608,0.183957748132095,0.193605869431846,0.173927685429449
"7",7,0.09476270675,0.162487149666667,0.115809467416667,-0.0583009790416668,-0.0149595246250001,-0.09853337575,-0.248455075375,-0.2900382605,-0.267361666625,-0.439253386708333,-0.446727612083333,-0.4424930185,-0.689205860833333,-0.579351883916667,-0.596398232,0.496453166211578,0.276234894645312,0.376683298499502,0.26625461170041,0.185435509653905,0.259652890995031,0.213756610849279,0.233038698895437,0.326226724218612,0.147149415511973,0.249064406275194,0.204935334699611,0.256814301475129,0.27594634189432,0.336788760233241
"8",8,0.164611336958333,0.158662090208333,0.222598453333333,0.151977318208333,0.0319603112916667,0.177267253916667,0.0530638601304347,-0.0380390220833333,0.0412073313913042,-0.206718018791667,-0.202384503478261,-0.169000370173913,-0.377638370136364,-0.301314784954545,-0.272126174695652,0.206082356371488,0.289752596521745,0.335463955637154,0.433879572118128,0.198217376357185,0.334357488552515,0.261928054109117,0.281902422938394,0.255763106061956,0.254844449558898,0.252033384657527,0.300549656637459,0.310603495677148,0.244704767972851,0.239239588836467
"9",9,0.159317979083333,0.127318238041667,0.11393825425,0.19794443825,0.125962431416667,0.0966288408333333,0.115939669125,0.147957228791667,0.124628888333333,0.0119350666666667,0.00128247779166668,-0.0287081221666665,-0.147416200541667,-0.162051693166667,-0.195398887416667,0.281864390900199,0.143412404749508,0.190624149620806,0.267791682950603,0.210988188122355,0.198823667341672,0.172133987779078,0.129811607456266,0.173507773271692,0.116492188462421,0.108691010308922,0.149567476808837,0.160062230606543,0.142213700120221,0.108377798088832
"10",10,0.233981889916667,0.188649924625,0.223953386458333,0.0637903028333333,0.0339649422499999,0.205294856583333,-0.0729171173333334,-0.106049334375,-0.0713662132500001,-0.28204250175,-0.218716607208333,-0.176047378,-0.423757940458333,-0.364042969083333,-0.386015334833333,0.180678427025399,0.212550808714528,0.237795914190783,0.198581406300731,0.181759832019638,0.364246161049773,0.287870358964068,0.16996295813043,0.269196230176537,0.235979043759521,0.204241274668859,0.154724058016116,0.19342575408607,0.22958935977345,0.161044634341419
"11",11,0.164623002416667,0.197291858916667,0.184604004083333,0.16927327375,0.0590292265833333,0.0999494299166666,-0.159369693208333,0.019933445875,0.00864508345833315,-0.158026489541667,-0.141415937791667,-0.230722260541667,-0.327406839625,-0.24604362175,-0.348046844458333,0.295446844749883,0.213306735893835,0.141862716600733,0.248900425105555,0.235795385311678,0.182742040939987,0.200597457121643,0.169387450687799,0.206915641713049,0.249952963870085,0.127216512039218,0.235185599778272,0.272068741398755,0.214509838774217,0.207172764656004
"12",12,0.0593063201666667,-0.03070374475,-0.00534726183333334,-0.0353951054583334,-0.112035042125,-0.0347032057916667,-0.0213666331666666,0.00062357704166649,0.0123416960833331,-0.091398836375,-0.110721295541667,-0.138707287833333,-0.141358041958333,-0.188062104833333,-0.196067444041667,0.277181477583619,0.179437769351279,0.172733928693522,0.218131305212956,0.212322779726638,0.19706366868887,0.153753203253867,0.131213620516913,0.134219260239988,0.130282458694845,0.151323455107062,0.125628217460965,0.108922804327251,0.152812414181116,0.12270007672374
"13",13,0.12261964225,0.114597302125,0.162614985875,0.118166602695652,0.126966948375,0.0999138585,0.00637592583333335,0.0589882157916666,0.0362171241666667,-0.07808062575,-0.03154719025,-0.0506518055833332,-0.101546617916667,-0.202105628791667,-0.176569521583333,0.214072401316322,0.216127340506536,0.173343977020503,0.144930008789867,0.150803946811391,0.156819298185216,0.150044404684624,0.220965875640917,0.127882250413076,0.188786141666457,0.148430900498843,0.155424946160076,0.111910477308595,0.166868882502754,0.15040160255888
"14",14,0.035967662875,0.0126405175833333,0.0239404113333334,0.040616639125,0.045965518375,0.0479445506249999,0.0116593106666665,0.0125976908749998,0.0679341114166665,-0.00871480308333328,0.0626101210833334,-0.0867348942083332,-0.00542657649999989,-0.10140130975,-0.0547415117499999,0.302668765772877,0.234211164207135,0.20572704821475,0.166371208540884,0.165780328197137,0.227366559944297,0.233178827762406,0.215266305078514,0.212789837229641,0.133069243042584,0.134722528980195,0.157999842366729,0.194275197736091,0.152125517677152,0.165972785378623
"15",15,0.103958044083333,0.189292725375,0.124668579541667,0.0492614028749999,0.0626422454583333,0.0298481106249999,0.00525830674999983,-0.124335318434783,0.0104447525416667,-0.102735754166666,-0.126059423958333,-0.0837996058749999,-0.274071776,-0.252406771125,-0.393148037708333,0.257738510382442,0.295633555099499,0.376856558806686,0.224957184979527,0.234131853615075,0.301201789282363,0.206693849990995,0.311577650701103,0.257559001313437,0.155102597211101,0.188662994212677,0.223474315393958,0.20270591560917,0.189297023839106,0.296487714256438
"16",16,0.093297321125,0.135564683041667,0.151302175708333,0.054597192875,0.0886364525416666,-0.00201766783333335,-0.0846935902083334,-0.042715133375,-0.140043549208333,-0.158729525791667,-0.0800734877083333,-0.18003441925,-0.321376798125,-0.293164012875,-0.346698654833333,0.259941016278854,0.219550880567617,0.281430637412283,0.202971537570963,0.253881091321405,0.227033754192611,0.225543180634079,0.17271302159584,0.175602742861733,0.179649531937261,0.20018335263151,0.272547617802417,0.218245546802455,0.147866282402806,0.266104534171592
