"","NSub","slope_low","slope_medium","slope_high","ind_pnt_low","ind_pnt_medium","ind_pnt_high"
"1",101,-0.690799754793565,-0.771293305916666,-0.809157686166668,0.871068134129516,0.921921050682407,0.888954102369478
"2",102,-0.467130201583333,-0.527416556847222,-0.466345323875,1.11358198396684,1.11231313735609,1.0525131328483
"3",103,-0.449578918569444,-0.560234940555555,-0.579122458777777,0.976248281572677,0.947391647647769,1.00140028578093
"4",104,-0.639129258652778,-0.648896730597222,-0.622436802458333,0.967485680042991,0.905166490320721,0.962224886977062
"5",105,-0.162005075638889,-0.229954890888888,-0.189555776083333,0.888235742781271,0.926529160476632,0.880434018410658
"6",106,-0.667409186,-0.653663170675683,-0.622318818495546,0.832079047443118,0.88540093766967,0.792601071695363
"7",107,-0.649629847611111,-0.638482051541666,-0.589458347194445,0.687318039607451,0.733947382346402,0.662657198225022
"8",108,-0.478418217888528,-0.384500518879836,-0.44459561547406,1.01023156590914,0.917756272270657,1.09997114462382
"9",109,-0.266492576944445,-0.234473272013889,-0.248003748777778,1.35345617987231,1.30511393969097,1.18958652793017
"10",110,-0.553770821777777,-0.452689112291667,-0.533759892388889,0.926301658419748,0.894033463083911,1.02349343367564
"11",111,-0.437119815791667,-0.362372041902777,-0.465324462513889,0.957747585455375,1.03862383666094,0.977259585279963
"12",112,-0.152444151722222,-0.104467657861111,-0.161814815486111,0.79797162542365,0.25591366890889,0.651977360876725
"13",113,-0.214294492315987,-0.263973333486111,-0.276311559666666,1.16144689447661,1.15068667078337,1.15177100911832
"14",114,-0.0440399736527778,-0.0704796839861111,-0.0973477636666666,1.43652260406682,1.1919769679247,1.09659502689963
"15",115,-0.302685599069445,-0.357366887472222,-0.383093650333334,0.955738246464615,0.961346699689407,0.937122750218628
"16",116,-0.347558319055555,-0.342055777361111,-0.391339470833333,0.860094707985765,0.987882906200666,0.835527768607292
