"","NSub","mbias_0.5_low","mbias_0.5_medium","mbias_0.5_high","mbias_0.8_low","mbias_0.8_medium","mbias_0.8_high","mbias_1.1_low","mbias_1.1_medium","mbias_1.1_high","mbias_1.4_low","mbias_1.4_medium","mbias_1.4_high","mbias_1.7_low","mbias_1.7_medium","mbias_1.7_high","cv_0.5_low","cv_0.5_medium","cv_0.5_high","cv_0.8_low","cv_0.8_medium","cv_0.8_high","cv_1.1_low","cv_1.1_medium","cv_1.1_high","cv_1.4_low","cv_1.4_medium","cv_1.4_high","cv_1.7_low","cv_1.7_medium","cv_1.7_high","biasChange_low","biasChange_medium","biasChange_high"
"1",1,0.0966436036666667,0.0259800613333333,0.099990463125,0.0653156309166666,0.00930979979166668,0.0586425558333333,-0.0453439424166668,-0.0746784534583333,-0.136027643333333,-0.212028681666667,-0.281679352347826,-0.24003019775,-0.465366140666667,-0.472758612375,-0.462025048,0.311921167137615,0.438800529737887,0.336894367704651,0.284753556146395,0.229350604692581,0.21914244362896,0.153283970727442,0.20186025039375,0.150243681842046,0.203549446796741,0.164714036357226,0.160101374490668,0.222591556097957,0.266991203154437,0.266580983266816,0.562009744333333,0.498738673708333,0.562015511125
"2",2,0.211976398208333,0.227971551625,0.192636961583333,0.131969936291667,0.14731767,0.136642610083333,-0.048696837,-0.0813557387083335,-0.112687131083333,-0.211374503958333,-0.214703910208333,-0.22669515325,-0.404034723416667,-0.444037594083333,-0.410024461458333,0.235360209048165,0.234755922895078,0.23119063015185,0.154075662448387,0.131356770666159,0.122012902753592,0.162517438022394,0.109157924362201,0.117513327824983,0.16428513011085,0.114855544472521,0.119736889680054,0.114415939044964,0.121101447217553,0.123390912525498,0.616011121625,0.672009145708333,0.602661423041667
"3",3,0.179296393583333,0.24264781825,0.267314697083333,0.0499607638749999,0.0446196673333333,0.0599565842499999,-0.154920277739131,-0.186359560458333,-0.193312041086957,-0.364703885125,-0.404682722041667,-0.351364945291667,-0.563377859875,-0.551506276181818,-0.534034615375,0.246620641495712,0.206592340849172,0.231889939700668,0.152249533589781,0.170266637150029,0.212664743445557,0.164412657893413,0.233837395873765,0.233854251731278,0.17197166009536,0.254799561186909,0.245340053689778,0.195174347852877,0.245496401758632,0.228735619685756,0.742674253458333,0.794154094431818,0.801349312458333
"4",4,0.243976203458333,0.3713225585,0.24614420173913,0.128636127458333,0.0629196944999999,0.0886368,-0.112014978791667,-0.158754271590909,-0.0593548408333335,-0.334705808541667,-0.409304305625,-0.37268593275,-0.627592109347826,-0.653338854958333,-0.596015488708333,0.233555402260981,0.256338635843836,0.250263151714337,0.20702379653673,0.2172709384497,0.208109635542454,0.1692882174625,0.197735736311673,0.249884564535737,0.159259760475117,0.324005135166898,0.184890606463302,0.273132705335884,0.304914320731387,0.174368921345027,0.871568312806159,1.02466141345833,0.842159690447464
"5",5,0.244631478416667,0.327312374875,0.26662421375,0.155301551208333,0.301707927791667,0.166777890291667,0.00779415174999998,0.0419498362916666,0.0752888534166667,-0.0899270409583333,-0.144686430583333,-0.136030761458333,-0.191359022708333,-0.370679294291667,-0.353757440458333,0.347422078891864,0.285374697278353,0.328625730206014,0.175635167232144,0.296243564874587,0.170436110379989,0.180977449961481,0.194660177739852,0.126311013218308,0.195710282047653,0.171665825636112,0.197801344261914,0.173017865371993,0.157059418336332,0.133285417813387,0.435990501125,0.697991669166667,0.620381654208333
"6",6,0.0506094205416666,0.081352908875,0.114656159333333,0.0533189414999999,0.0159608126249999,0.0179894764999999,-0.00802899316666683,0.0226134281666666,-0.0248198504782611,-0.115407233958333,-0.155257686291667,-0.0933654431249999,-0.23602170175,-0.224024923666667,-0.243382287208333,0.0871500768581865,0.173164788512559,0.283433602585808,0.172467337809694,0.150856434889226,0.161923193702081,0.118747486141076,0.127677995096952,0.120698949474974,0.0873882753239312,0.242750803254046,0.106820483381409,0.123606782218303,0.143847363366347,0.160496558233622,0.286631122291667,0.305377832541667,0.358038446541667
"7",7,0.109294435458333,0.0826390552083334,0.0173106036666667,0.0793004170416666,-0.001368895875,-0.022020471875,0.00280044166666649,-0.0915562725416668,-0.0301412894166668,-0.118482194125,-0.0785623054583333,-0.15090998175,-0.0164971465217392,-0.22803904175,-0.115155765833333,0.183804350399298,0.21626981288697,0.178361895703855,0.220570607187425,0.228887310076006,0.271686104953486,0.273761061442884,0.270834375239791,0.234953739134443,0.324268616431424,0.162506631177921,0.221449371518072,0.184360726520771,0.263405545189514,0.192988754527576,0.125791581980072,0.310678096958333,0.1324663695
"8",8,0.189972417916667,0.220637449041667,0.154662016166667,0.111306050208333,0.178640486916667,0.115313186791667,0.113981726,0.0412806172916667,0.0706616902916666,-0.167992878083333,-0.0686960522083333,-0.158666214416667,-0.252047222583333,-0.315363481541667,-0.311380656083333,0.381456018162653,0.512421287929353,0.26024233399962,0.214791475854187,0.284085508245041,0.292110594690395,0.167589791049695,0.149070812750566,0.168805748237259,0.126834523174623,0.173958967983827,0.178273192262735,0.0827899623911804,0.165509002881141,0.115519928890749,0.4420196405,0.536000930583333,0.46604267225
"9",9,0.299968498541667,0.323947544666667,0.280627974833333,0.105299350791667,0.176585126608696,0.0913065879999999,0.129296287958333,0.108028745260869,0.0613217504166665,-0.0373749583749998,-0.150223347217391,-0.0673584819583333,-0.250520519833333,-0.174081238125,-0.00316135520833338,0.426174873279494,0.442963626599438,0.560800082111873,0.30711677781614,0.301838129516872,0.33643450490947,0.229128686110404,0.297425591000328,0.240784860644893,0.210003470263106,0.191752462172598,0.276071645567893,0.245422000089853,0.162218259594606,0.170038608646848,0.550489018375,0.498028782791667,0.283789330041667
"10",10,0.0519911705,0.0213036081666667,0.041999556375,-0.0766967161666667,-0.0340242996666668,-0.158023241,0.0806555545416665,-0.0413630797916669,-0.0393712390416667,-0.0253606900416665,-0.120690722166667,0.0206203463333334,-0.119353436458333,-0.178042829291667,-0.109363701625,0.205590727430408,0.139576546623027,0.186113003924127,0.305309262941308,0.3541600254236,0.171157058012145,0.165185587431671,0.237040305519401,0.223520039028632,0.14080261171263,0.0891327353536853,0.12939277775784,0.226175665082169,0.198645796138788,0.220826271502977,0.171344606958333,0.199346437458333,0.151363258
"11",11,0.269980595666667,0.349309202166667,0.34196488325,0.103302335958333,0.117382003291667,0.0574812526666666,-0.0593787780833335,-0.0727079885000002,0.00463433683333325,-0.205366856458333,-0.202717293541667,-0.276062032416666,-0.436308975458333,-0.475293111291667,-0.466293406833333,0.135789711764419,0.262066647430731,0.286731848085389,0.203549953345239,0.17278843650531,0.256931661459957,0.207208682867665,0.237304203316504,0.2309809117861,0.207016582784339,0.149270703643464,0.188881153514376,0.24576049414168,0.176959365093331,0.265020138681981,0.706289571125,0.824602313458333,0.808258290083333
