"","NSub","Exp. 6a_0.5_low","Exp. 6a_0.5_medium","Exp. 6a_0.5_high","Exp. 6b_0.5_low","Exp. 6b_0.5_medium","Exp. 6b_0.5_high","Exp. 6c_0.5_low","Exp. 6c_0.5_medium","Exp. 6c_0.5_high","Exp. 6a_0.8_low","Exp. 6a_0.8_medium","Exp. 6a_0.8_high","Exp. 6b_0.8_low","Exp. 6b_0.8_medium","Exp. 6b_0.8_high","Exp. 6c_0.8_low","Exp. 6c_0.8_medium","Exp. 6c_0.8_high","Exp. 6a_1.1_low","Exp. 6a_1.1_medium","Exp. 6a_1.1_high","Exp. 6b_1.1_low","Exp. 6b_1.1_medium","Exp. 6b_1.1_high","Exp. 6c_1.1_low","Exp. 6c_1.1_medium","Exp. 6c_1.1_high","Exp. 6a_1.4_low","Exp. 6a_1.4_medium","Exp. 6a_1.4_high","Exp. 6b_1.4_low","Exp. 6b_1.4_medium","Exp. 6b_1.4_high","Exp. 6c_1.4_low","Exp. 6c_1.4_medium","Exp. 6c_1.4_high","Exp. 6a_1.7_low","Exp. 6a_1.7_medium","Exp. 6a_1.7_high","Exp. 6b_1.7_low","Exp. 6b_1.7_medium","Exp. 6b_1.7_high","Exp. 6c_1.7_low","Exp. 6c_1.7_medium","Exp. 6c_1.7_high"
"1",1,0.544405929166667,0.539741745833333,0.575795720833333,0.7393089125,0.656905520833333,0.6825207375,0.667499045454545,0.679684030434783,0.54747422173913,0.5743703125,0.585576041666667,0.537225675,0.632293882608696,0.6222923875,0.6283759125,0.767936595454545,0.671388152173913,0.5521666875,0.530493808333333,0.559129,0.68091975,0.625393691666667,0.5815282,0.615917258333333,0.710191204166667,0.765885154166667,0.5994755,0.527708933333333,0.659618275,0.586700775,0.609373654166667,0.606526104347826,0.580129095833333,0.829525941666667,0.687529929166667,0.907417658333333,0.582075417391304,0.654897129166667,0.5617335625,0.634432058333333,0.640763860869565,0.664633425,0.861013434782609,0.874575879166667,0.8559743625
"2",2,0.4698604625,0.551513158333333,0.463476891666667,0.428959104166667,0.50714282173913,0.49621545,0.464379858333333,0.463864,0.43788485,0.462590395833333,0.5761309875,0.554029436363636,0.547899104166667,0.46049335,0.474380726086957,0.407990370833333,0.441718491666667,0.433626245833333,0.409905847826087,0.418773391666667,0.579589309090909,0.395416595833333,0.4892225,0.459453113043478,0.422483547826087,0.460605945833333,0.467681331818182,0.502041370833333,0.544173433333333,0.450005491304348,0.362450295652174,0.544671934782609,0.489410163636364,0.4201743875,0.404013613043478,0.427054931818182,0.432007604347826,0.470616408333333,0.415723308333333,0.378411526086956,0.381799508695652,0.46985215,0.448272228571429,0.467381219047619,0.491896314285714
"3",3,0.6918131875,0.672849541666667,0.665435333333333,0.692117920833333,0.622870516666667,0.5756932125,0.504060725,0.464369191666667,0.450600483333333,0.7617885,0.747825683333333,0.731023991666667,0.6578377375,0.716101891666667,0.657379970833333,0.574234166666667,0.518367291666667,0.5465214875,0.744543491666667,0.723742895833333,0.70242435,0.662335125,0.672792141666667,0.739082783333333,0.619520066666667,0.6714171875,0.587180508333333,0.648524045833333,0.720670716666667,0.760410833333333,0.6647184375,0.714667441666667,0.724541941666667,0.675929029166667,0.6021345125,0.6612133375,0.682179758333333,0.7214208875,0.7306254625,0.692265275,0.66871285,0.768622466666667,0.599738079166667,0.6092039375,0.658990429166667
"4",4,0.638919433333333,0.722545108333333,0.6379510875,0.808962608695652,0.844236833333333,0.9018144875,0.8549089875,0.87426835,0.837107936363636,0.664008066666667,0.644945256521739,0.5534526875,0.85082582173913,0.768837779166667,0.7782603375,0.854871377272727,0.8804806,0.811745595238095,0.691651208333333,0.55454525,0.706010158333333,0.7673307,0.704658343478261,0.821373033333333,0.878391104166667,0.916966426086957,0.814688739130435,0.553539804166667,0.5388936625,0.597868241666667,0.84746325,0.804357470833333,0.801123726086956,0.9043776,1.04184312916667,0.877925104347826,0.540168316666667,0.533482908333333,0.559951275,0.726735847826087,0.742792358333333,0.748955758333333,1.15750175833333,1.0631880875,1.01967705833333
"5",5,0.768631633333333,0.970264969565217,0.852241381818182,1.1149432173913,1.12690142083333,1.14140515,0.927643575,1.017542,1.00723758181818,0.870789620833333,0.997888139130435,0.786587995833333,1.104206625,0.989401709090909,1.04449907916667,0.936236666666667,0.9441343625,1.07031305652174,0.8910172125,0.9971262,0.893709773913044,1.01340902083333,0.951302420833333,1.01683975833333,1.0386248,0.945744173913043,1.0230178,0.70648835,0.880621609090909,0.854037533333333,1.11224653043478,0.949167695833333,1.04833082083333,0.911312575,1.014610775,0.921472345833333,0.933393852173913,0.935852170833333,0.961420731818182,1.086730025,1.05467465833333,1.00150780434783,1.2106943,1.01252615217391,0.960540839130435
"6",6,0.4787843375,0.536219966666667,0.576800908333333,0.499033141666667,0.473425508333333,0.530478845833333,0.63259775,0.60399765,0.583196633333333,0.4781270625,0.556327833333333,0.53105305,0.548814070833333,0.473674454166667,0.5542707375,0.512462666666667,0.5741337,0.5508463375,0.532542683333333,0.506828904166667,0.561371554166667,0.465510845833333,0.4497273125,0.467171458333333,0.548330133333333,0.595598920833333,0.569979339130435,0.470500854166667,0.516669070833333,0.517241791666667,0.451974929166667,0.449491075,0.517021933333333,0.611846858333333,0.587259975,0.565831291666667,0.53042905,0.535129858333333,0.53854595,0.480009083333333,0.390476029166667,0.449011604166667,0.6229605125,0.6300826375,0.595452066666667
"7",7,0.584672169565217,0.668483429166667,0.753403182608696,0.726366445833333,0.872340404166667,0.840142741666667,0.749374614285714,0.766549777777778,0.715826786956522,0.553591780952381,0.588916466666667,0.635792665217391,0.685920045833333,0.792789691666667,0.724896325,0.814303404761905,0.6822402625,0.920988589473684,0.442021871428571,0.661990495652174,0.554898718181818,0.70397695,0.845473973913043,0.849837920833333,0.922154445454546,0.994517991666667,0.888797391666667,0.729402665,0.567079760869565,0.726901338095238,0.789745645833333,0.81023615,0.8481065375,1.06217026666667,1.00557553043478,1.09237512173913,0.528281395454545,0.691049054166667,0.638576829166667,0.714152170833333,0.7618525125,0.7869051875,1.10517020416667,1.14610318333333,1.04318357391304
"8",8,0.6023201,0.557740629166667,0.626680465217391,0.4622760125,0.4535590125,0.453891104166667,0.365066663157895,0.41628879047619,0.324919147368421,0.5017472875,0.511153841666667,0.517608766666667,0.464410491304348,0.450926333333333,0.5606054625,0.385860734782609,0.390098217647059,0.435230311111111,0.492507291666667,0.464722747826087,0.4122282,0.508943841666667,0.528697443478261,0.568028758333333,0.363301736363636,0.36084609047619,0.312091173684211,0.466326873913044,0.520451170833333,0.440556525,0.63196155,0.472279675,0.577679281818182,0.335396556521739,0.44276219047619,0.415025408695652,0.423877860869565,0.436455359090909,0.40429702173913,0.558044579166667,0.530834695833333,0.525466154166667,0.453410154166667,0.4665732625,0.451023729166667
"9",9,0.634615570833333,0.582143934782609,0.657731108333333,0.670690645833333,0.759525979166667,0.723800079166667,0.5287014,0.609597354166667,0.555685466666667,0.581514170833333,0.687432091666667,0.652870583333333,0.659844633333333,0.7430972625,0.7185691625,0.608421395833333,0.483558126086957,0.515468508333333,0.574641373913043,0.6724705,0.8115644625,0.6525268375,0.660676895833333,0.714264408333333,0.543850916666667,0.589903117391304,0.532517758333333,0.645592425,0.647202129166667,0.734349441666667,0.669517795833333,0.695229341666667,0.643885682608696,0.655496225,0.670578925,0.683544154166667,0.596138875,0.615956343478261,0.676278116666667,0.612418570833333,0.696274058333333,0.500624583333333,0.7312945625,0.663990408333333,0.7159161875
"10",10,0.88679750952381,0.903511029166667,1.09850796521739,0.72055252173913,0.7228592875,0.5870607125,0.55227814375,0.707211153333333,0.690211017647059,0.9201467,0.984329456521739,1.16573387826087,0.774755618181818,0.604728954545455,0.736291575,0.78553653,0.915806833333333,0.51441289375,0.795028065217391,0.978855843478261,1.05865279166667,0.621134968181818,0.661759382608696,0.667147720833333,0.792702979166667,0.798859655555556,0.6923688,0.848096782608696,1.08380507083333,1.07751116956522,0.623359215,0.6553314375,0.705234760869565,0.820895155,0.811701486956522,0.719437865217391,1.00306414782609,0.865788754545455,1.14547929090909,0.590402127272727,0.599382469565217,0.547915513636364,0.932118686363636,0.886847486956522,0.822151854545455
