"","NSub","n","baseline2_Low","baseline2_Medium","baseline2_High","Encoding2_Low","Encoding2_Medium","Encoding2_High"
"1",1,1,0.394009683333333,0.444918384722222,0.445396411111111,0.329204084722222,0.427133294444444,0.306723118055555
"2",2,1,0.337036659722222,0.313568555555555,0.249532963888889,0.489104954166667,0.470678454166667,0.446390372222222
"3",3,1,0.462445652777778,0.430307925,0.445226719444445,0.743528280555556,0.789463827777778,0.736995881944444
"4",4,1,0.289739694444444,0.412765970833333,0.423853226388889,0.188769191666667,0.242814034722222,0.2455953625
"5",5,1,0.190546579166667,0.242408326570048,0.289449806944444,0.541516305555556,0.587894213888889,0.636988416666667
"6",6,1,0.166333893055555,0.211914259722222,0.217445098611111,0.201796265277778,0.2287915375,0.209467530555555
"7",7,1,0.293369061111111,0.324110463888889,0.323996320833333,0.303634284722222,0.339101638888889,0.413877091666667
"8",8,1,0.0910741444444444,0.170090665277778,0.120603183333333,0.223326175,0.314010813888889,0.307422015277778
"9",9,1,0.317678169444444,0.329034517512077,0.295592229166667,0.324469065277778,0.273644322222222,0.500791997222222
"10",10,1,0.317483225543478,0.34432831660628,0.354213971135266,0.228834793055556,0.382771983333333,0.346114701388889
"11",11,1,0.283329506944444,0.3173381875,0.240246395833333,0.315354931944444,0.362747354166667,0.407304666666667
"12",12,1,0.162906795833333,0.158472201388889,0.133624122222222,0.214610134722222,0.231321434722222,0.231241116666667
"13",13,1,0.144723506944444,0.266954120833333,0.1365042875,0.404474233333333,0.489241716666667,0.5283130125
"14",14,1,0.1103558625,0.0872525180555554,0.106810936111111,0.0931135472222222,0.160206202777778,0.217712255555556
"15",15,1,0.328248070833333,0.352463491666667,0.378887988888889,0.422706701388889,0.431123775,0.427005036111111
"16",16,1,0.323751043055555,0.414555290277778,0.304629127777778,0.276371686111111,0.390336204166667,0.321084615277778
"17",17,1,0.548689830555556,0.594972136111111,0.480977244444444,0.3512451375,0.302592272222222,0.379896731944444
"18",18,1,0.3366904875,0.234994266666667,0.242201483333333,0.418212190277778,0.529679798611111,0.5119117
