"","Exp","NSub","low","medium","high"
"1","Exp. 1",1,0.915966386554622,0.758333333333333,0.73109243697479
"2","Exp. 1",2,0.925,0.783333333333333,0.666666666666667
"3","Exp. 1",3,0.883333333333333,0.716666666666667,0.65
"4","Exp. 1",4,0.866666666666667,0.725,0.616666666666667
"5","Exp. 1",5,0.958333333333333,0.833333333333333,0.766666666666667
"6","Exp. 1",6,0.875,0.796610169491525,0.798319327731092
"7","Exp. 1",7,0.958333333333333,0.9,0.808333333333333
"8","Exp. 1",8,0.829059829059829,0.743589743589744,0.615384615384615
"9","Exp. 1",9,0.925,0.808333333333333,0.683333333333333
"10","Exp. 1",10,0.95,0.825,0.766666666666667
"11","Exp. 1",11,0.891666666666667,0.808333333333333,0.675
"12","Exp. 1",12,0.941666666666667,0.891666666666667,0.875
"13","Exp. 1",13,0.92436974789916,0.766666666666667,0.658333333333333
"14","Exp. 1",14,0.908333333333333,0.8,0.675
"15","Exp. 1",15,0.958333333333333,0.80672268907563,0.708333333333333
"16","Exp. 1",16,0.933333333333333,0.825,0.75
"17","Exp. 2",1,0.908333333333333,0.808333333333333,0.75
"18","Exp. 2",2,0.932773109243697,0.666666666666667,0.533333333333333
"19","Exp. 2",3,0.883333333333333,0.663865546218487,0.633333333333333
"20","Exp. 2",4,0.816666666666667,0.725,0.608333333333333
"21","Exp. 2",5,0.903508771929825,0.663793103448276,0.728070175438597
"22","Exp. 2",6,0.883333333333333,0.683333333333333,0.666666666666667
"23","Exp. 2",7,0.915966386554622,0.658333333333333,0.512605042016807
"24","Exp. 2",8,0.933333333333333,0.775,0.722689075630252
"25","Exp. 2",9,0.88135593220339,0.815126050420168,0.65
"26","Exp. 2",10,0.925,0.783333333333333,0.708333333333333
"27","Exp. 2",11,0.916666666666667,0.691666666666667,0.697478991596639
"28","Exp. 2",12,0.808333333333333,0.508333333333333,0.546218487394958
"29","Exp. 2",13,0.9,0.716666666666667,0.7
"30","Exp. 2",14,0.882352941176471,0.708333333333333,0.625
"31","Exp. 2",15,0.95,0.848739495798319,0.775
"32","Exp. 2",16,0.941666666666667,0.875,0.766666666666667
"33","Exp. 3",1,0.866666666666667,0.725,0.616666666666667
"34","Exp. 3",2,0.891666666666667,0.683333333333333,0.566666666666667
"35","Exp. 3",3,0.85,0.7,0.598290598290598
"36","Exp. 3",4,0.825,0.638655462184874,0.608333333333333
"37","Exp. 3",5,0.882352941176471,0.756302521008403,0.716666666666667
"38","Exp. 3",6,0.840336134453782,0.575,0.5
"39","Exp. 3",7,0.875,0.808333333333333,0.708333333333333
"40","Exp. 3",8,0.933333333333333,0.689075630252101,0.583333333333333
"41","Exp. 3",9,0.858333333333333,0.747899159663866,0.630252100840336
"42","Exp. 3",10,0.883333333333333,0.725,0.708333333333333
"43","Exp. 3",11,0.883333333333333,0.722689075630252,0.583333333333333
"44","Exp. 3",12,0.866666666666667,0.73109243697479,0.563025210084034
"45","Exp. 3",13,0.875,0.641666666666667,0.591666666666667
"46","Exp. 3",14,0.76271186440678,0.546218487394958,0.508333333333333
"47","Exp. 3",15,0.841666666666667,0.741666666666667,0.658333333333333
"48","Exp. 3",16,0.941666666666667,0.766666666666667,0.675
"49","Exp. 4",1,0.85,0.756302521008403,0.608333333333333
"50","Exp. 4",2,0.725,0.591666666666667,0.508333333333333
"51","Exp. 4",3,0.739495798319328,0.669491525423729,0.53781512605042
"52","Exp. 4",4,0.848739495798319,0.627118644067797,0.588235294117647
"53","Exp. 4",5,0.858333333333333,0.6,0.575
"54","Exp. 4",6,0.791666666666667,0.791666666666667,0.705882352941177
"55","Exp. 4",7,0.848739495798319,0.7,0.55
"56","Exp. 4",8,0.933333333333333,0.641666666666667,0.583333333333333
"57","Exp. 4",9,0.825,0.623931623931624,0.541666666666667
"58","Exp. 4",10,0.783333333333333,0.675,0.6
"59","Exp. 4",11,0.833333333333333,0.666666666666667,0.558333333333333
"60","Exp. 4",12,0.733333333333333,0.563025210084034,0.647058823529412
"61","Exp. 4",13,0.833333333333333,0.758333333333333,0.658333333333333
"62","Exp. 4",14,0.658333333333333,0.53781512605042,0.541666666666667
"63","Exp. 4",15,0.908333333333333,0.825,0.691666666666667
"64","Exp. 4",16,0.891666666666667,0.816666666666667,0.725
