"","NSub","slope_low","slope_medium","slope_high","ind_pnt_low","ind_pnt_medium","ind_pnt_high"
"1",301,-0.639129258652778,-0.648896730597222,-0.622436802458333,0.967485680042991,0.905166490320721,0.962224886977062
"2",302,-0.676912062541666,-0.640959421125,-0.636560996375,0.88140577789961,0.952540413334683,0.964479449207651
"3",303,-0.525704265013889,-0.533657634291667,-0.491108156207715,0.870614539358016,0.859019712415381,0.902773905978784
"4",304,-0.693708955000001,-0.523996139085233,-0.664219142069444,1.01321572289155,1.02364306643058,1.01867015089073
"5",305,-0.0466315033983854,-0.149404720610992,-0.0554196841805554,0.961755031956053,1.20941936815836,1.65190366101722
"6",306,-0.57778392125,-0.66067953898611,-0.55689645175,1.00578202509716,1.11161667404106,1.10364142233018
"7",307,-0.275557383888889,-0.236479685166667,-0.243962506527778,0.782444110315389,0.998966655952592,1.02553802631308
"8",308,-0.729787753569445,-0.657372136014416,-0.664895693944444,1.13111986171859,1.15188899158467,1.10017130628063
"9",309,-0.466445172763888,-0.57956627448699,-0.641303985938818,0.933817946582322,0.972923026192306,1.03467547667682
"10",310,-0.568236373555555,-0.596252026472222,-0.573572485111111,0.825141201821716,1.06387544958278,1.02004926634027
"11",311,-0.479568057319444,-0.543143870559424,-0.612005840930555,1.05378469738884,1.06898854608576,1.07618140105847
"12",312,-0.660690604597222,-0.691560227911562,-0.590264370070394,1.0640433505592,1.0788768295519,1.15133456384694
"13",313,-0.574450462958333,-0.558905599375,-0.513582014347222,0.6684382080456,0.677187517523667,0.73706066588621
"14",314,-0.283854922586207,-0.394324051866151,-0.362517419958333,1.12200198266017,1.26623453448187,1.20095709291489
"15",315,-0.480914136805555,-0.496214202902778,-0.515780025000001,0.671805794964061,0.817563503915951,0.794600797193856
"16",316,-0.488008805847223,-0.540238604027778,-0.500941268625,0.644156553441424,0.779298978960493,0.813471828689001
