"","Exp","WMSize","mmpredRP_err","mmpredVar_err","mmpredRP_rerr","mmpredVar_rerr","mmpredcv_rerr","mmpredcv_err","model"
"1","Exp1","low",-0.00214171976158188,0.00848573932854605,0.0340441788000072,0.235178853502835,0.235694509940834,0.0168927072801525,"linear"
"2","Exp1","medium",-0.00226336319297804,0.0134114208450236,0.0397950765273039,0.278730656489082,0.280301535164334,0.0237061439379699,"linear"
"3","Exp1","high",0.00251926198474347,0.00660690839951868,0.0335018389951807,0.248659362020428,0.246342479141916,0.0161552270623865,"linear"
"4","Exp2","low",0.0104272370734534,0.00096710090594923,0.0403614368674362,0.180100087219172,0.17577863725014,0.00381960054578667,"linear"
"5","Exp2","medium",0.00112882059570446,0.00630963327322304,0.0372194476702424,0.1954658664583,0.193143048698767,0.0125930027294899,"linear"
"6","Exp2","high",-0.0120748766873267,0.0196392272481094,0.0534695473521605,0.173882772608542,0.189395487322939,0.0277613244487615,"linear"
"7","Exp3","low",0.00140632711622539,0.0136048843311184,0.0410183564171344,0.237857208130328,0.226713596339576,0.020065781883848,"linear"
"8","Exp3","medium",-0.00787432255601528,0.013080004535185,0.0399804014869941,0.219772338982878,0.231217929125016,0.0192839355704444,"linear"
"9","Exp3","high",0.00694125174110581,0.00284329885535882,0.0410404691929562,0.206570289996841,0.214723264567247,0.00745852441161127,"linear"
"10","Exp4","low",-0.0119538691278843,0.00718512233762178,0.038586292308054,0.267649064755298,0.289521184257462,0.022851401118216,"linear"
"11","Exp4","medium",0.0115591996007506,0.00725534101599581,0.0405963162188187,0.273532643461145,0.279797684694301,0.0150743774089284,"linear"
"12","Exp4","high",-0.00161421451727707,0.021264992538408,0.0428609609121276,0.291596700794355,0.279800457239459,0.0308113773275459,"linear"
