"","X","NSub","Exp","model","sig_s2","ks","ls","ts","kr","sig_mn2","mu_pr_log","sig_pr2_log","looic","p_loo","elpd_loo","se_looic","se_p_loo","waic","p_waic","se_waic","se_p_waic","elpd_waic","se_waic.1","log_lik_sum","log_lik_mean"
"11",11,11,"Exp1","Exp1",0.0391986813173444,0,0,0.00627674837888643,0,0.00242533529198673,-0.0160328748189812,0.107491162836679,445.148861660511,300.964969854825,-222.574430830256,9.0002187857832,2.07937188516131,203.925948619244,180.353513334191,8.28107653406897,0.400264968148098,-101.962974309622,8.28107653406897,22.8703821576116,0.0635288393266989
"12",12,12,"Exp1","Exp1",0.00961130806120291,0,0,0.00154861799832765,0,0.0067090045834486,-0.842646229851401,0.247845031170591,220.314032812669,306.973589969397,-110.157016406335,8.55652500980837,2.29308916745241,-31.7813105441839,180.92591829097,7.04163435212466,0.419620677317208,15.890655272092,7.04163435212466,141.095200069309,0.391931111303635
"13",13,13,"Exp1","Exp1",0.0160590663238223,0,0,0.00258110968369444,0,0.0033019265362576,0.155972925890867,0.0836236384180537,270.187606536435,301.477237719781,-135.093803268218,9.35332333392064,2.00480416160204,26.9913749289234,179.879121916025,8.6927346325881,0.371911360773869,-13.4956874644617,8.6927346325881,110.933071739711,0.309005770862706
"14",14,14,"Exp1","Exp1",0.0158807852316381,0,0,0.00254513404449722,0,0.00494842860992416,0.0206622428936869,0.776597835891475,366.21343978287,303.917674866314,-183.106719891435,11.6376508284705,2.25406772573901,119.47890276796,180.550406358859,10.7946354675962,0.41536918457696,-59.7394513839802,10.7946354675962,65.1624175499077,0.18100671541641
"15",15,15,"Exp1","Exp1",0.034804120639137,0,0,0.00560093424705811,0,0.0114765520233833,-0.0700100136421917,0.138893849999485,539.072962691385,308.926162769911,-269.536481345692,8.09535724601592,2.34804060322284,283.236312075372,181.007837461905,6.29886579662792,0.403748888571821,-141.618156037686,6.29886579662792,-16.2529408189083,-0.0452728156515551
"16",16,16,"Exp1","Exp1",0.0327935793937935,0,0,0.00520201114154242,0,0.00469608021471435,-0.128750940508226,0.127830950250837,440.365070672394,306.028808723449,-220.182535336197,9.39573480042312,2.31195220575932,190.053527212296,180.8730369934,8.20940394661147,0.397311806488084,-95.0267636061479,8.20940394661147,30.2045801451036,0.0839016115141767
"17",17,1,"Exp2","Exp2",0.0565940169322025,0.0530921382560283,0.016148850528982,0.00699257727191153,0,0.0316527742133634,0.00292946410602941,0.0769652084830481,644.989883759625,308.323167782835,-322.494941879812,4.57297516842637,2.26257860062649,392.11731021743,181.886881011738,1.34086769105328,0.379600305385319,-196.058655108715,1.34086769105328,-70.0561471114256,-0.194600408642849
"18",18,2,"Exp2","Exp2",0.0328803097241323,0.0241544922311797,0.00800605148452064,0.00409746513208561,0,0.00976973430382609,-0.249439311458335,0.088493831941568,406.676795556218,302.505771730804,-203.338397778109,5.8901635347092,2.16406750381303,162.427026421645,180.380887163517,4.40208314792653,0.407328814325577,-81.2135132108226,4.40208314792653,43.6194734596888,0.121502711586877
"19",19,3,"Exp2","Exp2",0.0615416963061047,0.137956791694218,0.0362866155134315,0.00797670436846292,0,0.00804996198246832,-0.044700715927633,0.0468297474716629,380.713331652409,302.502357999147,-190.356665826205,4.57458848414593,2.23930809948471,137.37173550718,180.831559926532,1.55986841586843,0.401841725591887,-68.6858677535899,1.55986841586843,56.4626743574539,0.157277644449732
"20",20,4,"Exp2","Exp2",0.0384177358397791,0.0938025696854398,0.041863792551559,0.00491111012056324,0,0.0170212851813053,0.115209633489253,0.0477114810827336,496.454771286221,304.011870799447,-248.22738564311,4.61370852658419,2.18413841767335,250.511182219907,181.04007626629,1.59495879668593,0.405228427178473,-125.255591109954,1.59495879668593,0.00895976056952448,2.48882238042347e-05
"21",21,5,"Exp2","Exp2",0.149447052462866,0.0920681860103132,0.343958462560547,0.0195642092602361,0,0.00892733252778806,0.104788777126415,0.177020941901167,886.47035352398,294.853754428948,-443.23517676199,6.38153641534963,2.240296580117,643.570720877468,173.403938105692,4.41808072706453,0.390365518444679,-321.785360438734,4.41808072706453,-201.738359884884,-0.586448720595592
"22",22,6,"Exp2","Exp2",0.051940258599646,0.244695803611206,0.0491722238161904,0.0068681824916876,0,0.00826684555193302,0.109708168904576,0.070198984107268,514.696653932024,304.020704360728,-257.348326966012,5.63965549682054,2.30263896229529,267.812821645746,180.578788217589,3.33036146541986,0.403731048362964,-133.906410822873,3.33036146541986,-8.98879746492487,-0.0249688818470135
"23",23,7,"Exp2","Exp2",0.0433081152712232,0.0367032561839873,0.039443896383821,0.00553614849981421,0,0.0488044725285096,0.151499475460383,0.0585313466712915,698.436962594594,302.709441685126,-349.218481297297,4.92554346187672,2.2011302281154,453.134884433786,180.058402604722,2.35683998455291,0.39314651579455,-226.567442216893,2.35683998455291,-101.929229693416,-0.284718518696693
"24",24,8,"Exp2","Exp2",0.0513783253049452,0.0861651249246133,0.0586614278124242,0.00678854725892563,0,0.00330709088469238,-0.0446726039569567,0.150649816706237,604.621908746626,302.604983127554,-302.310954373313,8.24433161325085,2.12690871388068,359.551459993752,180.069758751117,7.48035857983834,0.398030958677288,-179.775729996876,7.48035857983834,-55.2031480111111,-0.15376921451563
"25",25,9,"Exp2","Exp2",0.610893647957231,0.515390149096169,0.411705168975791,0.0960037783471921,0,0.0169514782767692,0.0438147490416701,0.0587960342011936,609.581226939202,303.734483681092,-304.790613469601,4.59700623190569,2.17490127506795,360.629226444884,179.258483433932,1.50100857243737,0.379179311358941,-180.314613222442,1.50100857243737,-56.2041774711748,-0.157434670787604
"26",26,10,"Exp2","Exp2",0.0906076493422924,0.084404553570334,0.130241637133987,0.0119428745586603,0,0.0100374233577265,-0.0712416546799402,0.0738782155699238,537.991739681296,302.070427618398,-268.995869840648,4.86556247073606,2.31586431696726,295.770444720044,180.959780137772,1.95214871840477,0.410284381181487,-147.885222360022,1.95214871840477,-22.7080959585536,-0.0630780443293156
"27",27,11,"Exp2","Exp2",0.00789488422867995,0.0318949167880627,0.00554651024299331,0.00098916101440849,0,0.00875018362105144,0.381427955635773,0.251292309372236,287.406346926673,303.230092932178,-143.703173463337,8.29213202070516,2.4054057910093,42.3948306304272,180.724334784055,6.81703302706022,0.408545346123168,-21.1974153152136,6.81703302706022,103.732077011942,0.288947289726858
"28",28,12,"Exp2","Exp2",0.115286110219116,0.245338113042723,0.515035426094087,0.0153924470144323,0,0.0487712570288777,0.119687639809848,0.0673876055536872,779.753969620916,306.310160515482,-389.876984810458,5.29146783266457,2.34243249283947,529.652159872665,181.259255641356,2.71816064056798,0.417315668651325,-264.826079936332,2.71816064056798,-139.36723012111,-0.388209554654902
"29",29,13,"Exp2","Exp2",0.0574934098178723,0.0780078665036683,0.0781413207728501,0.00747491821239937,0,0.0161405133957406,-0.109943507421442,0.113061851630109,633.214719789036,309.313987431648,-316.607359894518,5.6028139225584,2.35044514112107,378.223725102882,181.818490088571,3.26921314292549,0.3920620054776,-189.111862551441,3.26921314292549,-63.1943068108505,-0.175539741141251
"30",30,14,"Exp2","Exp2",0.0399167848977447,0.112417077542277,0.014604774640022,0.00485948958069737,0,0.00282857854351648,-0.0873642539827172,0.447074209521199,588.573237439592,306.263309094194,-294.286618719796,12.4946877713169,2.17453118907824,337.840372273382,180.896876511089,12.1082450527725,0.387524183322672,-168.920186136691,12.1082450527725,-43.6746817507071,-0.121656495127318
"31",31,15,"Exp2","Exp2",0.0151086108948787,0.0291509788987243,0.0294376217154611,0.00190810468624168,0,0.00482656590022239,-0.297806213978754,0.125597711381639,346.585855878973,302.45625537719,-173.292927939486,9.49758179414248,2.1423100337958,102.605958378907,180.466306627158,8.54655244625489,0.384489037744943,-51.3029791894535,8.54655244625489,73.4981277263165,0.204730160797539
"32",32,16,"Exp2","Exp2",0.0206227443923517,0.0423156087760351,0.0286895998620958,0.00255573239577289,0,0.0256271002540928,0.103317451638208,0.0469048368020566,501.912261536549,302.013116546936,-250.956130768275,4.05071106054329,1.90176496870018,259.630340977311,180.872156267317,1.89786783783569,0.359178463587837,-129.815170488656,1.89786783783569,-4.73103756878428,-0.0131417710244008
"33",33,1,"Exp3","Exp3",0.0393246588413305,0,0,0.00532562143521174,0.0135705866444699,0.0235033996314397,-0.068772989830397,0.0463100344165266,474.734639596912,302.482784606525,-237.367319798456,4.5793547976788,2.14343220410471,230.838335413647,180.534632514892,1.68328913243622,0.416233580623801,-115.419167706824,1.68328913243622,9.47623772960944,0.0263228825822484
"34",34,2,"Exp3","Exp3",0.0517747501288215,0,0,0.00688322561963096,0.0442613142255,0.00742251333784031,-0.133900587213659,0.0590976318017562,402.53573269381,301.830006415927,-201.267866346905,5.44664163742414,2.19583107422244,160.013677085235,180.56897861164,3.41056463481503,0.408641331581632,-80.0068385426176,3.41056463481503,44.9069494402341,0.124741526222873
"35",35,3,"Exp3","Exp3",0.0371995362245266,0,0,0.00473038876213608,0.013750972525168,0.0100956132419277,-0.159613536828792,0.078030929131962,427.238481010225,303.207276707535,-213.619240505113,6.27363253774999,2.30195323892002,178.734141235019,178.955106819931,4.21283921262096,0.41169341428936,-89.3670706175093,4.21283921262096,34.5252086150796,0.0967092678293547
"36",36,4,"Exp3","Exp3",0.036697727581062,0,0,0.00489220459135572,0.0144435586134764,0.0114157861531686,0.0092373347545771,0.0429446219255196,385.557861020766,303.66879511482,-192.778930510383,4.6688169693012,2.14638143862801,138.910141046087,180.344935127481,1.97490611029805,0.407986888038561,-69.4550705230437,1.97490611029805,55.356568634857,0.154196570013529
"37",37,5,"Exp3","Exp3",0.0122493915717841,0,0,0.00162929039539865,0.0237529161130264,0.00431782449770302,-0.134409374782464,0.425721091293859,289.690913604009,305.53105530576,-144.845456802004,11.1379989679675,2.36374709025953,39.4630104767082,180.41710374211,10.248910142619,0.38658020985548,-19.7315052383541,10.248910142619,105.16612487492,0.293760125348939
"38",38,6,"Exp3","Exp3",0.045841264292764,0,0,0.00611112892992791,0.0350351310246927,0.0243726987758291,0.0246333886873913,0.0543431549520773,544.025704114439,301.125278279675,-272.01285205722,4.34062664895693,2.11567823184946,302.495413402297,180.360132923604,1.41894670526153,0.388172638337591,-151.247706701149,1.41894670526153,-26.4361468022869,-0.0736382919283759
"39",39,7,"Exp3","Exp3",0.0196081854027924,0,0,0.00261750009052083,0.0448389236213536,0.00488331080466002,-0.24301381110706,0.123342259761754,341.462028171738,304.238358776589,-170.731014085869,9.11041198606758,1.96410035198715,96.1102016018858,181.562445491663,8.44620616162262,0.386237702758564,-48.0551008009429,8.44620616162262,77.5954854634231,0.215543015176175
"40",40,8,"Exp3","Exp3",0.0444660748890217,0,0,0.00594793786251496,0.0132354406839716,0.03523460849829,0.108618570887814,0.0338471150639627,555.247706912793,304.337988274469,-277.623853456397,5.21560837686263,2.22271563905694,308.111916527848,180.770093081996,2.92841912788924,0.38998261508488,-154.055958263924,2.92841912788924,-28.9450838048855,-0.0806269743868677
"41",41,9,"Exp3","Exp3",0.0392872998654153,0,0,0.00516648805950821,0.0251916340126566,0.016689448954952,-0.0478240695927435,0.0617827362683897,476.735214286469,300.076796961626,-238.367607143234,4.99571226040703,2.2724623030065,235.658853497746,179.538616567264,2.16405823450648,0.37661225214331,-117.829426748873,2.16405823450648,6.37327228668702,0.0178024365549917
"42",42,10,"Exp3","Exp3",0.0485887107736365,0,0,0.00618199779476763,0.0849789944427963,0.00716924338021271,-0.167757800400477,0.072589321079637,464.246641369115,310.374486250653,-232.123320684558,6.79979360037363,2.48088081547498,206.612786559362,181.557558845776,4.78379774715574,0.379205293778206,-103.306393279681,4.78379774715574,22.4608694935597,0.0623913041487769
"43",43,11,"Exp3","Exp3",0.0361278285854678,0,0,0.00472750018403816,0.0141074870528469,0.00471776498058804,0.0508750467810371,0.0540840752248092,373.544937859,304.880371416286,-186.7724689295,6.3685171330324,2.19040464508135,123.481704715703,179.848754844638,4.87045229686494,0.374454248825365,-61.7408523578515,4.87045229686494,62.7141869278,0.174691328489694
"44",44,12,"Exp3","Exp3",0.0671105957117194,0,0,0.00896634551216397,0.0298219839551284,0.00207346596097111,0.0439522905650077,0.0689878365815365,484.740123947756,301.274329170742,-242.370061973878,6.66024091958894,2.22427990233169,241.704299104972,179.75641674935,5.02056198278938,0.372470925838519,-120.852149552486,5.02056198278938,3.61637189312577,0.0101015974668317
"45",45,13,"Exp3","Exp3",0.051082793947636,0,0,0.00680386982615771,0.0397163152174068,0.00196576113630094,-0.522152566284902,0.130302239554754,406.742961991902,304.042215912801,-203.371480995951,9.23723869555878,2.23510323743583,160.695989352658,181.018729593179,8.18064532341048,0.439284209347615,-80.3479946763288,8.18064532341048,44.973041709079,0.124925115858553
"46",46,14,"Exp3","Exp3",0.0351334935028841,0,0,0.00460089292000548,0.024202946851586,0.00301509114130398,0.114879265201814,0.104072274912476,473.854795132986,300.577487967189,-236.927397566493,9.205443573727,2.19173217520149,230.451160762758,178.875670782075,8.28197771687065,0.388555946533739,-115.225580381379,8.28197771687065,8.54648734921547,0.0239397404739929
"47",47,15,"Exp3","Exp3",0.0256127421467156,0,0,0.00341607369203892,0.0376325018538883,0.00476115966136197,-0.360257109035209,0.0683511182270343,266.602294015505,304.28316510873,-133.301147007752,7.18641130404316,2.32669362333224,19.8426345250667,180.903335363511,5.79189286977939,0.420361573236874,-9.92131726253335,5.79189286977939,115.27026543302,0.320195181758388
"48",48,16,"Exp3","Exp3",0.0303657593707256,0,0,0.00408397248767537,0.0503443086231161,0.00876296048015585,-0.414508829758977,0.0804959690741607,361.94921114591,306.222713321654,-180.974605572955,6.16158775499665,2.08410414590481,112.391074049756,181.443644773577,4.49210669328003,0.381070720752848,-56.1955370248778,4.49210669328003,69.3709005452823,0.192696945959118
"49",49,1,"Exp4","Exp4",0.027850955531915,0.46057290766131,0.00663020726771684,0.00459812473390579,0.255354870167853,0.0135620682790185,-0.196325847872733,0.0952002785315833,445.97158583307,303.174997924314,-222.985792916535,5.6989170624877,2.059069694458,200.38491834561,180.381664180583,3.97328907650276,0.381117988950585,-100.192459172805,3.97328907650276,24.6332976694098,0.0686164280484953
"50",50,2,"Exp4","Exp4",0.0125176953996347,0.404673205533476,0.00182561330734744,0.00196830204520848,0.170788220346294,0.00894387994707257,0.0140176249683766,0.0225679927274651,159.473404997414,304.324987955902,-79.7367024987069,4.53778301528762,2.17261935221314,-87.2341039780706,180.971233468159,1.60378228017367,0.404975336699579,43.6170519890353,1.60378228017367,168.879668798932,0.469110191108145
"51",51,3,"Exp4","Exp4",0.0467352064435992,0.430047355634421,0.0322776138667281,0.00737725475487583,0.173640226639117,0.00233582635236031,-0.208626428066204,0.0671450833366179,355.706316041835,301.048960960632,-177.853158020917,6.91770750642604,2.33603450823103,110.875069758831,178.63333781913,5.22415843707345,0.382512653107297,-55.4375348794157,5.22415843707345,68.1940029674915,0.191556188110931
"52",52,4,"Exp4","Exp4",0.0807630884763744,0.420571602111752,0.0539857627762968,0.0130044128663768,0.0994416203232097,0.00394039109165494,-0.113490806310778,0.0657154693811173,439.50893613163,302.864080156154,-219.754468065815,5.53118441564051,2.25647506534128,192.212843098274,179.216033639476,3.10868994535024,0.406027765226884,-96.1064215491372,3.10868994535024,28.0139008734656,0.0786907327906338
"53",53,5,"Exp4","Exp4",0.0171141787631148,0.327224667449007,0.0156199251147763,0.00265107708955286,0.111076450133523,0.0249220956084633,0.184310896223539,0.0380211412953191,466.879189536077,304.409878208884,-233.439594768039,4.62718579116105,2.1600598416038,219.36624306554,180.653404973616,1.97080416989271,0.410403962747946,-109.68312153277,1.97080416989271,15.2988640860925,0.0424968446835901
"54",54,6,"Exp4","Exp4",0.0101328927314124,0.326233125533136,0.00989277518596491,0.00159605131200084,0.251191851405072,0.00222661469699918,-0.132736815858067,0.0904345882007185,186.953293390188,302.36548496498,-93.4766466950939,11.1765600814748,2.18247658239612,-55.8741656544671,180.951755442653,10.1768112251426,0.389654003250869,27.9370828272335,10.1768112251426,153.000751409617,0.426185937074141
"55",55,7,"Exp4","Exp4",0.0293785006490054,0.447786011437554,0.00374518522433169,0.00474730102416359,0.315292283610224,0.000935767726207093,0.122435981802878,0.348489677324085,478.46467738514,305.810808384856,-239.23233869257,13.8082768069519,2.13068385819562,227.589575447135,180.373257415853,13.1885283288358,0.397751405396833,-113.794787723567,13.1885283288358,11.1184583983734,0.0309706362071682
"56",56,8,"Exp4","Exp4",0.00788406661846302,0.32765673485238,0.00285050089118172,0.00125807502273243,0.167823331624538,0.0359004345709726,0.133838558874228,0.0219767568788672,439.711739142492,303.867434871447,-219.855869571246,6.26781528904717,2.15463659717679,194.05551185615,181.039321228277,4.49332249954747,0.389792761878411,-97.0277559280751,4.49332249954747,28.3110373690254,0.078641770469515
"57",57,9,"Exp4","Exp4",0.024686342102669,0.43268709004361,0.0068837499891845,0.00398322202301782,0.259130881040865,0.0562944198448939,0.186584535183889,0.0766477791828478,702.61699279894,300.891104737808,-351.30849639947,4.88720564632921,2.23585656297862,459.548843260958,179.357029968817,2.25680998305834,0.376478732032045,-229.774421630479,2.25680998305834,-105.69655367439,-0.296068777799412
"58",58,10,"Exp4","Exp4",0.0218988118308721,0.428958666952758,0.00403955366230784,0.00350217393712679,0.364524293963684,0.00169987852881637,-0.377334574603065,0.761303104496988,422.779454846903,310.605581558929,-211.389727423452,14.6222092263882,2.32919628247603,165.052606650236,181.742157460596,13.7772897819729,0.430857911667768,-82.526303325118,13.7772897819729,43.3719728775244,0.120477702437568
"59",59,11,"Exp4","Exp4",0.0448411089563622,0.384874600393212,0.047276824605677,0.00726832120480278,0.124274336050699,0.00353974991821313,-0.0107492256296591,0.0689153477445137,449.06811956781,302.759428646465,-224.534059783905,6.62508244670851,2.29784915226557,205.452252144617,180.951494934869,5.0159582573878,0.399088986835075,-102.726126072309,5.0159582573878,22.527729092706,0.0625770252575167
"60",60,12,"Exp4","Exp4",0.0487381373063129,0.516021269327657,0.0165256244613523,0.00786197794691135,0.205109403390546,0.0100192147352305,0.108653857995889,0.100170609602005,583.330702962268,305.669073855334,-291.665351481134,6.71471065780748,2.28863119027463,333.316463273498,180.661954010949,4.99599940413355,0.391449951006577,-166.658231636749,4.99599940413355,-41.6167157201912,-0.116247809274277
"61",61,13,"Exp4","Exp4",0.0324470954941896,0.493823231825564,0.00561891857964022,0.00519009187775531,0.179800035693419,0.00114618520784368,-0.240224180265756,0.0709857279950127,238.925662424334,309.880218930382,-119.462831212167,8.90072040662705,2.38738266931522,-18.5629566779887,181.135909379221,7.44954051225298,0.418701843387407,9.28147833899433,7.44954051225298,134.788507562917,0.374412521008104
"62",62,14,"Exp4","Exp4",0.0332429425754691,0.419334601148672,0.00480061978936851,0.00519496631876391,0.247757585018216,0.00326669015691011,-0.0720706683718488,0.114211340945606,436.289505880725,308.314476652922,-218.144752940362,9.54323602692208,2.39515689387154,181.706786619041,181.02311702208,8.39455420211181,0.406561415968838,-90.8533933095205,8.39455420211181,34.5511133452702,0.0962426555578556
"63",63,15,"Exp4","Exp4",0.0214653551045213,0.443020702127964,0.00887384070852278,0.00340255842088243,0.353157279486487,0.0124804421139096,0.105158199048735,0.307035652261407,534.537387044498,303.107386462809,-267.268693522249,8.97781279489806,2.32407091794641,289.736525563957,180.706955722538,7.90275401190516,0.411019923020653,-144.868262781978,7.90275401190516,-19.9552564652587,-0.0554312679590519
"64",64,16,"Exp4","Exp4",0.0230810246547459,0.465079939314407,0.00504619550692152,0.00368654332780534,0.303538290342967,0.00402559860714696,-0.524234203234861,0.205741813346935,352.290635731514,309.626085499068,-176.145317865757,10.5461374474504,2.51059369138398,97.3362443179829,182.148889792303,9.60240643796144,0.403358193501909,-48.6681221589915,9.60240643796144,77.4529121377721,0.215146978160478
"65",1,1,"Exp5","Exp5",0.0194775008350299,0.122253426200204,0.00696217660612834,0.00906904003687025,0.118673731947503,0.00287884261603663,-0.337512241600859,0.087461915616363,398.019262959264,613.936039511834,-199.009631479632,14.4995070408514,3.13526401319359,-105.724219165458,362.064298449472,12.8740032458022,0.548406030184501,52.8621095827288,12.8740032458022,303.678717593799,0.421775996658054
"66",2,2,"Exp5","Exp5",0.0149118036277337,0.197862832200266,0.00250523817071474,0.00384489725210035,0.160549213222978,0.00845581265885007,0.381053282355656,0.118036692926538,526.101955572707,599.864015100651,-263.050977786354,10.5372124030971,2.92871935034663,45.7120695496311,359.669072089114,8.75420938957455,0.554571119847089,-22.8560347748156,8.75420938957455,225.972817471736,0.314725372523309
"67",3,3,"Exp5","Exp5",0.0156975834545123,0.365851865528357,0.00489158689200455,0.00423790133761232,0.248804400107575,0.00183937431323453,0.238740037466434,0.102943044975597,292.02340054618,609.126004369821,-146.01170027309,16.3469054281945,3.18685450028401,-203.610853376573,361.308877408446,15.2268096926306,0.573169209210786,101.805426688286,15.2268096926306,351.931344230664,0.488793533653701
"68",4,4,"Exp5","Exp5",0.0499358862221122,0.521681071484129,0.0149526114711613,0.00797343019723385,0.193667094421774,0.004529456891089,0.0347387614102077,0.14272338200835,821.657610948942,614.027964925686,-410.828805474471,13.8372189669627,3.32311933912788,316.976783960734,361.687551431582,11.9897456930409,0.564895256413254,-158.488391980367,11.9897456930409,92.1285570131451,0.128312753500202
"69",5,5,"Exp5","Exp5",0.0658842068801287,0.133373660421384,0.0237926190035403,0.0351001733653776,0.0673421422120315,0.00157941703846968,-0.471037337433163,0.132666553009768,799.047384472119,613.129174622354,-399.523692236059,14.36629669838,3.47837657792059,294.319981771345,360.765473271967,12.1213516588731,0.608859234465364,-147.159990885673,12.1213516588731,102.735553332556,0.142886722298409
"70",6,6,"Exp5","Exp5",0.0398959958971041,0.368960830399222,0.0299651383980083,0.00691241373047713,0.176530679070371,0.002004088353997,-0.226253703014999,0.112165739617351,691.593949453746,607.579326482362,-345.796974726873,14.5851247844045,3.17268707143284,197.478157984561,360.521430747769,12.9071022848851,0.557090829731741,-98.7390789922807,12.9071022848851,150.930345127105,0.209917030774834
"71",7,7,"Exp5","Exp5",0.0247927468175707,0.302262146259928,0.00103905563797639,0.0109780573470628,0.139502862535523,0.00996537358283979,-0.0126113363026686,0.0548950771839071,546.049613681988,605.236647555893,-273.024806840994,8.18868400622992,3.12729497221228,54.9424623710346,359.683071900417,5.42145407544471,0.554410598948639,-27.4712311855173,5.42145407544471,221.557583752043,0.308146848055693
"72",8,8,"Exp5","Exp5",0.0499018749216981,0.382800665876394,0.00669862811450779,0.00940500092152094,0.208050693214606,0.0160512166429697,0.077467977682076,0.0958106069141203,1023.6093412644,602.586560787005,-511.804670632202,8.4892906819257,2.9625420740278,534.138099231847,357.850939770727,5.94875357643313,0.535725037644516,-267.069049615924,5.94875357643313,-19.2204175909905,-0.0269571074207441
"73",9,9,"Exp5","Exp5",0.0576552637524596,0.355399560110762,0.015779838131173,0.0282861243812105,0.0970004276446795,0.00364878683808025,0.0870180769125718,0.154546329282058,966.549900516672,607.309214117018,-483.274950258336,14.5628038240995,3.21944906416776,473.59848540236,360.833506559862,13.0793042444399,0.558655740428161,-236.79924270118,13.0793042444399,13.0384681719236,0.0181594264232919
"74",10,10,"Exp5","Exp5",0.04600633124636,0.375508218182476,0.00467434367941343,0.00289063412757097,0.208406665168242,0.0113233244089922,-0.309049881565784,0.0710691776754863,699.210025976667,608.328734872168,-349.605012988333,8.03918461936997,3.22714624576204,202.12240769527,359.78492573147,4.81824915015081,0.558933380931242,-101.061203847635,4.81824915015081,148.087898472382,0.206538212653252
"75",11,11,"Exp5","Exp5",0.0303347424293229,0.220546350269735,0.0061226910880304,0.00644482672586612,0.0764470336948368,0.00318704054764361,0.0113330394545562,0.0835920938009272,498.063656370346,604.97673739821,-249.031828185173,13.1325075376016,3.21392780949452,9.98101443187932,360.935416428977,11.5666610515577,0.555539413896476,-4.99050721593966,11.5666610515577,244.877118885036,0.340580137531344
"76",12,12,"Exp5","Exp5",0.0884520270934923,0.469869194190156,0.0500995337249899,0.00942942272607667,0.130012586784852,0.00935733996946212,-0.0377212938574201,0.0607416254009305,923.95048656648,604.920686377246,-461.97524328324,7.41838433708352,3.08084651060251,429.939537908098,357.915212048056,4.05440138378768,0.554902896485246,-214.969768954049,4.05440138378768,32.956868217305,0.0462228165740603
