Exp,NSub,0.5,0.8,1.1,1.4,1.7
Exp4a,1,0.07420470937500001,0.04442266218055554,-0.08535001306944452,-0.24457941058816415,-0.46671660034722223
Exp4a,2,0.21086163713888892,0.1386434054583333,-0.0809132355972223,-0.21759118913888878,-0.41936559298611104
Exp4a,3,0.22975296963888892,0.051512338486111066,-0.1781972930948069,-0.37358385081944434,-0.549639583810606
Exp4a,4,0.28714765456582125,0.09339754065277772,-0.11004136373863649,-0.37223201563888875,-0.6256488176714975
Exp4a,5,0.2795226890138889,0.2079291230972222,0.041677613819444424,-0.12354807766666658,-0.305265252486111
Exp4a,6,0.08220616291666667,0.0290897435416666,-0.003411805159420448,-0.12134345445833324,-0.23447630420833332
Exp4a,7,0.06974803144444446,0.018637016430555525,-0.0396323734305557,-0.11598482711111102,-0.11989731803502417
Exp4a,8,0.18842396104166667,0.13508657463888885,0.07530801119444441,-0.13178504823611106,-0.2929304534027777
Exp4a,9,0.30151467268055554,0.12439702180012073,0.09954892787862309,-0.08498559585024146,-0.14258770438888888
Exp4a,10,0.03843144501388888,-0.08958141894444453,-2.6254763889029437e-5,-0.04181035529166658,-0.13558665579166665
Exp4a,11,0.3204182270277777,0.09272186397222215,-0.04248414325000013,-0.22804872747222213,-0.45929849786111115
Exp4a,12,0.24286798268055554,0.18417560761111104,0.011265730083333203,-0.1787018780567632,-0.32385129366727045
Exp4a,13,0.11240490509722223,-0.03648183163888893,-0.22181919648611118,-0.4147091394444444,-0.5484723874444444
Exp4a,14,0.15213211481461353,0.05765848602777771,-0.0529403733611112,-0.1870424073472222,-0.3305091343333333
Exp4a,15,0.05995254180555557,0.057498475236111034,0.03215331419444434,-0.038712250361111034,-0.11978273006944444
Exp4a,16,0.015307544833333372,-0.09036125351388895,-0.18361968293055567,-0.21050766543055546,-0.3879873453055555
