"","NSub","Exp","gap","InP1","InP3","InP5"
"56",8,"Exp. 4a","short",1.15583952026557,1.12394880906343,1.10942164401736
"57",9,"Exp. 4a","short",1.25220803970859,1.27687348630766,1.28850716280051
"58",10,"Exp. 4a","short",1.00332248490325,0.589482794025471,0.460337625001053
"59",11,"Exp. 4a","short",1.0239917277777,1.00312992304701,0.993575021935124
"60",12,"Exp. 4a","short",1.17203219720676,1.07922998505973,1.03861855258144
"61",13,"Exp. 4a","short",0.814866228300163,0.698234081285819,0.649842582751457
"62",14,"Exp. 4a","short",0.985146421194084,0.950410624374244,0.934679197772428
"63",15,"Exp. 4a","short",1.29521412008593,1.09880260808,1.01791237567071
"64",16,"Exp. 4a","short",0.656151680453775,0.449700648289109,0.377250929164262
"65",1,"Exp. 4b","short",0.750685343661698,0.83106847354737,0.871322267266168
"66",2,"Exp. 4b","short",1.52363058938142,1.39564147882794,1.33984843520437
"67",3,"Exp. 4b","short",1.34768048188279,0.923999922007391,0.77527503276546
"68",4,"Exp. 4b","short",1.11416818126622,0.616620495470277,0.468328954866416
"69",5,"Exp. 4b","short",0.666140834317683,0.637490285593346,0.624591501848486
"70",6,"Exp. 4b","short",0.845008177892603,0.713555916478442,0.659604571829792
"71",7,"Exp. 4b","short",1.01651115474872,0.828825445376118,0.753778253767765
"72",8,"Exp. 4b","short",1.20708468618907,1.07659171202307,1.02081731652853
"73",9,"Exp. 4b","short",1.18519712400973,0.730066134019834,0.582798701668397
"74",10,"Exp. 4b","short",0.752778846629775,0.728417719396922,0.717360516376766
"75",11,"Exp. 4b","short",1.05850785560712,0.810108883392123,0.715379348535599
"76",12,"Exp. 4b","short",0.987527338595925,0.936966774846585,0.914347327505792
"77",13,"Exp. 4b","short",1.14110392783066,1.13850705023853,1.13730158456309
"78",14,"Exp. 4b","short",0.80377887274847,0.680330168356212,0.629575484906305
"79",15,"Exp. 4b","short",0.888993823719769,0.947428955797642,0.975892993074628
"80",16,"Exp. 4b","short",1.23555140732032,0.993971337078301,0.898338323035299
"81",1,"Exp. 4b","long",0.750685343661698,0.839881852082338,0.88489232276949
"82",2,"Exp. 4b","long",1.52363058938142,1.4413650702602,1.40464146843689
"83",3,"Exp. 4b","long",1.34768048188279,1.00750327370363,0.880038134200453
"84",4,"Exp. 4b","long",1.11416818126622,0.655201045872676,0.511873644012831
"85",5,"Exp. 4b","long",0.666140834317683,0.6516601333816,0.645034621468134
"86",6,"Exp. 4b","long",0.845008177892603,0.736246158997202,0.690557771290309
"87",7,"Exp. 4b","long",1.01651115474872,0.889972670517446,0.836625700823108
"88",8,"Exp. 4b","long",1.20708468618907,1.12485519756479,1.08855232452828
"89",9,"Exp. 4b","long",1.18519712400973,0.805559595427426,0.673170243800758
"90",10,"Exp. 4b","long",0.752778846629775,0.740753349768164,0.73522742816368
"91",11,"Exp. 4b","long",1.05850785560712,0.836739199303338,0.750091894706185
"92",12,"Exp. 4b","long",0.987527338595925,0.948382426993578,0.930713354809888
"93",13,"Exp. 4b","long",1.14110392783066,1.18490744581777,1.20584374935867
"94",14,"Exp. 4b","long",0.80377887274847,0.698914147940143,0.654928679250561
"95",15,"Exp. 4b","long",0.888993823719769,0.948112423366855,0.976924509278856
"96",16,"Exp. 4b","long",1.23555140732032,1.11157939591339,1.05825115201399
